#CHR	start	end	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
1	5915439	5915582	-0.457493	-0.347524	-0.283589	0.506586	0.288354	0.437730
1	6135208	6135338	-0.522102	-0.381624	0.520923	0.162667	0.275956	0.819183
1	6214343	6214876	0.839299	0.284687	0.377737	0.074020	0.239822	-0.038610
1	6224077	6224579	0.277065	0.637491	0.490289	0.407804	0.237641	0.049270
1	6225189	6225689	0.577987	0.947061	0.399839	0.853505	0.432793	0.914972
1	6262379	6262510	0.133450	-1.021211	-0.086143	0.862941	0.339508	0.708801
1	6262910	6263458	-0.166163	-0.071127	0.586686	0.139725	0.616839	0.641064
1	6272194	6272702	-0.303489	0.550154	0.068095	0.135715	0.130577	0.354418
1	6382597	6383188	0.075293	0.401765	0.301294	-0.249581	-0.163509	-0.174495
1	6383547	6383677	-0.384143	-0.835588	-0.761545	-0.308512	-0.544700	-0.339026
1	6406252	6406774	-0.183884	0.088353	-0.148188	0.076528	-0.308485	-0.229887
1	6417829	6418332	-1.010294	-0.109932	-0.288824	0.380342	-0.064316	0.469100
1	6453515	6454015	0.303139	-0.280573	0.680289	1.116880	0.767209	1.195360
1	6454150	6454280	0.581738	1.349320	1.352584	2.174647	1.459308	1.239926
1	6466963	6467463	-0.509138	-0.462720	-0.094792	-0.105122	-0.070088	-0.271753
1	6657268	6657407	0.275350	-1.082391	-0.790411	-0.288505	-1.192304	-0.946327
1	6658020	6658330	0.044378	0.007080	0.627592	0.228675	0.773701	0.931389
1	6658522	6659030	0.178350	-0.158605	0.167372	0.536293	0.524220	-0.027970
1	6760533	6761122	-0.185565	-0.284857	0.194762	0.041174	0.077460	0.108373
1	6810310	6810810	-0.149061	0.335906	0.213374	0.678309	0.756669	0.029880
1	6820055	6820185	0.271008	0.345491	0.387412	0.133690	0.092188	0.280812
1	6821354	6821938	0.429278	1.044640	0.328550	0.666780	0.260266	0.285834
1	6858360	6858860	-0.325020	-0.187485	0.524563	0.597419	-0.155008	0.041549
1	6858952	6859457	-0.111710	-0.013218	-0.138267	0.396158	-0.342662	0.026853
1	6866974	6867118	0.117080	1.311775	0.769331	0.397708	0.218121	0.628596
1	7010297	7010428	0.623131	2.246158	0.198480	-0.275582	-0.428532	0.627898
1	7088591	7089203	0.746392	-0.032497	0.244251	-0.279170	0.320319	0.242652
1	7111626	7111719	-0.638025	1.549320	0.665896	1.000629	2.160641	1.268311
1	7141614	7141737	-0.518893	1.743074	0.636298	1.815139	1.541935	1.152446
1	7204695	7205202	-0.267702	0.312378	-0.193612	0.915004	0.636159	1.481051
1	7219030	7219167	-0.271934	0.468487	-0.463114	1.564016	1.643308	1.427240
1	7396989	7397145	0.665147	-0.003068	-0.093503	-1.291749	-0.385742	-0.677768
1	7397684	7398462	0.588305	-0.111169	0.140854	-0.440542	0.002969	-0.092773
1	7543434	7543934	-0.491433	0.298096	0.225416	0.117892	0.663071	0.629735
1	8123022	8123524	0.165641	0.126827	-0.157628	0.293372	-0.190817	-0.109496
1	9545059	9545654	0.269929	-0.452132	-0.183686	-0.326882	-0.089328	-0.173644
1	9573164	9573662	0.189206	-0.037750	-0.092247	0.109237	0.456766	0.471025
1	9591963	9592463	-0.380046	-0.528559	0.197989	-0.280505	0.491850	0.281150
1	9593829	9593959	-1.668363	0.159681	0.207267	1.918926	1.667614	0.607348
1	9638700	9638830	0.298915	2.166695	-0.310142	0.122574	0.100982	0.806739
1	9639093	9639268	0.015832	-0.338081	-0.187901	-0.216107	-0.253829	0.700815
1	9673555	9674136	0.091220	1.273626	1.121251	0.819582	0.624197	1.183981
1	9696949	9697081	0.324680	0.217290	-0.431390	1.552135	-0.090447	0.597918
1	9700122	9700982	0.819268	0.005303	0.402595	-0.212704	0.404899	0.092759
1	9703190	9703312	-0.784797	-0.033663	-0.515345	0.133799	-0.309764	0.469283
1	9772699	9773203	-0.846054	-0.071138	-0.860985	0.143923	-0.448075	-0.528106
1	9799072	9799196	0.548406	1.329861	1.331101	0.650402	0.797049	2.032546
1	9897476	9897632	0.239491	0.698791	0.424024	0.624009	1.160030	0.264941
1	9943911	9944453	0.096830	-0.014151	0.334419	-0.395705	0.093259	-0.108454
1	9991898	9992051	0.462433	-0.102672	0.023780	-0.064244	0.639228	-0.293377
1	10007328	10007527	0.209864	0.157840	0.163185	0.545884	-0.456239	-0.033609
1	10037832	10038443	0.289513	0.196051	0.451062	-0.056974	0.138958	-0.243860
1	10039612	10039742	1.375529	0.478283	0.543289	-0.034340	0.833775	0.095684
1	10039913	10040461	0.300878	0.030002	0.286106	-0.032290	0.269744	-0.169767
1	10089490	10089991	0.346305	-0.012244	0.043806	0.028305	0.204636	0.049053
1	10114825	10114959	-0.639262	0.472412	-0.265653	-0.674243	-0.114309	-0.222228
1	10229039	10229195	-0.000589	0.005849	0.359300	1.105940	0.301445	-0.003647
1	10232734	10233234	1.134924	1.007088	0.592905	0.172568	0.175575	0.298624
1	10280286	10280416	-1.015654	-0.383412	0.511857	0.066782	0.869425	1.216897
1	10488345	10488478	-1.251772	-0.019152	0.459959	0.669707	0.621392	0.551557
1	10759716	10759852	-0.737885	0.065301	-0.165777	1.254089	-0.118557	0.129643
1	10835790	10835923	-0.668370	0.546532	-0.824473	0.468803	-0.609631	0.647436
1	10877425	10877639	-0.418977	-0.751502	-0.526014	-0.235217	-1.021187	-1.281480
1	10879900	10880825	0.122944	0.004201	-0.179380	-0.428788	-0.253401	-0.173477
1	10957712	10957842	1.560266	0.418929	-0.032274	1.269403	0.528773	0.845847
1	11233998	11234128	-0.796386	0.656556	-0.235499	1.829956	1.879771	1.000870
1	11657644	11658158	-1.533869	-0.024811	-0.490159	0.818079	0.876852	1.028581
1	12836928	12837063	-0.615711	-0.102026	-0.422607	2.121011	-0.082808	1.696493
1	12864170	12864289	-1.824138	0.182174	0.712026	1.676057	0.700229	0.495976
1	13050069	13050569	-0.871421	-0.069717	-0.117741	0.422879	0.197925	0.588780
1	13051918	13052419	0.011849	0.356515	0.280159	-0.081850	-0.102871	0.384622
1	13134390	13134539	-0.542582	-0.349992	0.411974	-0.225515	0.033060	0.171235
1	13151172	13151302	-0.396717	-0.451021	-0.886827	-0.609162	-0.090375	-0.514955
1	13267214	13267344	-0.946664	-0.387721	0.202983	0.179862	1.690004	-0.351926
1	13267627	13267757	-0.804476	-0.106484	1.955974	-0.637983	0.332968	0.289020
1	13294904	13295018	0.199300	1.104568	0.820331	2.116553	1.674567	0.727489
1	13335911	13336411	-0.127026	0.117783	0.749549	0.650404	0.680966	0.454882
1	13372303	13372837	0.607178	0.016786	-0.142876	-0.638556	-0.409358	-0.481342
1	13426319	13426819	0.334584	0.286374	0.496853	0.382615	0.242338	-0.367993
1	13457148	13457278	0.196838	1.395511	0.969094	0.207735	1.088061	0.713934
1	13500603	13500736	-0.303359	0.346273	-0.662218	0.249020	0.104593	-0.108167
1	13513649	13514274	0.052554	-0.210123	1.195101	-0.137668	0.364446	0.131786
1	13531629	13531764	-0.369571	0.009891	0.527874	0.669093	-0.010087	0.327568
1	13573924	13574451	-0.063597	0.556064	0.785416	0.797372	1.112363	1.419958
1	13589758	13590285	0.598374	0.291799	0.693000	-0.126678	0.111918	-0.094516
1	13599052	13599162	-0.166600	-0.613141	-0.769987	-0.987246	0.192793	0.141921
1	13600543	13600699	0.443302	0.761411	0.197150	0.230566	0.062712	-0.136253
1	13601386	13601886	-0.060288	-0.400958	0.191901	0.006939	-0.317846	-0.518167
1	13658743	13658873	0.197641	0.401311	0.381783	0.773855	-0.147997	0.362892
1	13659862	13660014	-0.323733	-0.332521	-0.899057	0.225126	0.215330	-0.240039
1	13660303	13660820	0.491856	0.016762	0.179020	-0.350739	-0.055044	-0.286476
1	13706269	13706776	-0.570344	0.221879	0.386423	0.609713	0.548339	0.779331
1	13747261	13747761	0.377551	0.731822	0.375594	0.619269	0.868582	1.250605
1	13771148	13771575	0.099598	1.454401	0.680709	0.779826	0.699933	1.361123
1	13771979	13772479	-0.309397	-0.218612	0.454136	0.143092	0.569204	0.342211
1	13784327	13784839	-0.710556	-0.049291	0.141678	0.767637	0.603523	0.857180
1	13789144	13789653	-0.004855	0.347263	0.311324	0.327497	-0.173595	0.099387
1	14004714	14005214	0.597602	0.532197	-0.267043	-0.250309	0.073220	0.395976
1	14100576	14101118	-0.340563	0.216174	-0.013552	0.689602	0.145516	0.416629
1	14108373	14108898	0.089652	-0.186167	0.045459	0.227334	-0.206661	0.260626
1	14143812	14144326	-0.299944	0.363283	0.185553	0.184019	0.101554	0.147141
1	14150665	14151540	-0.145933	-0.228352	-0.032549	0.247797	0.362681	0.470247
1	14196527	14197027	0.311542	0.167225	0.024219	0.497685	-0.324050	-0.282034
1	14220064	14220214	-0.003583	0.810355	0.525344	1.502698	0.293561	0.609922
1	14232325	14232455	0.837774	0.324294	0.309004	0.871052	0.686840	0.293936
1	14232859	14232989	0.684549	1.554185	0.606145	0.781073	1.796639	1.085193
1	14234204	14234387	-0.065789	-0.330365	0.941711	1.163125	0.103339	1.376459
1	14267682	14267812	-1.809077	0.086797	-0.252388	-0.418210	-0.477928	-0.581414
1	14306604	14306734	0.039094	0.804314	0.445966	0.536178	1.418163	-0.339362
1	14464919	14465049	0.810662	0.800042	0.587987	0.443704	0.850676	0.489999
1	14595927	14596427	0.439048	-0.263156	0.511871	0.276889	0.107204	0.620567
1	14636004	14636136	0.070354	1.242028	0.382969	0.705615	1.555119	0.429816
1	14686319	14686454	-0.491388	0.006206	-0.182946	-0.042455	0.478495	0.662630
1	14740142	14740369	-1.082197	0.087670	0.198624	0.780043	0.105786	0.187864
1	14862301	14862801	-0.155841	0.702300	0.267533	1.442331	0.843067	1.220661
1	15007756	15007906	0.059239	1.921209	1.102845	2.406449	1.906145	2.483363
1	15111551	15111682	-0.613630	1.951533	1.215247	-0.162216	0.458881	1.187670
1	15622029	15622164	0.702220	0.405517	-0.328670	0.998417	0.027001	1.036472
1	15791857	15792364	-0.293063	0.404477	0.887728	1.739708	0.956717	1.143105
1	15805288	15805853	0.138840	-0.230670	-0.117339	-0.457342	-0.402833	-0.303218
1	15850157	15850298	0.069457	1.031140	0.308463	1.274128	0.325960	0.793254
1	15850819	15850975	0.039012	-0.963290	-0.133318	0.340147	0.028851	0.164645
1	15883144	15883274	-0.898382	-0.961652	0.749689	0.180121	0.257652	0.151982
1	15902391	15902891	-0.336863	0.107969	-0.180009	0.076226	0.131465	-0.258285
1	16007012	16007134	-0.802997	0.717686	-0.493658	0.069971	-0.140872	0.250965
1	16062036	16062181	-0.652459	0.127799	-0.334662	0.274480	-0.868710	-0.485621
1	16104157	16104670	-0.087470	0.215379	0.087646	0.067198	0.153857	-0.001588
1	16104699	16104830	-0.151174	-0.520905	-0.357334	-0.464060	-0.081884	-0.394616
1	16104834	16104990	0.085350	0.758513	0.427699	-0.346859	-0.194004	-0.390680
1	16116592	16116722	-0.154911	-0.634519	0.584123	-0.010784	-0.739212	1.333136
1	16177379	16177996	0.160524	0.599184	0.275083	0.811820	0.458305	0.645917
1	16345157	16345287	-0.120675	0.163648	-0.205838	1.669255	0.679883	1.545230
1	16433349	16433849	0.534930	-0.426814	-0.068771	0.100742	-0.011779	0.650985
1	16440335	16440466	-0.091749	0.136655	-0.664001	0.589556	-0.360047	-0.658060
1	16534255	16534387	-0.369544	0.036238	0.617275	1.040696	1.229451	0.487946
1	16617800	16617972	-0.499396	-0.271096	-0.050013	-0.015701	0.798496	1.429731
1	16619044	16619603	0.697765	0.029227	0.452819	-0.040344	0.109458	0.048907
1	16637725	16637855	0.526318	-0.696131	0.595894	1.052337	0.478106	1.396143
1	16642100	16642688	-0.293736	-0.186505	-0.234184	0.007017	-0.318325	0.052952
1	16656693	16657427	0.135122	-0.165732	0.028155	-0.391775	0.179251	-0.003272
1	16664908	16665446	-0.089125	0.371068	0.492671	0.216304	0.372718	0.174555
1	16688131	16688703	0.033331	0.194366	0.268439	0.058036	0.418236	0.087554
1	16688828	16689021	-0.167096	0.798216	-0.353693	0.431030	-0.041388	-0.362565
1	16721092	16721222	-0.778845	0.278370	0.426681	0.194387	1.226139	0.093564
1	16745939	16746451	-0.391734	-0.371946	0.093922	-0.047994	0.614707	0.023437
1	16747183	16747683	-0.388654	-0.313324	0.460408	0.262236	0.418330	0.324721
1	16798262	16798762	-0.229671	-0.065043	0.088085	-0.085093	0.146961	0.295503
1	16944486	16944616	-0.199613	-0.440887	0.566525	0.843837	1.356596	-0.145422
1	17163477	17163992	-0.712828	0.331432	0.077490	1.038682	0.612027	0.910315
1	17629691	17629822	-0.980226	-0.018297	-0.672888	0.098294	0.095358	-0.196098
1	17980754	17980886	-0.790953	1.073511	-0.024621	0.094069	0.148438	0.579031
1	18012976	18013107	0.501336	-0.189869	0.739328	2.420942	1.144002	2.048506
1	18106288	18106418	-0.253008	0.830027	1.019002	1.309215	0.490016	1.833488
1	18106873	18107000	0.032938	2.555912	0.036829	0.589601	0.969404	0.940014
1	18288822	18289322	-1.162221	-0.116376	0.001000	0.693411	-0.112436	0.573977
1	18359904	18360404	-0.735675	-0.308129	0.616245	1.526847	0.920126	0.971275
1	18976659	18977159	0.017841	0.402794	0.897719	0.532624	1.694051	1.412451
1	19056465	19056591	-1.105511	-0.075929	-0.552199	1.077223	1.152093	0.594736
1	19178964	19179466	-0.523386	0.332224	0.581758	1.606341	0.633624	1.202775
1	19205511	19206017	-0.806877	0.465477	-0.731762	1.063138	0.373552	0.768872
1	20311448	20311948	-0.263969	0.348975	0.128722	0.903140	0.648388	1.269458
1	20513663	20514170	-0.978967	-0.279903	-0.473867	0.687958	0.265654	0.562751
1	20554531	20554663	-1.342594	0.547258	-0.011715	0.241498	0.195568	0.321668
1	20612828	20612965	-0.523500	0.537476	0.241172	1.909378	0.806708	0.314145
1	20820023	20820607	0.182146	-0.404488	-0.174074	-0.493197	-0.081301	0.021162
1	20933553	20933685	-1.316264	-0.224659	0.295413	0.109722	-0.285465	-0.284254
1	20938988	20939487	-0.547811	-0.107482	-0.203663	0.465218	-0.014102	0.414311
1	20981975	20982105	0.210525	-0.378063	0.190406	-0.381130	1.311602	0.197061
1	21079190	21079790	0.657248	-0.087911	0.597527	-0.329754	0.376771	0.242154
1	21101172	21101672	-0.375222	-0.095881	-0.049050	0.436134	-0.166751	0.148636
1	21161763	21162263	-0.730563	-0.055136	-0.244264	-0.252385	-0.015708	0.041204
1	21166289	21166443	-0.369085	-0.212441	-0.154801	0.342237	-0.320840	0.339474
1	21218327	21219059	0.351166	0.148675	0.351256	-0.137306	-0.117839	-0.246779
1	21271409	21271912	-0.299994	0.350772	-0.257741	0.045184	0.326519	-0.009948
1	21344270	21344770	-1.012608	0.464324	0.318257	0.542937	0.369041	0.597344
1	21411151	21411656	-0.329399	-0.051518	-0.076007	0.026182	0.307501	0.343538
1	21461217	21461347	-0.289077	-0.104129	0.315844	-0.335672	-0.804958	-0.230693
1	21531438	21531568	0.253152	-0.016536	1.589277	0.713011	0.934382	0.567316
1	21554515	21555144	0.446381	0.138864	0.144514	0.141948	0.136560	0.410170
1	21647038	21647544	-0.042047	0.852116	1.228880	1.960396	1.280280	1.099601
1	21656276	21656407	0.086600	0.437719	0.826880	1.423149	1.502249	0.814921
1	21714992	21715101	-0.417345	0.784217	0.068913	-0.270277	0.067908	-0.900444
1	21749234	21749734	-0.621438	-0.265881	0.709006	0.745155	1.345824	0.506575
1	21829841	21830435	0.237679	0.132404	-0.064225	0.481584	0.346178	0.290469
1	21929817	21929947	-0.454014	0.303172	0.353917	1.694858	1.593776	1.391734
1	21940749	21941309	0.443760	0.321302	0.055652	0.547082	0.109058	0.659194
1	21960344	21960851	0.547146	-0.268182	-0.053014	-0.297300	-0.168175	-0.011082
1	22105613	22105764	0.621099	0.434561	0.179995	0.770677	0.667301	0.291716
1	22268929	22269431	-0.636450	0.136766	-0.276364	-0.024855	-0.141306	0.181202
1	22350718	22350874	-0.558573	-0.157973	0.565525	0.950961	2.255031	1.748007
1	22487440	22487570	-0.005628	-0.218651	0.477664	0.138267	0.364842	0.702319
1	23061945	23062450	-0.917477	0.042535	0.520470	0.738513	0.603096	0.737644
1	23324349	23324502	0.037806	0.573917	0.016090	1.898753	1.073875	1.624919
1	23383179	23383679	0.818807	0.261826	0.196307	-0.489941	0.369980	-0.170810
1	23399714	23399844	-0.341770	0.353775	0.301021	-0.364587	0.441202	-0.417785
1	23495547	23495683	-1.961307	0.752319	0.131827	1.963310	0.969968	1.643797
1	23705649	23705785	0.505895	0.992760	-0.575265	0.775731	0.369846	0.610248
1	23720455	23720624	-0.984557	0.212841	0.015743	-0.591567	0.255622	-0.013529
1	23792703	23793203	-0.224888	-0.162401	0.150861	-0.155024	0.143899	-0.107914
1	23827012	23827517	-0.372481	-0.059211	0.184074	0.105100	0.015398	0.255434
1	23867508	23867638	-0.178415	0.201486	0.164405	-0.333766	0.103983	0.081713
1	23906034	23906523	0.183137	0.684388	0.661460	0.826632	0.285358	1.297722
1	23922177	23922701	0.798838	0.815857	0.893633	0.362156	0.540907	0.078411
1	23923685	23924234	0.253454	0.349505	0.269034	0.075723	1.268521	0.766661
1	23924437	23924612	0.103713	0.363804	0.142420	-0.152971	0.794246	0.155392
1	23983030	23983548	-0.656140	-0.107466	0.419166	0.172528	0.644851	0.882093
1	24005368	24005939	0.173045	-0.007298	0.355580	0.017716	0.323555	0.078640
1	24034185	24034317	-1.346794	0.099710	0.215710	0.327455	0.045384	0.543037
1	24134995	24135127	0.277635	0.350132	-0.005605	2.276048	0.696191	2.270398
1	24137074	24137574	-0.428586	-0.134845	-0.447379	0.046883	0.949505	0.031184
1	24171578	24171725	-0.398692	0.635077	-0.021310	0.255110	0.149683	0.381922
1	24249247	24249407	-1.041655	-0.396078	0.342569	0.283996	0.238353	0.280106
1	24300842	24300964	-0.424223	-0.226488	-0.423871	1.302829	0.731868	1.330272
1	24302588	24303088	-0.242242	0.341764	-0.270759	0.517878	0.145538	0.586185
1	24367677	24367807	-0.657906	-0.392353	0.495209	0.074519	0.418204	0.212364
1	24375033	24375163	0.403925	0.929804	0.926677	-0.011469	-0.021394	-0.986064
1	24633875	24634005	-0.528377	1.076560	0.173165	-0.428495	0.358666	0.850170
1	24678281	24678864	0.987873	0.282442	0.515524	-0.024822	0.041251	-0.021010
1	24684070	24684262	0.370745	-1.145405	-0.713757	0.198981	-0.253870	0.210931
1	24684525	24684655	0.292940	1.006384	0.469552	1.425023	0.417489	1.261855
1	24719567	24720064	-0.438428	0.079791	0.789055	0.779735	1.344888	1.527406
1	24901214	24901714	-0.555115	0.546602	0.174375	-0.249200	0.298389	-0.188537
1	25510436	25510570	-0.684805	0.285521	0.053046	1.115590	0.240749	0.794366
1	25616905	25617405	-0.716131	0.588584	0.041070	2.008016	1.415534	2.252891
1	25826902	25827032	-0.790958	0.801630	0.400100	1.139751	-0.026215	0.410559
1	30048877	30049033	0.194030	0.419889	0.291007	-1.058163	0.058780	0.973367
1	30259682	30259814	-0.549843	0.423808	-0.410094	0.619511	0.238960	0.643734
1	30584787	30585288	-0.746731	-0.172023	-0.037464	1.520232	0.963471	1.695951
1	30740962	30741092	-0.033716	1.198187	0.916744	0.356549	0.112641	-0.498307
1	30778603	30779110	-0.701181	0.246568	-0.530723	0.857069	0.397138	0.834717
1	30780391	30780528	-0.553613	0.253807	-0.018280	0.227366	-0.351326	0.627112
1	30873562	30874266	0.487972	0.022489	0.462622	0.420566	0.346216	0.300882
1	30920879	30921009	0.180428	0.369856	-0.054279	0.312288	0.062154	0.726031
1	30949546	30950085	0.726076	-0.000898	0.001409	-0.100796	-0.055381	0.027972
1	31153916	31154414	0.364421	0.602423	-0.116792	0.533151	0.012792	0.707489
1	31210065	31210566	-0.332659	-0.385957	-0.399865	1.005673	0.432572	0.578553
1	31222686	31222816	-0.939230	-0.157034	-0.237390	0.112999	0.337066	0.871647
1	32744806	32744936	0.042997	0.455017	-0.602343	0.139213	0.235053	0.254179
1	32964925	32965425	-0.216271	0.134320	0.054167	-0.065969	0.290837	0.067064
1	33106447	33106947	-0.008969	-0.302556	0.126734	0.546866	0.287239	0.421476
1	33124026	33124156	1.426103	0.764718	0.240982	0.012814	0.258478	1.198468
