#geneID	Treated_vs_Control
ENSMUSG00000002983	0.5800
ENSMUSG00000002984	-0.1197
ENSMUSG00000002985	0.7545
ENSMUSG00000002992	0.6072
ENSMUSG00000002997	-0.0163
ENSMUSG00000003031	0.5071
ENSMUSG00000003032	1.6320
ENSMUSG00000003033	2.3739
ENSMUSG00000003037	-1.1579
ENSMUSG00000003053	-0.1966
ENSMUSG00000003068	-0.0887
ENSMUSG00000003070	-0.2608
ENSMUSG00000003072	1.0005
ENSMUSG00000003099	-0.3284
ENSMUSG00000003123	0.3180
ENSMUSG00000003131	-0.0849
ENSMUSG00000003184	0.2094
ENSMUSG00000003200	-0.2040
ENSMUSG00000003206	0.4311
ENSMUSG00000003226	0.1668
ENSMUSG00000003227	0.0196
ENSMUSG00000003228	-0.3188
ENSMUSG00000003233	0.0252
ENSMUSG00000003235	0.0594
ENSMUSG00000003269	0.0466
ENSMUSG00000003271	0.8192
ENSMUSG00000003279	-0.4838
ENSMUSG00000003283	0.3303
ENSMUSG00000003299	-0.1558
ENSMUSG00000003308	0.2808
ENSMUSG00000003309	2.2419
ENSMUSG00000003316	0.1347
ENSMUSG00000003345	-0.3962
ENSMUSG00000003352	-0.1579
ENSMUSG00000003360	0.1317
ENSMUSG00000003363	0.7122
ENSMUSG00000003378	-0.0435
ENSMUSG00000003379	0.1880
ENSMUSG00000003402	-0.3815
ENSMUSG00000003429	0.1355
ENSMUSG00000003435	-0.3506
ENSMUSG00000003436	-0.4756
ENSMUSG00000003452	0.0857
ENSMUSG00000003458	0.5947
ENSMUSG00000003464	0.3839
ENSMUSG00000003476	0.0710
ENSMUSG00000003477	0.2922
ENSMUSG00000003500	0.0469
ENSMUSG00000003518	-0.7492
ENSMUSG00000003526	0.3354
ENSMUSG00000003545	0.0362
ENSMUSG00000003546	0.2419
ENSMUSG00000003549	0.0130
ENSMUSG00000003555	-0.5427
ENSMUSG00000003559	-0.4536
ENSMUSG00000003573	-0.0683
ENSMUSG00000003575	-0.3047
ENSMUSG00000003617	1.0641
ENSMUSG00000003623	0.0001
ENSMUSG00000003644	-0.3099
ENSMUSG00000003660	0.3590
ENSMUSG00000003680	1.4848
ENSMUSG00000003731	0.0919
ENSMUSG00000003746	-2.7220
ENSMUSG00000003752	-0.0607
ENSMUSG00000003778	0.0104
ENSMUSG00000003779	-0.1079
ENSMUSG00000003808	-0.1007
ENSMUSG00000003809	-0.0474
ENSMUSG00000003812	2.3063
ENSMUSG00000003813	0.4404
ENSMUSG00000003814	-0.0358
ENSMUSG00000003848	2.7397
ENSMUSG00000003849	0.3961
ENSMUSG00000003863	-0.2327
ENSMUSG00000003865	-0.2526
ENSMUSG00000003868	0.4926
ENSMUSG00000003873	0.1585
ENSMUSG00000003882	-1.3428
ENSMUSG00000003923	0.1027
ENSMUSG00000003934	0.0965
ENSMUSG00000003970	-0.2125
ENSMUSG00000003974	-0.0252
ENSMUSG00000004018	1.7225
ENSMUSG00000004032	-0.1144
ENSMUSG00000004035	-0.2390
ENSMUSG00000004038	-0.3950
ENSMUSG00000004040	1.5385
ENSMUSG00000004043	0.0381
ENSMUSG00000004054	0.0056
ENSMUSG00000004056	0.3637
ENSMUSG00000004069	-0.5761
ENSMUSG00000004070	0.0923
ENSMUSG00000004085	0.4352
ENSMUSG00000004096	-0.2245
ENSMUSG00000004098	-0.2933
ENSMUSG00000004099	0.0490
ENSMUSG00000004110	0.1290
ENSMUSG00000004113	-0.0517
ENSMUSG00000004151	0.1846
ENSMUSG00000004187	0.0598
ENSMUSG00000004207	-1.6845
ENSMUSG00000004221	-0.5831
ENSMUSG00000004233	0.0523
ENSMUSG00000004264	0.7989
ENSMUSG00000004266	0.1063
ENSMUSG00000004267	-0.3351
ENSMUSG00000004268	-2.8995
ENSMUSG00000004270	-0.0092
ENSMUSG00000004285	-0.1282
ENSMUSG00000004296	-0.5488
ENSMUSG00000004317	0.0016
ENSMUSG00000004319	-0.0488
ENSMUSG00000004341	-0.3201
ENSMUSG00000004344	0.4236
ENSMUSG00000004347	0.2661
ENSMUSG00000004364	0.0219
ENSMUSG00000004366	-0.0076
ENSMUSG00000004371	0.0164
ENSMUSG00000004383	-0.1962
ENSMUSG00000004415	-0.0132
ENSMUSG00000004446	0.3379
ENSMUSG00000004451	-0.0260
ENSMUSG00000004455	0.1334
ENSMUSG00000004460	-0.1318
ENSMUSG00000004508	-1.0690
ENSMUSG00000004535	-0.9980
ENSMUSG00000004552	-0.0681
ENSMUSG00000004565	-0.1161
ENSMUSG00000004567	2.5182
ENSMUSG00000004568	-0.2316
ENSMUSG00000004591	0.2228
ENSMUSG00000004609	-0.0557
ENSMUSG00000004631	0.6066
ENSMUSG00000004651	-0.1286
ENSMUSG00000004654	-0.4153
ENSMUSG00000004655	-0.5408
ENSMUSG00000004667	2.0332
ENSMUSG00000004668	0.1073
ENSMUSG00000004677	-0.0146
ENSMUSG00000004698	-0.5012
ENSMUSG00000004707	-0.2913
ENSMUSG00000004709	1.5220
ENSMUSG00000004771	-1.5644
ENSMUSG00000004788	0.1323
ENSMUSG00000004789	-0.2677
ENSMUSG00000004791	0.4781
ENSMUSG00000004798	-0.3341
ENSMUSG00000004814	0.1982
ENSMUSG00000004815	-0.7579
ENSMUSG00000004842	1.0985
ENSMUSG00000004843	-0.2916
ENSMUSG00000004846	-0.9460
ENSMUSG00000004849	2.6458
ENSMUSG00000004864	-0.0272
ENSMUSG00000004865	0.0476
ENSMUSG00000004872	0.2159
ENSMUSG00000004880	-0.2940
ENSMUSG00000004895	-0.2276
ENSMUSG00000004929	-0.8469
ENSMUSG00000004933	0.1286
ENSMUSG00000004934	0.2519
ENSMUSG00000004936	-0.0376
ENSMUSG00000004937	0.1020
ENSMUSG00000004939	-0.1319
ENSMUSG00000004947	0.0237
ENSMUSG00000004951	-0.0436
ENSMUSG00000004952	0.3684
ENSMUSG00000004980	-1.3431
ENSMUSG00000004988	0.1243
ENSMUSG00000004996	0.5040
ENSMUSG00000005034	-0.3460
ENSMUSG00000005043	2.9146
ENSMUSG00000005057	-0.1755
ENSMUSG00000005069	-0.2329
ENSMUSG00000005087	0.1412
ENSMUSG00000005089	0.0969
ENSMUSG00000005102	0.3984
ENSMUSG00000005124	0.4123
ENSMUSG00000005142	-2.4382
ENSMUSG00000005148	-0.0516
ENSMUSG00000005198	-0.3781
ENSMUSG00000005232	-0.2700
ENSMUSG00000005237	0.4007
ENSMUSG00000005262	-0.2044
ENSMUSG00000005268	-0.4150
ENSMUSG00000005312	0.0384
ENSMUSG00000005320	-0.3085
ENSMUSG00000005338	-0.2461
ENSMUSG00000005339	-0.4297
ENSMUSG00000005354	-0.1367
ENSMUSG00000005355	0.4209
ENSMUSG00000005357	-0.1295
ENSMUSG00000005360	0.0982
ENSMUSG00000005364	1.2146
ENSMUSG00000005370	-0.1121
ENSMUSG00000005373	-0.2521
ENSMUSG00000005397	0.2799
ENSMUSG00000005410	-0.2598
ENSMUSG00000005413	0.0926
ENSMUSG00000005442	-0.0144
ENSMUSG00000005447	0.2860
ENSMUSG00000005465	-0.5154
ENSMUSG00000005469	-0.0463
ENSMUSG00000005474	-0.0625
ENSMUSG00000005483	-0.0793
ENSMUSG00000005510	0.0734
ENSMUSG00000005533	-0.4794
ENSMUSG00000005534	1.0283
ENSMUSG00000005540	-0.6652
ENSMUSG00000005547	-1.5861
ENSMUSG00000005553	-0.2334
ENSMUSG00000005575	-1.0945
ENSMUSG00000005580	0.2327
ENSMUSG00000005583	-0.6232
ENSMUSG00000005610	-0.5509
ENSMUSG00000005611	-0.5253
ENSMUSG00000005615	0.2545
ENSMUSG00000005625	0.4411
ENSMUSG00000005628	-0.2603
ENSMUSG00000005640	-0.3448
ENSMUSG00000005656	0.2845
ENSMUSG00000005667	-0.6873
ENSMUSG00000005672	0.6424
ENSMUSG00000005674	-0.1118
ENSMUSG00000005677	0.3140
ENSMUSG00000005681	-0.3762
ENSMUSG00000005682	0.1809
ENSMUSG00000005683	0.3246
ENSMUSG00000005686	0.0999
ENSMUSG00000005687	0.3433
ENSMUSG00000005696	0.0144
ENSMUSG00000005699	1.3010
ENSMUSG00000005705	0.0315
ENSMUSG00000005718	-0.0489
ENSMUSG00000005732	-0.1716
ENSMUSG00000005763	0.1648
ENSMUSG00000005774	-0.5243
ENSMUSG00000005779	0.5733
ENSMUSG00000005803	0.5559
ENSMUSG00000005824	0.0847
ENSMUSG00000005864	0.4358
ENSMUSG00000005871	2.0775
ENSMUSG00000005886	1.2497
ENSMUSG00000005892	-0.3135
ENSMUSG00000005899	-0.0886
ENSMUSG00000005907	-0.8429
ENSMUSG00000005917	0.6639
ENSMUSG00000005947	0.0545
ENSMUSG00000005949	2.4871
ENSMUSG00000005950	0.7491
ENSMUSG00000005951	0.0478
ENSMUSG00000005952	-0.3019
ENSMUSG00000005958	0.0086
ENSMUSG00000005981	0.3587
ENSMUSG00000005994	0.5878
ENSMUSG00000006005	-1.3299
ENSMUSG00000006024	-0.0456
ENSMUSG00000006056	0.0381
ENSMUSG00000006057	0.3684
ENSMUSG00000006058	-1.1269
ENSMUSG00000006127	0.4623
ENSMUSG00000006134	0.2066
ENSMUSG00000006204	0.2733
ENSMUSG00000006215	-0.3143
ENSMUSG00000006216	-0.0850
ENSMUSG00000006235	-0.3529
ENSMUSG00000006262	0.3471
ENSMUSG00000006269	-0.7426
ENSMUSG00000006273	0.2487
ENSMUSG00000006276	0.4550
ENSMUSG00000006304	0.5170
ENSMUSG00000006307	-0.2416
ENSMUSG00000006333	-0.3116
ENSMUSG00000006335	2.8807
ENSMUSG00000006344	0.1501
ENSMUSG00000006345	0.1676
ENSMUSG00000006369	0.1205
ENSMUSG00000006373	0.8070
ENSMUSG00000006378	0.4688
ENSMUSG00000006386	-0.3495
ENSMUSG00000006389	-0.0968
ENSMUSG00000006390	-0.8344
ENSMUSG00000006398	1.1902
ENSMUSG00000006411	0.0267
ENSMUSG00000006442	1.0947
ENSMUSG00000006445	-0.3020
ENSMUSG00000006457	0.3863
ENSMUSG00000006469	0.6351
ENSMUSG00000006494	-0.4134
ENSMUSG00000006517	-0.3905
ENSMUSG00000006519	-0.4937
ENSMUSG00000006527	0.1782
ENSMUSG00000006538	-0.3425
ENSMUSG00000006542	-0.0895
ENSMUSG00000006567	0.2796
ENSMUSG00000006570	-0.1767
ENSMUSG00000006574	-0.1101
ENSMUSG00000006585	0.4890
ENSMUSG00000006586	0.5719
ENSMUSG00000006589	-0.5688
ENSMUSG00000006599	-2.6914
ENSMUSG00000006611	0.2886
ENSMUSG00000006641	-0.7214
ENSMUSG00000006649	-0.4846
ENSMUSG00000006678	-0.3894
ENSMUSG00000006699	-0.2053
ENSMUSG00000006724	-0.5657
ENSMUSG00000006728	0.2638
ENSMUSG00000006731	-0.3371
ENSMUSG00000006740	-0.3405
ENSMUSG00000006764	-0.2555
ENSMUSG00000006777	-0.3711
ENSMUSG00000006818	-1.1449
ENSMUSG00000006906	0.3787
ENSMUSG00000006920	0.2719
ENSMUSG00000006930	-0.9033
ENSMUSG00000006932	0.0961
ENSMUSG00000006958	0.6532
ENSMUSG00000006998	-0.4102
ENSMUSG00000007029	0.3274
ENSMUSG00000007033	0.4240
ENSMUSG00000007034	-0.2034
ENSMUSG00000007036	0.2584
ENSMUSG00000007038	0.0465
ENSMUSG00000007050	0.4904
ENSMUSG00000007080	0.2880
ENSMUSG00000007097	-0.1308
ENSMUSG00000007107	-0.1924
ENSMUSG00000007122	0.2627
ENSMUSG00000007207	-0.2704
ENSMUSG00000007279	-0.2814
ENSMUSG00000007338	-1.3964
ENSMUSG00000007458	2.4735
ENSMUSG00000007480	0.1393
ENSMUSG00000007564	-0.0117
ENSMUSG00000007570	-0.2758
ENSMUSG00000007613	-0.8200
ENSMUSG00000007617	0.1255
ENSMUSG00000007646	-0.1318
ENSMUSG00000007653	0.0417
ENSMUSG00000007655	0.2364
ENSMUSG00000007659	-0.2449
ENSMUSG00000007682	-0.0042
ENSMUSG00000007783	-0.4187
ENSMUSG00000007805	-0.1992
ENSMUSG00000007815	-1.1827
ENSMUSG00000007872	-0.0947
ENSMUSG00000007877	0.1881
ENSMUSG00000007880	-2.8647
ENSMUSG00000007891	2.4876
ENSMUSG00000007892	0.0506
ENSMUSG00000007908	-0.1290
ENSMUSG00000007989	-0.4999
ENSMUSG00000008036	-0.4442
ENSMUSG00000008136	-0.3057
ENSMUSG00000008206	0.3306
ENSMUSG00000008301	0.3642
ENSMUSG00000008305	-0.0282
ENSMUSG00000008318	-0.1602
ENSMUSG00000008333	-0.0560
ENSMUSG00000008348	-0.3173
ENSMUSG00000008373	-0.3320
ENSMUSG00000008435	-0.1787
ENSMUSG00000008461	-0.3910
ENSMUSG00000008475	-0.3312
ENSMUSG00000008496	-0.5427
ENSMUSG00000008540	0.3901
ENSMUSG00000008590	0.1467
ENSMUSG00000008604	-0.1868
ENSMUSG00000008668	0.0916
ENSMUSG00000008682	-0.0858
ENSMUSG00000008683	0.1646
ENSMUSG00000008730	-0.4751
ENSMUSG00000008763	2.6390
ENSMUSG00000008822	0.0239
ENSMUSG00000008843	0.2749
ENSMUSG00000008855	0.3139
ENSMUSG00000008859	0.0730
ENSMUSG00000008892	-0.5380
ENSMUSG00000008932	0.2287
ENSMUSG00000008958	2.3421
ENSMUSG00000008999	-0.0592
ENSMUSG00000009013	0.0973
ENSMUSG00000009073	-0.4335
ENSMUSG00000009079	0.3632
ENSMUSG00000009090	0.3845
ENSMUSG00000009092	-0.3832
ENSMUSG00000009093	-0.1711
ENSMUSG00000009108	-0.0568
ENSMUSG00000009112	0.5507
ENSMUSG00000009185	-0.1079
ENSMUSG00000009246	-0.1657
ENSMUSG00000009292	0.3047
ENSMUSG00000009293	0.1468
ENSMUSG00000009350	-1.0444
ENSMUSG00000009356	-0.6169
ENSMUSG00000009376	0.0099
ENSMUSG00000009406	-0.4242
ENSMUSG00000009470	-0.3150
ENSMUSG00000009471	0.3533
ENSMUSG00000009535	0.2344
ENSMUSG00000009545	-0.1300
ENSMUSG00000009549	-0.1064
ENSMUSG00000009555	-0.5534
ENSMUSG00000009566	0.9661
ENSMUSG00000009585	-0.0444
ENSMUSG00000009588	0.3064
ENSMUSG00000009596	-0.5658
ENSMUSG00000009614	0.3604
ENSMUSG00000009621	-0.4489
ENSMUSG00000009630	-0.5940
ENSMUSG00000009640	-1.9543
ENSMUSG00000009646	0.4149
ENSMUSG00000009647	-0.3114
ENSMUSG00000009681	-0.5600
ENSMUSG00000009863	0.1090
ENSMUSG00000009876	0.1906
ENSMUSG00000009900	0.3987
ENSMUSG00000009905	-0.4030
ENSMUSG00000009907	-0.1490
ENSMUSG00000009927	-0.5369
ENSMUSG00000009941	3.1884
ENSMUSG00000009995	-0.0117
ENSMUSG00000010021	0.0157
ENSMUSG00000010025	-0.1030
ENSMUSG00000010047	2.2987
ENSMUSG00000010051	-3.3223
ENSMUSG00000010057	-0.8791
ENSMUSG00000010064	-0.1168
ENSMUSG00000010066	-0.1198
ENSMUSG00000010067	-0.0912
ENSMUSG00000010080	0.3073
ENSMUSG00000010095	-0.3638
ENSMUSG00000010097	2.7546
ENSMUSG00000010110	-0.2643
ENSMUSG00000010142	0.0031
ENSMUSG00000010307	0.4168
ENSMUSG00000010392	0.3400
ENSMUSG00000010406	0.1101
ENSMUSG00000010529	-0.0289
ENSMUSG00000010607	-0.4138
ENSMUSG00000010608	-0.1533
ENSMUSG00000010609	0.0771
ENSMUSG00000010651	0.6502
ENSMUSG00000010660	-0.1691
ENSMUSG00000010663	-0.6182
ENSMUSG00000010755	0.0324
ENSMUSG00000010797	0.2175
ENSMUSG00000010803	0.5234
ENSMUSG00000010911	-0.0071
ENSMUSG00000010914	0.2397
ENSMUSG00000010936	-0.6334
ENSMUSG00000011008	0.4456
ENSMUSG00000011034	0.2659
ENSMUSG00000011096	-0.2806
ENSMUSG00000011148	-0.2357
ENSMUSG00000011171	-0.4668
ENSMUSG00000011179	0.1275
ENSMUSG00000011257	-0.6840
ENSMUSG00000011305	-0.1632
ENSMUSG00000011382	-0.1308
ENSMUSG00000011463	-0.7691
ENSMUSG00000011751	0.2383
ENSMUSG00000011752	-0.4360
ENSMUSG00000011877	-0.1602
ENSMUSG00000011960	0.2716
ENSMUSG00000012117	0.3516
ENSMUSG00000012187	0.4351
ENSMUSG00000012282	0.3932
ENSMUSG00000012296	-0.0407
ENSMUSG00000012396	1.7353
ENSMUSG00000012405	-0.0041
ENSMUSG00000012443	-0.9058
ENSMUSG00000012483	-0.0179
ENSMUSG00000012519	0.2430
ENSMUSG00000012535	-0.2883
ENSMUSG00000012848	-0.2300
ENSMUSG00000013076	-0.4220
ENSMUSG00000013089	1.4969
ENSMUSG00000013160	2.2067
ENSMUSG00000013236	0.3388
ENSMUSG00000013415	0.3311
ENSMUSG00000013418	3.0507
ENSMUSG00000013465	-0.1090
ENSMUSG00000013483	-1.5855
ENSMUSG00000013584	0.0840
ENSMUSG00000013593	-0.0973
ENSMUSG00000013629	0.1917
ENSMUSG00000013663	-0.0506
ENSMUSG00000013787	0.6139
ENSMUSG00000013833	0.0311
ENSMUSG00000013846	-0.1741
ENSMUSG00000013936	-0.0839
ENSMUSG00000014030	-0.1133
ENSMUSG00000014158	0.1400
ENSMUSG00000014226	0.8960
ENSMUSG00000014245	-0.3333
ENSMUSG00000014294	0.5323
ENSMUSG00000014313	-0.5738
ENSMUSG00000014349	-0.0235
ENSMUSG00000014351	0.3453
ENSMUSG00000014355	0.1766
ENSMUSG00000014361	0.2976
ENSMUSG00000014402	-0.2542
ENSMUSG00000014426	0.1656
ENSMUSG00000014453	0.0743
ENSMUSG00000014504	0.2688
ENSMUSG00000014543	-0.1304
ENSMUSG00000014550	0.0311
ENSMUSG00000014551	0.2985
ENSMUSG00000014554	0.1035
ENSMUSG00000014599	-0.1742
ENSMUSG00000014602	0.2541
ENSMUSG00000014609	0.6319
ENSMUSG00000014767	2.6264
ENSMUSG00000014769	-0.2677
ENSMUSG00000014773	0.4923
ENSMUSG00000014776	0.0651
ENSMUSG00000014778	-0.1111
ENSMUSG00000014791	0.0586
ENSMUSG00000014850	-0.9913
ENSMUSG00000014852	0.0908
ENSMUSG00000014856	-0.0822
ENSMUSG00000014859	0.2583
ENSMUSG00000014932	0.2070
ENSMUSG00000014956	0.0683
ENSMUSG00000014959	0.5111
ENSMUSG00000015016	-0.2095
ENSMUSG00000015023	-0.1216
ENSMUSG00000015027	0.0436
ENSMUSG00000015083	0.2212
ENSMUSG00000015085	-0.4542
ENSMUSG00000015090	0.3616
ENSMUSG00000015120	0.5841
ENSMUSG00000015134	-0.0523
ENSMUSG00000015143	-0.0003
ENSMUSG00000015149	0.4068
ENSMUSG00000015214	-0.0108
ENSMUSG00000015222	-0.4781
ENSMUSG00000015224	-0.0169
ENSMUSG00000015243	0.2637
ENSMUSG00000015290	0.3684
