#compound	Ctr_0H_B10	Ctr_0H_B11	Ctr_0H_B9	Ctr_2H_B10	Ctr_2H_B11	Ctr_2H_B9	Ctr_6H_B10	Ctr_6H_B11	Ctr_6H_B9	Ctr_12H_B10	Ctr_12H_B11	Ctr_12H_B9	Ctr_18H_B10	Ctr_18H_B11	Ctr_18H_B9	Ctr_24H_B10	Ctr_24H_B11	Ctr_24H_B9	Ik_0H_B10	Ik_0H_B11	Ik_0H_B9	Ik_2H_B10	Ik_2H_B11	Ik_2H_B9	Ik_6H_B10	Ik_6H_B11	Ik_6H_B9	Ik_12H_B10	Ik_12H_B11	Ik_12H_B9	Ik_18H_B10	Ik_18H_B11	Ik_18H_B9	Ik_24H_B10	Ik_24H_B11	Ik_24H_B9
Ornithine	-5.114278	-5.452908	-3.647930	-5.309498	-5.285296	-4.972080	-5.147921	-4.260470	-4.860758	0.798692	-4.629978	-4.793535	-5.193049	-5.217124	-5.707164	-5.495889	-5.350916	-3.130898	-5.128401	-5.178222	-5.060960	-5.107404	-5.278955	-5.440689	-5.213553	-5.026742	-5.033206	-5.160323	-4.762743	-5.257398	-5.578181	-5.435722	-5.369748	-5.834817	-4.346430	-5.476153
5-hydroxy-L-tryptophan	-4.691592	-5.320415	-6.210615	-5.796307	-5.412474	-5.600503	-6.662764	-5.510794	-5.507963	-6.602391	-5.136674	-5.505310	-6.091835	-6.242354	-5.193323	-6.070567	-5.633504	-5.448683	-5.078523	-5.408577	-5.806758	-5.823802	-5.201804	-6.432379	-5.541571	-5.861294	-6.285166	-5.403305	-5.378347	-5.382297	-5.583867	-5.819657	-4.944539	-5.627316	-5.713642	-5.202213
putrescine	-1.017618	-1.308457	-0.622733	-0.662717	-0.892483	-1.017075	0.217895	0.059304	0.025154	-0.449569	-0.544126	0.227280	-0.462573	-0.414639	-0.341664	-0.512602	-0.956551	-0.552136	-0.195945	-0.508772	0.383695	-0.774898	-0.131535	-0.487521	0.342085	0.500712	0.656545	-2.133282	-1.913552	-2.037656	-3.570050	-3.475597	-3.723479	-4.574475	-4.975343	-5.101034
methyldopa	0.304936	-0.237367	0.835836	0.109863	0.176835	0.140907	0.959435	0.509335	1.048210	0.659229	0.347609	1.382048	0.680434	0.531271	1.118904	0.861747	0.263858	0.791341	2.089757	1.360183	3.019860	1.512714	1.867322	1.992761	2.314970	1.976986	2.577497	0.895302	1.380894	1.202021	1.289711	1.269503	0.764897	1.272598	0.654447	0.511931
Spermidine	5.870525	5.264506	6.479918	6.099804	5.838588	6.277266	7.149328	5.993150	6.655116	6.319414	6.992459	7.227576	6.286972	6.257882	6.602684	6.360898	6.069957	6.361538	6.218505	6.271246	6.912438	5.921149	6.303314	4.978760	5.014959	7.436935	6.627296	5.221407	5.819454	5.300763	4.817170	4.524047	5.273574	4.720246	4.499112	3.960484
Spermine	2.949016	2.027487	3.165340	3.205032	2.008935	2.829186	3.686503	1.858973	3.406318	2.824551	2.435334	3.959044	3.254773	2.318203	3.570335	3.059836	1.355574	3.118520	3.449486	2.238058	4.033409	2.669085	3.172293	3.124101	2.817120	3.174731	3.240108	1.997912	2.198872	2.076858	2.466562	0.199262	2.755066	1.782005	1.241715	1.090838
Pyruvic acid	3.296658	3.379280	3.384692	3.074038	3.456953	3.302610	3.822808	3.867861	3.736095	3.422744	4.527142	4.023931	3.606009	3.481080	3.291930	3.443540	3.617180	3.276122	3.904472	4.031413	3.577725	3.794925	3.492648	3.681915	3.490531	3.750368	3.632422	3.619730	3.783480	3.763032	3.199668	3.660354	3.237094	2.974667	3.297505	3.389291
Succinic acid	-0.573728	-0.613328	-0.486088	-0.848519	-0.291153	-1.044848	-0.086696	0.254852	-0.077187	-0.277806	0.775254	0.788280	-0.068569	-0.262393	-0.019600	0.128148	-0.308969	-0.514196	-0.165772	-0.219440	0.094381	-0.651181	0.089902	-0.095047	-0.562130	0.416246	-0.362232	-0.860223	-0.341192	-0.641568	-1.422189	-0.880954	-1.293904	-1.238129	-1.415839	-1.497562
Glyceric acid	-1.770797	-2.048883	-2.030283	-2.019217	-1.978259	-1.969121	-1.780898	-1.769447	-1.599050	-2.075714	-1.398113	-1.339716	-2.081796	-2.131627	-1.701574	-2.012489	-2.073782	-1.969745	-1.591711	-1.945999	-1.571721	-1.857210	-1.640621	-1.941068	-1.786399	-1.874978	-1.796635	-2.018745	-1.361006	-2.097572	-2.298743	-2.145613	-1.982827	-2.371312	-2.326439	-2.153068
Fumaric acid	0.532783	-0.618455	-0.025394	-0.303822	-0.387400	-0.298188	0.385879	0.123258	0.323289	0.083279	0.495907	0.718019	0.330672	-0.010244	0.340850	0.261824	-0.235909	0.019261	0.337625	-0.262030	0.390473	-0.512557	0.016590	-0.117951	0.461336	-0.029848	0.109717	-0.014198	-0.338646	-0.474931	-0.596055	-1.190097	-0.686342	-0.336034	-1.466881	-1.137493
Malic acid	-1.755258	-2.002991	-1.025762	-1.611338	-1.610312	-1.850967	-1.090664	-1.010237	-0.946090	-0.965722	-0.828963	-0.404884	-1.116144	-0.991176	-0.706116	-1.050995	-1.321659	-1.114145	-1.450920	-1.655578	-0.445879	-2.111228	-1.069531	-1.052142	-1.583137	-0.886541	-0.961860	-2.484539	-1.825176	-2.438901	-3.174201	-2.798779	-3.043480	-3.550937	-3.809863	-3.979888
Cysteine	2.474650	2.022162	1.760620	2.052747	2.170549	2.099030	2.258777	2.149103	2.291304	1.726688	2.624877	2.400511	2.255496	1.714133	2.257007	2.187029	2.105077	2.072217	2.514335	2.199031	2.080754	2.226257	2.413343	1.805126	2.442916	2.152161	2.010137	2.251466	2.223353	2.200699	2.088816	1.901410	2.144064	2.076825	1.883173	2.047541
Alpha-ketoglutaric acid	-1.207116	-1.318315	-0.544687	-0.757086	-1.165162	-0.872259	-0.205018	-0.417332	-0.029897	-0.607405	-1.798664	0.188779	-0.434413	-1.050057	0.049148	-0.851960	-1.374857	-0.433178	-0.429644	-0.612818	0.076713	-1.120980	-0.379358	-0.508556	-0.557227	-0.476654	-0.014806	-1.759913	-1.581167	-1.321754	-2.148618	-1.983664	-2.069026	-2.749195	-2.975630	-2.859890
Phosphoethanolamine	-0.043344	0.300221	0.864740	-0.216223	-0.211693	-0.671592	0.267642	0.572753	0.077328	0.039790	1.259053	0.935929	0.138509	0.993061	0.592529	0.123944	-0.279692	-0.218516	0.133668	1.111188	1.555674	-1.107215	0.067180	-0.047376	-0.395948	0.230284	0.619304	-0.865765	0.338436	0.321832	-0.736178	0.465703	0.644117	-0.188201	0.307059	-0.022335
Glyceric acid 3-phosphate	-4.454173	-5.325157	-5.979302	-5.814982	-5.504178	-5.933928	-5.355521	-4.938545	-5.543525	-5.858414	-4.907670	-5.282682	-5.746520	-5.342012	-5.880043	-5.431199	-5.685978	-6.021893	-5.389352	-5.553648	-5.117020	-5.475061	-5.648276	-5.954685	-5.543319	-5.693194	-5.399227	-5.578350	-5.597777	-5.667874	-6.045314	-5.593588	-6.117107	-6.223072	-6.105411	-6.136058
Citric acid	-5.298526	-5.656356	-5.003268	-5.514910	-5.917454	-5.619685	-4.616410	-5.471545	-4.655766	-5.041473	-5.301473	-4.462087	-5.274620	-5.112155	-4.773690	-5.587343	-5.681377	-5.220988	-4.550228	-4.970596	-4.234502	-5.547125	-5.325101	-5.615402	-4.881734	-5.136163	-4.455825	-5.596154	-5.486337	-5.170341	-5.731160	-5.800863	-6.013629	-6.721671	-6.592858	-6.520956
Glucose	4.854687	4.872607	5.188901	4.683655	5.047642	4.800922	5.111009	5.199315	5.299520	4.883517	5.884629	5.470362	4.969018	4.901765	4.750745	4.743650	5.048537	4.831892	5.318182	5.449780	4.982376	5.327965	5.024207	4.801295	5.131729	5.076474	5.036327	5.131084	5.193366	5.443782	4.802411	4.979875	4.857058	4.515073	4.722104	4.849048
Mannitol	-5.492788	-5.375857	-5.468977	-5.551652	-5.126124	-5.484368	-4.668339	-4.918039	-4.874411	-5.249568	-4.160214	-4.736307	-5.211831	-5.169717	-5.605440	-5.516200	-5.072964	-5.283918	-4.902067	-4.793813	-5.242913	-4.889113	-5.269549	-5.278704	-5.077238	-5.097341	-5.091487	-5.090266	-5.083214	-4.849247	-5.487724	-5.168448	-5.509475	-5.885495	-5.596542	-5.496095
Myo-inositol	-1.315803	-1.204031	-1.302785	-1.297991	-1.021776	-1.289476	-0.788173	-0.723804	-0.704536	-1.085559	-0.023161	-0.565653	-1.064323	-0.987226	-1.303379	-1.270786	-0.961021	-1.196650	-0.701247	-0.673000	-0.895685	-0.839615	-1.067323	-1.117564	-0.953536	-0.863231	-0.902872	-0.944078	-0.889870	-0.751052	-1.338362	-1.017718	-1.304187	-1.703832	-1.468443	-1.367242
Glucose-6-phosphate	-2.542336	-3.121228	-1.708538	-3.346801	-3.513019	-2.514324	-2.825125	-2.824219	-1.570052	-3.108225	-2.169716	-1.684163	-2.866619	-2.345441	-2.199171	-3.372507	-3.645812	-2.638196	-2.553797	-3.111119	-1.825078	-2.642512	-3.049346	-3.373676	-2.452806	-3.050962	-2.044651	-2.617882	-3.152037	-2.284196	-2.990355	-3.499342	-1.831162	-2.977042	-4.043404	-2.417704
Adenosine	1.811217	0.044704	1.904116	0.378722	-0.603010	0.551471	0.634552	-0.037321	1.124070	0.565567	0.036440	1.604449	0.914671	0.001303	1.340428	0.854432	-0.854513	0.232784	1.102115	-0.574288	0.714139	1.397904	-0.021976	0.043604	1.499440	-0.033232	0.777118	1.330238	-0.209589	0.169615	1.122545	-0.967930	1.609263	1.590977	-0.772025	0.833051
Lactic acid	7.186894	6.363540	6.233193	6.354182	6.402526	6.467706	6.715511	6.591189	6.842290	6.323251	7.759100	7.377699	6.939132	6.339213	6.378972	6.947931	6.513880	6.472364	6.937684	6.523331	6.403682	6.896006	6.513233	6.044500	7.299332	6.426670	6.437095	6.891414	6.612455	6.832354	6.797186	6.133984	6.603527	6.476592	6.013928	6.274363
Thymine	-3.759076	-4.480698	-5.185324	-4.434790	-5.629715	-4.022494	-4.153187	-4.503303	-3.198797	-4.448880	-3.955973	-2.799174	-4.349808	-3.885498	-3.547532	-4.556037	-5.841512	-3.961288	-3.795116	-6.373401	-3.452615	-4.172165	-5.823456	-4.891880	-4.202565	-5.369992	-3.566669	-4.139623	-4.838897	-4.021331	-4.287418	-5.149860	-3.830230	-4.431486	-6.277575	-4.471402
Cytosine	0.912501	-1.204785	-0.701738	-0.134913	-2.855289	-0.366125	-1.281571	-1.144243	-0.780774	-2.469835	-1.442788	-0.411222	-0.449118	-0.707818	0.407135	-0.964137	-2.717375	-1.449003	-1.695791	-1.692567	-1.614827	-1.857572	-2.187400	-2.823715	-0.312020	-1.602163	-1.465968	-0.915310	-0.773486	-1.368712	-0.169120	-1.451725	1.159568	2.360123	-1.664885	0.706358
Ribose-5-phosphate	-0.876582	-0.841675	-5.849666	-0.496455	-2.593013	-0.451101	-0.616399	-1.002407	-1.064574	-1.651950	-1.168136	-1.294982	-1.517269	-1.062445	0.114156	-1.196791	-2.122793	-1.345237	-0.361763	-4.417480	-0.521081	-2.134387	-2.784980	-2.346103	-2.330497	-1.436606	-1.441946	-2.072329	-1.301070	-1.858114	-1.635101	-1.769603	-1.201041	-1.218395	-3.342762	-1.783662
Fructose	5.146223	4.595010	4.543752	4.800337	4.719340	4.842910	5.108934	4.846668	5.285758	4.872957	5.972542	5.650513	5.196273	4.699672	4.494073	4.708159	4.789271	4.769182	5.356396	5.030491	4.503152	5.381388	4.602265	4.422665	5.522395	4.592642	4.844105	5.434378	4.879033	5.420905	5.121036	4.666571	5.015854	4.660583	4.413890	4.748692
Guanine	1.420285	0.463606	-2.860230	0.301461	-1.171123	0.040633	0.228065	-0.452447	-0.108992	-0.191613	-0.772208	0.133722	0.653853	-0.897711	0.410529	0.745737	-1.246734	-0.470171	0.753682	-0.519650	-0.707758	0.020348	-0.470434	-0.449246	0.650502	-0.813843	-0.355593	0.601629	-0.610673	-0.487606	0.875876	-1.471989	0.830219	2.197141	-1.169428	0.011026
Cholesterol	4.417607	4.684982	6.441366	4.373398	4.342045	4.340897	4.662673	5.332005	5.096025	4.086401	5.755850	5.475628	4.385428	5.206870	5.338185	4.511409	3.897538	4.617561	4.645244	5.314569	4.793255	3.804359	5.004275	4.150723	4.407673	5.364497	4.844628	3.801783	4.242540	3.619325	3.651536	4.298681	4.456287	3.766948	3.035861	3.012428
