#geneID:::miRNA	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000014355:::mmu-miR-160-5p	-0.1959	-0.9221	-0.7149	-0.3595	0.2839	-0.3151
ENSMUSG00000014554:::mmu-miR-161-5p	0.1781	0.0094	-0.5086	-0.4931	-0.3442	0.1492
ENSMUSG00000015016:::mmu-miR-162-5p	-0.5952	0.7435	0.1431	0.3796	-0.2982	-0.7310
ENSMUSG00000015023:::mmu-miR-163-5p	-0.2995	0.7017	-0.7022	-0.1985	0.3942	0.2571
ENSMUSG00000015083:::mmu-miR-164-5p	0.3273	-0.3052	-0.3386	0.6633	-0.0817	-0.2858
ENSMUSG00000015149:::mmu-miR-165-5p	0.2665	0.0895	-0.2808	-0.2873	0.0980	-0.1883
ENSMUSG00000015222:::mmu-miR-166-5p	-0.2517	-0.5631	0.1663	0.0038	-0.1000	-0.1778
ENSMUSG00000015619:::mmu-miR-167-5p	-0.0766	-0.1978	-0.2880	-0.0715	-0.0565	-0.2519
ENSMUSG00000015750:::mmu-miR-168-5p	0.2826	-0.1646	-0.0405	-0.1027	-0.3011	0.7060
ENSMUSG00000015806:::mmu-miR-169-5p	1.0881	0.4773	0.9721	1.5296	1.5981	1.0564
ENSMUSG00000016024:::mmu-miR-170-5p	-0.4112	0.6081	0.2648	0.6108	0.1507	-0.0635
ENSMUSG00000016541:::mmu-miR-171-5p	-0.3552	-0.1083	-0.4702	0.0449	0.0668	0.3135
ENSMUSG00000016833:::mmu-miR-172-5p	-0.1490	0.4149	-0.1791	-0.4023	0.2040	0.0205
ENSMUSG00000017831:::mmu-miR-173-5p	-0.4153	0.2870	0.2159	0.0473	0.4841	0.5326
ENSMUSG00000018008:::mmu-miR-174-5p	-0.6377	0.0201	-0.7340	0.5138	0.3149	-0.2357
ENSMUSG00000018189:::mmu-miR-175-5p	-0.0872	-0.3360	0.0569	-0.2687	-0.3618	-0.0651
ENSMUSG00000018341:::mmu-miR-176-5p	0.2171	0.0255	0.3772	0.0010	0.1778	-0.0236
ENSMUSG00000018363:::mmu-miR-177-5p	-0.0898	0.5529	-0.0203	-0.0421	0.5464	-0.1345
ENSMUSG00000018398:::mmu-miR-178-5p	-0.3942	-0.1562	-0.4866	-0.4955	-0.2084	-0.0632
ENSMUSG00000018548:::mmu-miR-179-5p	-0.1120	-0.2417	-0.3147	0.5662	0.1034	0.0412
ENSMUSG00000018841:::mmu-miR-180-5p	0.1745	-0.0743	0.5304	-0.0324	-0.0152	0.2308
ENSMUSG00000018849:::mmu-miR-181-5p	-0.4927	0.2113	-0.2875	0.0809	0.4685	0.3140
ENSMUSG00000018907:::mmu-miR-182-5p	1.2763	1.2453	0.8296	0.8481	1.7406	1.6004
ENSMUSG00000018909:::mmu-miR-183-5p	-0.0494	-0.3450	0.1687	0.0441	0.1889	-0.7551
ENSMUSG00000019254:::mmu-miR-184-5p	0.5287	-0.1097	-0.0905	-0.1546	0.4966	-0.0252
ENSMUSG00000019370:::mmu-miR-185-5p	-0.0464	-0.0767	0.2193	0.5079	0.0888	-0.2678
ENSMUSG00000019810:::mmu-miR-186-5p	0.2809	-0.1491	-0.5914	0.2709	0.2787	-0.1249
ENSMUSG00000019979:::mmu-miR-187-5p	-0.1892	0.1932	0.1973	0.0961	0.5824	-0.1681
ENSMUSG00000020009:::mmu-miR-188-5p	-0.4266	-0.1674	-0.3149	-0.1964	-0.0262	-0.0124
ENSMUSG00000020085:::mmu-miR-189-5p	0.3836	-0.4659	-0.0285	-0.0786	-0.1070	-0.6379
ENSMUSG00000020163:::mmu-miR-190-5p	0.2737	0.3491	-0.2289	0.1026	-0.4935	0.0938
ENSMUSG00000020170:::mmu-miR-191-5p	-0.4666	0.2495	0.0774	-0.4158	-0.0934	0.8406
ENSMUSG00000020171:::mmu-miR-192-5p	-0.5650	0.0050	0.4932	0.1078	0.0869	0.4070
ENSMUSG00000020178:::mmu-miR-193-5p	0.4972	-0.3960	-0.5807	-0.1529	-0.2275	0.1550
ENSMUSG00000020184:::mmu-miR-194-5p	0.1398	0.0650	0.0240	0.2447	0.1443	0.1344
ENSMUSG00000020248:::mmu-miR-195-5p	0.2898	0.1099	0.0276	0.1561	0.3273	-0.6450
ENSMUSG00000020372:::mmu-miR-196-5p	0.4711	-0.0820	0.0840	0.0865	-0.4285	-0.1192
ENSMUSG00000020436:::mmu-miR-197-5p	0.2125	0.2676	0.2705	-0.1698	0.0114	0.6920
ENSMUSG00000020456:::mmu-miR-198-5p	0.2930	0.6444	-0.3862	0.0330	0.0768	-0.7459
ENSMUSG00000020460:::mmu-miR-199-5p	-0.3207	-0.8411	-1.0550	-1.3250	-1.1458	-1.5020
ENSMUSG00000020561:::mmu-miR-200-5p	0.1370	0.0977	0.1753	-0.0866	-0.4133	-0.2980
ENSMUSG00000020566:::mmu-miR-201-5p	-0.3329	-0.0331	0.1076	0.2985	-0.0797	-0.0715
ENSMUSG00000020594:::mmu-miR-202-5p	0.1611	-0.4519	0.0994	-0.1693	-0.2988	-0.4607
ENSMUSG00000020612:::mmu-miR-203-5p	-0.4944	-0.1371	-0.4182	-0.5502	-0.1492	-0.0947
ENSMUSG00000020620:::mmu-miR-204-5p	0.6712	0.6218	0.9538	1.5758	1.8127	1.9463
ENSMUSG00000020704:::mmu-miR-205-5p	0.4293	0.1672	0.0501	0.7709	-0.0229	-0.2865
ENSMUSG00000020720:::mmu-miR-206-5p	-0.8158	-0.8393	-1.1421	-0.5660	-0.9342	-1.5351
ENSMUSG00000020723:::mmu-miR-207-5p	-0.3828	0.0441	-0.1900	-0.2620	0.0904	0.2456
ENSMUSG00000020787:::mmu-miR-208-5p	0.5074	-0.3737	0.6152	0.2253	-0.1968	0.1590
ENSMUSG00000020929:::mmu-miR-209-5p	0.4387	0.0219	-0.0502	-0.3835	-0.0404	0.1960
ENSMUSG00000020955:::mmu-miR-210-5p	-0.3795	0.3236	0.3405	-0.6889	0.0507	-0.0476
ENSMUSG00000021003:::mmu-miR-211-5p	-0.3900	0.0417	-0.6494	-0.6187	-1.4881	-1.4236
ENSMUSG00000021221:::mmu-miR-212-5p	-0.1192	0.2321	0.0933	0.4832	0.2829	0.3430
ENSMUSG00000021238:::mmu-miR-213-5p	0.2776	0.4954	0.1438	0.3144	0.4457	0.4199
ENSMUSG00000021250:::mmu-miR-214-5p	-0.5126	-0.7211	-0.0662	0.0625	0.3560	-0.4578
ENSMUSG00000021264:::mmu-miR-215-5p	-0.1152	-0.0401	-0.2908	-0.2823	-0.7795	-0.1852
ENSMUSG00000021375:::mmu-miR-216-5p	-0.2808	-0.1443	0.1507	0.0097	-0.3619	-0.5580
ENSMUSG00000021453:::mmu-miR-217-5p	0.1389	0.4684	-0.0974	-0.3007	0.1097	0.1997
ENSMUSG00000021466:::mmu-miR-218-5p	0.2868	0.0664	0.3177	0.3904	-0.5082	0.7006
ENSMUSG00000021514:::mmu-miR-219-5p	0.3059	-0.0092	0.1154	-0.2476	0.3327	-0.1518
ENSMUSG00000021549:::mmu-miR-220-5p	0.3766	-0.0749	0.3969	-0.7877	0.6746	-0.1295
ENSMUSG00000021640:::mmu-miR-221-5p	0.1205	-0.4667	0.4504	0.0745	0.0135	0.1426
ENSMUSG00000021668:::mmu-miR-222-5p	-0.0616	0.1505	-0.0896	0.3809	0.1062	-0.0192
ENSMUSG00000021701:::mmu-miR-223-5p	0.2032	0.0661	0.2679	-0.1136	-0.8911	-0.3720
ENSMUSG00000021709:::mmu-miR-224-5p	0.1578	0.0365	-0.5793	0.0705	-0.6733	0.4203
ENSMUSG00000021760:::mmu-miR-225-5p	1.2443	1.0355	1.1307	0.9383	1.5741	1.1279
ENSMUSG00000021782:::mmu-miR-226-5p	-0.3038	0.0967	-0.2385	0.0188	-0.0017	0.1685
ENSMUSG00000021796:::mmu-miR-227-5p	0.0536	-0.3843	-0.3924	-0.1061	-0.0188	-0.2756
ENSMUSG00000021798:::mmu-miR-228-5p	0.4937	0.5079	0.1029	0.3491	0.3075	-0.1075
ENSMUSG00000021832:::mmu-miR-229-5p	-0.0630	-0.5684	0.4975	-0.2268	-0.0826	-0.4527
ENSMUSG00000021866:::mmu-miR-230-5p	-0.6759	-0.0053	0.1735	0.0785	0.0603	0.0843
ENSMUSG00000021884:::mmu-miR-231-5p	-0.4808	-0.5658	-0.5096	-0.6277	-1.5944	-1.4272
ENSMUSG00000021911:::mmu-miR-232-5p	0.2631	0.3384	0.4417	0.0324	-0.1847	0.4351
ENSMUSG00000021944:::mmu-miR-233-5p	0.0204	-0.6261	0.3471	-0.3610	-0.7241	0.2023
ENSMUSG00000021947:::mmu-miR-234-5p	-0.1291	0.5893	-0.1890	0.6269	-0.4593	0.3040
ENSMUSG00000022037:::mmu-miR-235-5p	-0.7378	-1.6333	-0.8232	-1.0599	-0.9272	-0.7963
ENSMUSG00000022090:::mmu-miR-236-5p	-0.1474	0.1116	-0.2161	0.0988	0.3625	0.3580
ENSMUSG00000022186:::mmu-miR-237-5p	0.4777	0.2929	-0.1979	-0.2446	-0.2212	0.0222
ENSMUSG00000022206:::mmu-miR-238-5p	0.3105	0.1951	-0.7794	0.2259	0.2309	0.4902
ENSMUSG00000022218:::mmu-miR-239-5p	-0.3521	-0.9958	-1.9206	-2.1631	-0.9294	-1.9801
ENSMUSG00000022261:::mmu-miR-240-5p	-0.4286	-0.4926	0.1370	-0.3164	0.3408	0.5496
ENSMUSG00000022297:::mmu-miR-241-5p	-0.1429	0.0870	-0.2381	0.0893	0.0496	-0.6434
ENSMUSG00000022309:::mmu-miR-242-5p	-0.2369	0.5494	-0.5747	0.5384	0.0228	-0.0435
ENSMUSG00000022325:::mmu-miR-243-5p	0.0417	-0.2341	0.6357	0.1847	-0.0248	0.3007
ENSMUSG00000022351:::mmu-miR-244-5p	0.6164	0.5893	0.1998	-0.4953	0.1081	0.0605
ENSMUSG00000022365:::mmu-miR-245-5p	0.3134	0.0784	0.3579	-0.3019	-0.0244	-0.3695
ENSMUSG00000022377:::mmu-miR-246-5p	-0.0992	0.0032	0.2991	-0.2131	0.1508	0.4977
ENSMUSG00000022428:::mmu-miR-247-5p	-0.0898	0.0402	-0.2553	-0.0010	-0.4218	0.4183
ENSMUSG00000022433:::mmu-miR-248-5p	-0.4445	0.3952	-0.4451	-0.3513	-0.6033	-0.2560
ENSMUSG00000022450:::mmu-miR-249-5p	-0.6319	0.3244	-0.1222	0.9646	0.2279	-0.2478
ENSMUSG00000022504:::mmu-miR-250-5p	-0.0705	-0.3766	-0.9007	0.1788	-0.2783	0.0138
ENSMUSG00000022512:::mmu-miR-251-5p	-1.3339	-0.9001	-1.2866	-1.5864	-2.0797	-1.6950
ENSMUSG00000022574:::mmu-miR-252-5p	0.3334	-0.2729	1.2080	0.9504	0.7393	1.6385
ENSMUSG00000022610:::mmu-miR-253-5p	-0.0425	-0.5185	0.4452	-0.1693	-0.2874	-0.3546
ENSMUSG00000022742:::mmu-miR-254-5p	0.4725	-0.0601	0.7108	-0.3166	-0.2700	0.0623
ENSMUSG00000022770:::mmu-miR-255-5p	0.0648	0.2127	0.5683	-0.2657	-0.2314	-0.3855
ENSMUSG00000022808:::mmu-miR-256-5p	-0.6321	-0.2562	0.0622	0.4461	-0.3764	0.1062
ENSMUSG00000022858:::mmu-miR-257-5p	0.7460	0.1453	0.1018	-0.0513	0.0434	-0.6874
ENSMUSG00000022881:::mmu-miR-258-5p	-0.1313	0.1576	-0.0359	-0.1042	-0.1455	-0.0071
ENSMUSG00000022885:::mmu-miR-259-5p	0.0935	0.2399	-0.2192	0.1550	-0.0813	-0.5214
ENSMUSG00000022889:::mmu-miR-260-5p	0.5066	0.4613	0.1510	-0.1735	-0.0225	-0.2042
ENSMUSG00000022952:::mmu-miR-261-5p	0.3262	-0.2254	-0.4351	0.1391	0.3007	-0.4692
ENSMUSG00000022997:::mmu-miR-262-5p	-0.6543	-0.1206	-0.1467	0.1504	0.2990	-0.2839
ENSMUSG00000023192:::mmu-miR-263-5p	-0.4129	-0.3207	0.3658	0.6471	0.2891	-0.6263
ENSMUSG00000023249:::mmu-miR-264-5p	0.3071	0.0081	-0.6148	0.0759	0.6212	-0.4182
ENSMUSG00000023349:::mmu-miR-265-5p	-0.1456	0.5152	0.6038	-0.4079	0.1891	-0.2860
ENSMUSG00000023443:::mmu-miR-266-5p	0.3294	0.8987	0.4331	1.2096	1.1613	1.3091
ENSMUSG00000023452:::mmu-miR-267-5p	-0.4964	-0.4286	0.1158	0.2758	0.0062	-0.4268
ENSMUSG00000023829:::mmu-miR-268-5p	-0.1898	-0.8189	-0.0755	-0.4063	0.3703	-0.1278
ENSMUSG00000023915:::mmu-miR-269-5p	0.3227	0.4159	0.8712	0.0723	0.3382	-0.3579
ENSMUSG00000023932:::mmu-miR-270-5p	-0.3520	-0.4578	-0.5651	0.2833	0.5908	0.3663
ENSMUSG00000023951:::mmu-miR-271-5p	0.1589	0.2320	0.0827	0.2147	0.1833	0.0835
ENSMUSG00000023953:::mmu-miR-272-5p	-0.3137	-0.4341	-0.5073	-0.3746	-0.2462	0.1401
ENSMUSG00000023979:::mmu-miR-273-5p	-0.5740	0.5427	0.0345	0.1535	0.6959	-0.1578
ENSMUSG00000023980:::mmu-miR-274-5p	0.4724	-0.0048	-0.2288	-0.2907	0.0479	0.0654
ENSMUSG00000024027:::mmu-miR-275-5p	-0.2310	-0.4215	0.4539	-0.0693	-0.3103	-0.6131
ENSMUSG00000024042:::mmu-miR-276-5p	0.2129	-0.4721	0.4749	0.5683	0.4216	0.4262
ENSMUSG00000024056:::mmu-miR-277-5p	0.2865	0.0459	-0.1050	-0.2991	0.6576	-0.3616
ENSMUSG00000024112:::mmu-miR-278-5p	-0.6203	-0.5067	-0.4961	-1.5385	-1.1048	-1.6148
ENSMUSG00000024131:::mmu-miR-279-5p	-0.3225	-0.0251	0.1321	0.2215	-0.3898	0.6052
ENSMUSG00000024145:::mmu-miR-280-5p	-0.0351	-0.6067	0.1282	-0.1410	0.5524	0.0123
ENSMUSG00000024173:::mmu-miR-281-5p	0.1908	0.4512	-0.0075	-0.3624	-0.0846	0.2614
ENSMUSG00000024210:::mmu-miR-282-5p	0.4207	0.2942	-0.2850	0.0808	0.0050	0.1262
ENSMUSG00000024225:::mmu-miR-283-5p	0.4477	0.1285	-0.2402	-0.4761	0.3676	-0.2149
ENSMUSG00000024301:::mmu-miR-284-5p	0.0227	-0.0691	-0.1776	-0.2421	-0.0608	0.0415
ENSMUSG00000024399:::mmu-miR-285-5p	-0.4418	-0.1701	0.3900	-0.0869	-0.2401	-0.1681
ENSMUSG00000024402:::mmu-miR-286-5p	-0.0575	0.3163	0.0402	0.4984	-0.7789	-0.4033
ENSMUSG00000024525:::mmu-miR-287-5p	-0.3393	0.1623	-0.2721	0.0084	0.0137	0.6034
ENSMUSG00000024620:::mmu-miR-288-5p	0.2045	0.8983	-0.0956	0.3923	-0.4353	-0.2602
ENSMUSG00000024654:::mmu-miR-289-5p	-0.2595	0.0307	0.0519	0.2169	-0.1038	0.1091
ENSMUSG00000024727:::mmu-miR-290-5p	-0.5122	-0.3205	0.2479	-0.5244	0.0163	0.4851
ENSMUSG00000024847:::mmu-miR-291-5p	0.6044	-0.4596	0.3134	0.3816	-0.6825	0.2550
ENSMUSG00000024870:::mmu-miR-292-5p	-0.1116	0.1943	-0.1688	-0.4271	-0.6778	-0.4119
ENSMUSG00000024887:::mmu-miR-293-5p	0.9862	1.3550	0.8540	1.3421	1.8539	1.3516
ENSMUSG00000024925:::mmu-miR-294-5p	0.6731	0.4669	0.1163	0.4206	-0.3860	-0.0633
ENSMUSG00000024927:::mmu-miR-295-5p	-0.7333	-0.7567	-1.0610	-0.8636	-0.2816	-1.0707
ENSMUSG00000024935:::mmu-miR-296-5p	0.2169	-0.0492	-0.4577	0.4442	-0.9273	0.1016
ENSMUSG00000025003:::mmu-miR-297-5p	0.1516	-0.0151	-0.0971	0.4724	-0.2421	-0.1836
ENSMUSG00000025024:::mmu-miR-298-5p	0.2036	-0.1893	-0.6781	-0.4653	0.0214	-0.2627
ENSMUSG00000025142:::mmu-miR-299-5p	0.4080	0.6093	0.3817	-0.4102	0.0094	0.1039
ENSMUSG00000025234:::mmu-miR-300-5p	0.0343	-0.3817	-0.2587	-0.1181	-0.1939	0.5624
ENSMUSG00000025317:::mmu-miR-301-5p	0.0284	0.0487	0.1304	0.4795	0.4096	-0.4511
ENSMUSG00000025401:::mmu-miR-302-5p	0.2486	-0.3527	0.1839	0.3265	0.2727	0.6261
ENSMUSG00000025410:::mmu-miR-303-5p	-0.0079	0.1775	0.2211	-0.0432	0.1680	-0.1954
ENSMUSG00000025422:::mmu-miR-304-5p	0.2411	0.2872	-0.1685	-0.2772	0.5724	-0.3621
ENSMUSG00000025503:::mmu-miR-305-5p	0.5215	-0.3502	0.3386	0.4095	0.7713	0.4578
ENSMUSG00000025532:::mmu-miR-306-5p	-0.5499	0.1768	0.4347	0.1147	-0.6497	-0.4148
ENSMUSG00000025578:::mmu-miR-307-5p	0.2395	-0.8017	0.4601	-0.0960	-0.5904	-0.3321
ENSMUSG00000025584:::mmu-miR-308-5p	0.1396	-0.1024	-0.1354	-0.0953	0.2477	-0.1269
ENSMUSG00000025737:::mmu-miR-309-5p	-0.0636	0.1530	0.1797	0.0277	-0.8800	0.0869
ENSMUSG00000025872:::mmu-miR-310-5p	-0.1097	0.1204	0.2422	-0.5545	-0.4837	0.1596
ENSMUSG00000025880:::mmu-miR-311-5p	0.4890	0.2168	0.0474	-0.3200	0.0424	0.7810
ENSMUSG00000025902:::mmu-miR-312-5p	-0.0412	0.2178	-0.6135	0.6406	-0.4584	1.2296
ENSMUSG00000025929:::mmu-miR-313-5p	-0.2547	-0.2494	-0.0763	0.0677	-0.5746	-0.9921
ENSMUSG00000026024:::mmu-miR-314-5p	-0.1899	0.1603	0.0727	0.0037	0.1533	0.6961
ENSMUSG00000026069:::mmu-miR-315-5p	-0.0212	-0.2466	-0.0751	-0.1685	0.2559	-0.3598
ENSMUSG00000026082:::mmu-miR-316-5p	0.0139	0.1183	0.3373	0.1597	0.3258	-0.1146
ENSMUSG00000026167:::mmu-miR-317-5p	-0.0088	0.3330	-0.2451	-0.2487	-0.1068	0.0461
ENSMUSG00000026187:::mmu-miR-318-5p	-0.0581	-0.7617	0.5031	-0.3576	0.1881	-0.1641
ENSMUSG00000026208:::mmu-miR-319-5p	0.5651	-0.3440	-0.5421	0.0449	0.2378	0.1980
ENSMUSG00000026241:::mmu-miR-320-5p	-0.1022	0.5115	0.5295	0.0676	0.5116	0.3279
ENSMUSG00000026253:::mmu-miR-321-5p	-0.3925	0.2762	0.1803	-0.5210	-0.1406	0.2816
ENSMUSG00000026280:::mmu-miR-322-5p	0.2762	-0.3577	-0.0723	-0.1466	-0.2018	-0.0655
ENSMUSG00000026439:::mmu-miR-323-5p	-0.8163	0.3446	0.2464	-0.0476	0.3988	-0.0103
ENSMUSG00000026456:::mmu-miR-324-5p	-0.8772	-1.4640	-1.2152	-1.5254	-2.2267	-1.8668
ENSMUSG00000026470:::mmu-miR-325-5p	-0.2553	0.0994	-0.4749	-0.7819	0.0505	0.1065
ENSMUSG00000026482:::mmu-miR-326-5p	0.2498	0.3770	0.1466	-0.2200	-0.2685	0.3809
ENSMUSG00000026565:::mmu-miR-327-5p	-0.2491	0.3951	-0.8510	-0.4256	0.6029	0.4218
ENSMUSG00000026822:::mmu-miR-328-5p	0.5463	0.0060	-0.5106	-0.3152	-0.0500	-0.1274
ENSMUSG00000026828:::mmu-miR-329-5p	0.4396	0.1434	-0.1046	-0.0264	-0.2725	-0.1605
ENSMUSG00000026860:::mmu-miR-330-5p	-0.1974	0.5276	0.0571	-0.0802	-0.3173	-0.4647
ENSMUSG00000026923:::mmu-miR-331-5p	-0.1632	-0.1279	0.2726	0.2181	-0.4965	0.1742
ENSMUSG00000026956:::mmu-miR-332-5p	-1.2081	-1.1832	-1.0611	-1.9333	-1.5234	-1.9244
ENSMUSG00000026981:::mmu-miR-333-5p	0.1944	-0.1153	-0.4925	-0.4137	-0.2242	0.0145
ENSMUSG00000026994:::mmu-miR-334-5p	-0.4762	-0.0983	-0.6909	-0.0245	-0.4353	0.1004
ENSMUSG00000027011:::mmu-miR-335-5p	-0.3179	0.9030	0.3562	0.1087	-0.0830	0.3562
ENSMUSG00000027012:::mmu-miR-336-5p	-0.0625	0.0043	-0.0253	-0.2696	-0.3342	-0.5712
ENSMUSG00000027115:::mmu-miR-337-5p	0.0671	0.3719	0.3857	0.3161	0.2917	0.0669
ENSMUSG00000027198:::mmu-miR-338-5p	-0.7432	-0.0116	-0.2760	0.1927	-0.2482	0.4611
