#compound	T00h	T02h	T06h	T12h	T18h	T24h
Uridine 5'-triphosphate	0.2783	-0.3090	0.0889	-0.0102	0.3585	0.0242
Calcium cation	0.2444	0.2127	0.2900	-0.5575	-0.0393	0.1878
L-Ornithine	0.8362	-0.1723	0.0967	-0.0904	0.0939	-0.1311
L-Tryptophan	-0.1818	0.2006	0.2851	0.0237	0.2891	0.1350
L-Phenylalanine	-0.1514	-0.0090	0.1601	-0.0949	0.4280	0.5153
Hydron	0.0947	0.2279	-0.3305	-0.4125	-0.2995	0.6156
Inosine 5'-triphosphate	-0.3008	-0.5649	0.4097	0.4850	-0.4326	0.1765
L-Tyrosine	-0.1417	0.3341	-0.4003	0.3221	0.3152	-0.3071
Malonyl-CoA	-0.6295	0.1526	-0.2709	0.0400	0.1979	-0.2789
Acetaldehyde	0.4130	0.2859	0.2674	-0.2019	0.1244	0.0485
D-Fructose 6-phosphate	-1.0184	-0.3166	-0.2476	0.2600	-0.0120	0.0608
Carbamide	-0.2983	-0.2022	-0.0349	-0.4402	-0.3401	-0.0087
Sulfur	0.3425	0.0319	-0.2786	-0.1582	0.0853	-0.8222
Nitrite	1.1050	1.5049	1.9117	1.6837	2.0911	3.3424
Sucrose	0.4245	0.2042	0.6233	-0.4902	0.2441	-0.4691
Catechol	-0.0429	0.0887	0.2388	0.2679	-0.1751	-0.1080
Succinyl-CoA	-0.0168	-0.6074	0.3464	0.5694	-0.0809	-0.0952
D-Glucose 6-phosphate	-0.6020	-0.4596	0.2280	-0.9076	-0.3510	0.2099
sn-Glycerol 3-phosphate	-0.9588	-1.2090	-1.9698	-2.0941	-1.7811	-2.5434
Sulfite	-0.0409	-0.0642	0.0253	-0.1704	0.3864	-0.0591
D-Fructose	0.3970	-0.2700	-0.3120	-0.0110	0.3091	0.1423
GDP-mannose	-0.2931	0.1618	-0.0702	0.8302	0.0198	-0.3687
L-Cysteine	-0.2702	-0.0067	-0.5392	0.0790	-0.8341	0.0682
Oligopeptide	-1.0145	-1.5037	-2.2946	-1.8343	-2.1414	-2.1948
beta-Alanine	0.0380	0.2172	0.5523	-0.3587	-0.7610	-0.3538
Propanoyl-CoA	-0.3541	0.0344	-0.0974	-0.4107	0.0498	-0.1593
Tetrahydrofolate	-0.1762	-0.2508	-0.0713	-0.0917	0.4090	-0.5875
D-Glucose 1-phosphate	-0.3508	-0.3899	0.0407	-0.8186	0.6811	-0.0510
Inosine 5'-diphosphate	0.3218	-0.0455	-0.5355	0.1508	-0.3439	-0.5814
Uridylic acid	-0.2641	-0.0688	-0.1902	0.7681	-0.1034	0.3744
Uracil	0.3828	0.2246	0.3909	-0.7166	0.0677	-0.1145
Dipeptide	1.0914	1.5693	1.3298	2.3209	2.0038	2.8384
Anthranilate	-0.2184	0.6438	0.3785	-0.4247	0.2563	0.3733
alpha-Ketobutyric acid	0.0289	-0.2864	0.3014	0.0431	0.1739	0.8150
Dolichyl phosphate	-0.4335	-0.5831	0.4271	0.3432	0.2425	-0.3753
Glycerone phosphate	0.1858	-0.0960	-0.1781	0.1959	0.1943	0.1083
Cytidine 5'-diphosphate	-0.0187	-0.6093	-0.1136	-0.0151	-0.3722	-0.0424
Choline	-0.1873	-0.1225	0.5126	0.2731	-0.2098	-0.1156
Glycerol	0.2123	-0.0166	-0.3342	-0.1490	-0.0658	-0.0681
D-Ribose 5-phosphate	0.0536	0.2421	-0.0279	0.0626	-0.5378	-0.1528
D-Glyceraldehyde 3-phosphate	-0.7409	0.4029	0.2750	0.1542	0.2149	-0.3296
Biotin	-0.1242	-0.0011	-0.1134	-0.5663	-0.3753	-0.4181
D-Ribose	0.0500	-0.3498	-0.0063	0.3593	0.1944	-0.9819
Fumarate	0.1559	-0.1362	-0.0793	-0.2924	-0.3742	-0.0414
L-Leucine	0.1381	0.1202	0.0306	0.6829	0.2562	0.2151
D-Galactose	0.1140	-0.0463	-0.1616	0.1102	0.0317	-0.3853
Glutathione disulfide	-0.3420	0.5439	0.0843	0.0878	-0.0511	-0.3532
CMP-N-acetylneuraminate	0.5810	0.6548	-0.1988	0.2834	-0.3589	-0.0080
Isopentenyl diphosphate	0.5256	-0.0154	0.0886	-0.2057	0.1497	0.1904
Inosinic acid	0.0345	-0.0436	-0.0023	-0.4376	-0.5244	0.0176
Deoxyadenosine 5'-triphosphate	0.3989	0.1782	-0.2808	-0.4192	0.1489	0.2262
Methanol	0.1198	0.2036	0.0295	0.3189	-0.3864	-0.4671
D-Alanine	-0.0181	-0.1348	0.0566	-0.5601	-0.0428	0.4357
Putrescine	0.0702	-0.3333	-0.2386	-0.2614	-0.0977	0.3310
L-Histidine	-0.2547	0.4405	-0.7168	0.5446	0.2978	0.0729
Butanoyl-CoA	-0.0856	0.4669	-0.5117	0.4118	-0.6755	-0.0698
myo-Inositol	-0.2711	0.6079	0.1200	-0.2079	0.1800	0.5847
N-Acetyl-D-glucosamine	1.5324	1.7586	1.9296	1.6157	1.4867	2.7149
alpha-Ketovaline	-0.0249	0.0125	-0.1216	0.3410	-0.4653	0.1893
Guanosine 5'-phosphate	-0.0654	0.4419	-0.9912	0.1327	0.2424	-0.1960
Phenol	-0.0113	0.1408	0.1723	-0.2126	0.0699	-0.2414
Adenine	0.0552	0.9790	-0.0207	-0.7042	-0.2952	0.2995
L-Proline	0.3330	-0.5365	-0.1985	0.5469	-0.0586	-0.5128
L-Malate	0.1575	-0.1738	0.2688	-0.7670	-0.3069	-0.4065
L-Amino acid	1.7160	2.2540	1.7386	2.2205	2.7969	2.5581
L-Asparagine	0.5696	-0.1381	-0.9555	0.1742	0.5568	-0.0415
Nicotinamide	0.0420	-0.0013	0.0941	0.2844	-0.0782	-0.2394
Palmitoyl-CoA	0.1895	0.1573	-0.4908	0.1456	-0.2521	0.3475
L-Homocysteine	0.1599	0.3953	-0.5225	0.4097	0.0240	0.0119
Hydroxybenzoic acid	0.4573	0.4905	0.2844	-0.7914	-0.1089	0.4196
Phosphatidylcholine	0.2421	-0.2301	-0.1888	-0.1385	-0.0404	0.0255
Citrate	0.7254	0.1693	-0.0062	-0.4962	-0.3325	-0.2256
D-Mannose	-0.4119	0.0216	0.2022	-0.1005	0.3971	0.5190
Glycolate	0.7472	-0.5693	0.4097	-0.1230	-0.0455	0.4064
Fatty acid	0.2770	-0.2640	0.4678	-0.4160	0.1266	-0.1968
Propanoate	-0.7594	0.0421	-0.0690	0.0692	0.8579	-0.0491
Acetoacetate	0.1595	0.8514	-0.1116	-0.0076	-0.0895	0.3069
Diacylglycerol	-0.2759	-0.0302	-0.2147	0.2712	-0.1646	-0.0433
Phenylpyruvate	-0.3560	0.5495	0.1644	-0.4573	0.1115	0.0158
UDP-glucuronate	0.2122	-0.1683	-0.4126	-0.3544	0.2810	0.5249
Hydroxypyruvate	0.3650	0.5323	-0.8487	0.5235	0.3604	-0.3914
Carbamoyl phosphate	0.7568	0.0573	-0.2442	0.1088	0.0860	0.4380
Methylthioadenosine	-0.3053	0.0675	0.0155	0.0284	0.3325	0.0299
Cobalt ion	0.7540	-0.3031	0.1257	0.2741	-0.3148	0.0963
Thymine	-0.4751	0.0744	0.2005	-0.1712	-0.0531	-0.5418
Agmatine	-0.2682	-1.0808	0.2259	0.3764	0.0078	-0.4962
Benzoate	-0.3211	0.5139	0.0590	-0.1021	-0.0535	0.0614
D-Xylose	-0.8967	-1.6315	-1.7615	-1.7872	-2.0792	-2.2872
Glycogen	0.0173	0.1248	0.3099	-0.4833	0.2885	0.2033
L-Valine	1.0176	0.5806	0.5156	0.5085	1.6755	1.6161
Glycerone	-0.0845	-0.0455	0.0420	-0.1101	-0.5228	-0.0104
Cellobiose	-0.7805	-1.5878	-1.8883	-1.9816	-2.0738	-2.5793
L-Lactate	-0.3106	0.3521	0.0584	-0.5634	-0.2315	-0.0529
Cholesterol	-0.3115	0.2110	-0.3498	-0.0186	0.0694	0.0367
L-Threonine	0.3010	0.0119	-0.1141	0.6588	0.1978	0.0664
Ethanolamine	0.1172	0.2651	0.1194	0.0727	-0.7596	0.5151
UDP-D-xylose	0.2183	-0.3027	-0.2134	-0.6139	0.0977	-0.6338
D-Glucuronate	-0.2991	-0.0911	-0.3502	0.1791	0.1226	-0.2833
Hydroxylamine	-0.1787	-0.2195	-0.2462	0.3657	-0.1739	-0.1516
Cobamide coenzyme	-0.4997	0.0945	-0.3850	-0.1631	0.5702	-0.5390
N-Acylsphingosine	-0.1830	-0.2285	-0.3231	-1.2148	-0.3398	-0.2431
D-Glycerate 3-phosphate	0.4388	-0.0314	-0.6218	0.0376	0.0236	0.4959
Gluconic lactone	-0.2730	-0.5333	-1.8465	-1.8478	-0.5174	-1.4787
D-Ribulose 5-phosphate	0.0461	0.0656	-0.1405	-0.2452	-0.6088	-0.2941
UDP-N-acetyl-D-galactosamine	1.2838	1.5588	0.9385	1.7933	2.9199	2.6105
Acetone	0.1602	-0.3294	-0.1636	-0.4966	-0.0176	0.0158
Maltose	-0.5426	0.3106	-0.0270	-0.1609	-0.0989	0.2403
Oxalate	-0.4267	-0.3194	0.1634	-0.1932	0.5033	-0.2984
Adenosine	0.2455	-0.0657	-0.2701	-0.1454	0.4266	-0.1374
Sarcosine	-0.4102	-0.1636	0.1836	-0.0621	0.4044	0.0285
Thymidine	0.0397	0.4767	0.3426	-0.1916	-0.4659	0.1378
D-Arabinose	0.5378	-0.1439	-0.1671	-0.0834	-0.7440	-0.1690
D-Glutamate	-0.0820	-0.2685	-0.0469	-0.0538	0.1805	-0.3566
Methylamine	-0.1638	0.4385	0.4981	0.2184	0.6271	-0.7314
Arachidonate	-0.0581	0.1127	-0.1717	0.1149	0.1939	0.2704
beta-D-Glucose	0.0593	0.1192	-0.0831	-0.2732	0.1534	-0.2225
Malonate semialdehyde	0.1121	0.3309	0.5384	-0.3998	-0.3305	-0.2489
p-Coumaroyl-CoA	-0.4365	0.1716	-0.2541	0.2151	0.2572	0.1099
Adenylyl sulfate	0.1772	-0.4442	0.0271	0.0288	0.0569	0.4170
Primary alcohol	-0.0588	-0.2418	-0.3487	-0.1463	0.2033	-0.1703
Acetyl phosphate	0.8237	-0.1780	0.0605	0.0454	-0.5165	0.3021
Acyl-carrier protein	-0.3025	-0.4106	0.1771	0.3672	-0.3324	-0.2855
Protocatechuate	0.3795	-0.0437	0.6013	-0.0647	0.1201	-0.4201
D-Xylulose 5-phosphate	-0.0983	0.2107	0.0234	0.2165	0.4083	-0.3992
Succinate semialdehyde	0.2077	-0.0991	-0.0572	0.4202	-0.1418	0.2114
alpha-Ketoisocaproate	0.0407	-0.2527	0.3265	0.3314	-0.1693	-0.2128
Dimethylallyl diphosphate	-0.6092	-0.2295	-0.6354	0.1022	-0.4361	-0.0506
Carbon monoxide	-0.4402	-0.0299	-0.4494	0.1033	-0.3630	-0.0166
Potassium cation	-0.7683	0.6331	-0.4989	-0.6097	-0.0953	0.0841
Deoxycytidylic acid	0.1452	0.3706	-0.5035	0.2804	-0.2573	0.4825
Guanine	-0.4636	-0.0754	-1.0679	-0.4370	-0.5085	-1.0076
Lactose	1.0233	1.6335	1.9506	1.9677	2.3227	2.8747
Nitrate	1.3434	1.3554	1.8380	1.4648	2.3967	2.7915
Taurine	0.8285	1.4033	2.4198	2.0746	2.7051	3.0786
Butanoic acid	0.1710	-0.3934	-0.5131	0.3175	-0.2273	0.2004
L-Sorbose	-0.4620	0.0587	0.0190	-0.1445	0.0122	-0.7094
Hexadecanoic acid	-0.2609	-0.3632	-0.0034	-0.0318	-0.2104	0.1242
Pyridoxal	-0.2140	-0.5578	0.4280	-0.1169	-0.0220	-0.5591
Chorismate	-0.1900	-0.2627	-0.2810	-0.1041	-0.3116	-0.4748
Isomaltose	-0.6530	-0.2914	0.0984	0.0970	-0.2360	0.2852
Nicotinate	0.0438	-0.0629	-0.4790	-0.1655	0.8779	-0.1475
Prephenate	-0.7350	0.0806	0.2796	0.6942	0.1610	0.2687
Riboflavin	1.3251	1.0425	1.4290	0.8926	2.1245	2.8099
D-Lactate	0.1509	-0.3013	0.5426	-0.2998	0.4615	-0.9080
D-Gluconic acid	0.1068	-0.0400	-0.0020	0.1322	-0.4888	-0.0042
D-Glycerate	1.0956	-0.1019	0.0245	-0.2594	0.2745	0.0917
L-Arabinose	0.9940	1.2751	1.6463	1.6755	2.6057	2.6322
Benzaldehyde	0.6027	0.4045	0.6819	0.4685	-0.0241	-0.2267
Hypoxanthine	0.0566	-0.0398	0.1256	-0.6037	-0.4451	-0.1177
L-Homoserine	0.2290	0.1094	0.0595	0.4787	-0.6045	-0.3921
Glycolaldehyde	-0.4817	0.5542	0.2029	0.2480	0.3371	0.3527
alpha-D-Glucose	-0.3929	-0.2734	0.3488	0.0865	-0.2179	0.5558
Dihydrobiopterin	0.2163	0.7382	-0.2288	-0.7690	0.3002	-0.1421
CDP-diacylglycerol	0.3208	0.0685	0.2553	-0.3224	0.0092	0.2295
N-Acetylneuraminate	1.5077	2.1662	1.5508	1.1048	2.9352	2.1656
Tetrahydrobiopterin	-0.7019	-0.2215	0.0258	-0.0542	-0.0363	-0.2681
D-Mannose 6-phosphate	-1.5184	-1.5594	-1.1909	-2.4711	-2.1715	-2.5554
D-Erythrose 4-phosphate	-0.2347	0.3365	0.1118	0.2985	-0.2152	0.1449
Androstenedione	0.2758	0.2630	0.6391	0.0100	0.4371	0.2330
Hydrogen	0.6756	1.3240	0.8103	1.2908	1.3354	1.4703
Hydrogen sulfide	0.4146	0.3007	0.4505	-0.3999	-0.2722	-0.7730
Deoxyguanosine 5'-triphosphate	-0.1535	-0.0939	0.0881	0.2213	-0.0345	-0.6614
HCO3-	-0.1698	0.5990	-0.0072	0.5467	0.3465	0.1429
Fibrin	-0.4302	-0.9520	-0.9199	-1.1158	-1.3477	-1.2684
Nickel	0.0959	-0.0405	-0.3636	-0.0658	0.2714	0.6559
Inosine	1.6080	1.2078	1.7220	1.7280	2.1142	2.7937
Orotate	0.6357	0.3801	0.4476	-0.6324	-0.0242	0.0510
Quinate	0.0022	-0.7463	-0.5882	0.3278	0.3583	-0.0505
Uridine	0.4846	0.2490	-0.4051	-0.4120	0.4005	0.3388
Creatine	0.6010	-0.1676	-0.0890	-0.4295	0.2223	-0.4730
ADP-ribose	0.0705	0.0855	0.3060	0.5616	-0.1543	0.1566
Glutamate	0.4584	-0.1990	-0.2843	0.3164	-0.4625	-0.3045
Magnesium cation	-0.4222	-0.2882	0.3529	0.2236	0.4523	0.3701
Bradykinin	0.2734	0.2731	-0.3897	0.2127	0.1806	-0.5374
CDP-choline	-0.0421	-0.4525	0.4870	-0.8412	0.4063	-0.3485
D-Ribulose	-0.4975	-1.2141	-1.0015	-1.4604	-1.3561	-0.9638
D-Xylulose	-0.2719	-0.6007	-0.7731	-1.4601	-1.3133	-1.0817
Isocitrate	-0.3596	0.1464	0.4644	0.1474	-0.2396	-0.2040
L-Xylulose	-0.4411	-0.5078	0.2507	0.3225	-0.0953	0.0192
Oxalyl-CoA	-0.4156	0.0206	-0.0866	-0.1511	-0.0109	0.1632
Pyridoxine	0.2285	-0.0611	0.2805	0.3102	-0.0562	0.1276
Spermidine	1.2193	1.2883	1.6455	1.6640	0.9529	1.1419
L-Carnitine	0.5969	1.1010	0.4239	0.5222	1.2247	1.1653
Sphingosine	0.8073	1.4323	2.5297	1.7104	2.1606	2.7892
Thiosulfate	-0.1374	0.0894	-0.0372	-0.7107	-0.4208	-0.0418
Caffeoyl-CoA	-0.3744	0.7662	0.0548	0.3544	0.2184	-0.0024
GDP-L-fucose	0.7627	1.9471	2.0934	2.4197	2.2533	2.6059
L-Citrulline	-0.0703	0.3308	0.8799	-0.1567	-0.0520	-0.3974
L-Kynurenine	-0.4088	-0.1395	0.4756	-0.0960	0.0427	0.1369
D-Glucosamine	0.2625	-0.2330	0.1098	0.2616	0.0818	-0.3752
Deoxyguanosine	1.5651	0.6924	1.2807	1.1832	2.3696	1.8326
Indolepyruvate	-0.1740	0.0838	-0.4117	-0.4320	0.0690	-0.1483
Acetoacetyl-CoA	0.2350	0.6942	-0.0083	-0.0623	0.7450	-0.3631
D-Galacturonate	-0.0223	-0.6648	0.0040	-0.2236	0.5436	-0.3815
gamma-Aminobutyric acid	-0.3683	0.0885	0.6164	-0.5808	-0.0306	0.6597
L-Dihydroorotate	0.3184	0.4605	0.2102	0.0045	0.3753	-0.1975
Lipopolysaccharide	-0.0018	0.1365	-0.4685	-0.3061	0.1852	-0.1359
Reduced rubredoxin	-0.4347	-0.1683	-0.3095	0.1737	1.0560	-0.2804
Geranyl diphosphate	0.2533	0.6067	-0.5197	0.5549	-0.6605	-0.2359
Phosphatidylglycerol	-0.4727	0.1883	0.1293	-0.3929	0.2329	0.1003
Ethanolamine phosphate	1.0722	1.3142	2.2481	1.5886	2.3897	2.0946
Methylmalonate semialdehyde	1.2739	0.5437	1.5049	1.1895	1.9501	0.9619
Phosphatidylethanolamine	0.2324	-0.0732	0.0614	0.5117	-0.1916	0.2941
D-Glucosamine 6-phosphate	-0.1323	-0.2915	0.6362	-1.1894	-0.0762	-0.0483
Geranylgeranyl diphosphate	0.9384	0.7246	0.0740	0.8297	1.1960	1.1416
L-Dopa	0.1716	-0.0560	0.0341	0.1572	-0.0799	-0.2675
Hydroxymethylglutaryl-CoA	0.7305	-0.0677	0.0375	-0.3471	0.3167	-0.3565
N-Acetyl-D-glucosamine 6-phosphate	-0.1318	-0.0776	-0.1693	0.3662	0.2070	-0.0761
Deoxyadenylic acid	-0.1236	-0.0565	0.1622	-0.0705	0.1230	0.2451
Deoxyguanylic acid	0.5897	0.2736	-0.3914	-0.0291	-0.1420	0.3181
Deoxythymidine 5'-diphosphate	0.1208	-0.1633	-0.4095	0.1365	-0.2352	-0.5763
Thymidine 5'-phosphate	0.2095	-0.0248	-0.3899	-0.1662	0.0681	0.0941
Deoxyuridylic acid	0.2521	-0.2939	-0.7274	-0.0888	-0.8283	0.0207
Urate	0.3204	0.1554	-0.0802	0.0141	-0.0311	0.1787
Starch	0.0720	0.3034	0.3793	-0.0853	-0.1260	-0.1638
Zeatin	0.2045	0.1870	-0.3167	-0.2085	-0.1141	0.2193
Dextran	0.2938	0.3345	-0.1678	-0.2657	-0.0923	0.3327
Heparin	0.1315	-0.0887	-0.4131	0.4018	0.1771	-0.5946
Retinal	0.2785	-0.1436	0.3695	0.1246	-0.1764	0.0085
Thiamine	-1.8347	-0.7398	-2.2604	-1.6835	-2.2890	-2.8275
Xylitol	0.0113	-0.1277	-0.2503	0.1707	-0.3737	0.2615
Cytosine	0.4823	0.2197	0.2884	-0.3334	0.0372	0.8318
Dolichol	0.3703	0.2483	0.3577	-0.0988	0.2313	0.2000
Malonate	-0.2159	-0.1158	0.2023	0.3072	-0.1919	-0.0736
Xanthine	-0.5560	0.5038	-0.1673	0.5943	-0.5408	0.2021
Carnosine	0.1458	-0.6612	-0.0964	0.3243	0.5699	-0.1683
Guanosine	1.2176	1.1996	2.3202	1.9815	2.2890	2.5931
Histamine	-0.2715	-0.3384	0.2915	0.0000	-0.0410	0.5170
Quercetin	0.4048	-0.1289	0.0980	0.0819	0.1416	-0.0203
Mannitol	1.1723	1.5028	1.8852	2.1412	1.8455	2.5350
Pectate	0.6203	1.7347	2.4996	1.7044	2.1462	2.5273
Cytidine	1.5388	1.5354	1.8082	2.2899	1.8978	2.7559
L-Cystine	0.9855	1.8521	1.9129	2.1150	1.5480	3.2323
Raffinose	1.4590	1.1935	1.6998	1.5961	1.9516	1.9188
Erythritol	1.2091	1.0326	1.4435	2.4959	2.4130	3.0547
Deoxyuridine	1.3644	1.4517	1.6261	1.5051	1.7567	2.3046
Vitamin B12r	-0.8693	-0.5536	-1.7982	-1.8871	-2.2752	-2.5677
Sphingomyelin	1.3815	1.2652	1.7165	1.9141	2.2608	1.9132
Deoxyadenosine	1.0101	1.7472	0.9332	1.9215	2.4731	2.1216
N-Acetyl-D-mannosamine	1.5361	1.5392	1.9457	1.9347	2.1511	2.4530
dTDP-4-dehydro-beta-L-rhamnose	1.2647	1.6490	1.0758	2.3824	2.7728	2.6907
Betaine	-1.1401	-1.2184	-2.1479	-1.8878	-2.5901	-2.8757
Urocanate	1.2115	1.9583	2.0537	2.2131	1.9996	3.7303
dTDP-glucose	-1.1137	-0.7883	-1.6748	-2.0942	-2.0921	-2.8168
Phospholipid	1.5934	1.5490	1.7107	1.5433	2.4042	2.5274
Angiotensin I	1.5728	1.8366	2.1437	1.7229	2.0639	1.9863
Deoxycytidine	-1.0383	-1.5023	-1.9362	-1.8326	-2.3192	-2.3152
L-Alanyl-tRNA	-1.3582	-1.3921	-1.6797	-2.3108	-2.3355	-2.4786
Choline sulfate	1.1270	1.3134	1.9814	2.4776	2.2426	2.5861
Cyclomaltodextrin	-1.3445	-1.7781	-1.4154	-2.1271	-2.2174	-2.4956
Ferrocytochrome b5	1.7078	0.9841	2.1937	1.6917	2.8894	2.7261
O-Phospho-L-serine	0.8009	1.5737	2.1971	2.0654	1.6315	1.6461
Trehalose	1.2799	1.9601	1.4989	2.0605	2.2230	2.7901
Sphinganine 1-phosphate	1.6109	1.3139	1.5518	2.4937	1.9846	2.7992
Hydroxyproline	0.8397	1.3793	2.3375	2.1784	2.3369	2.7501
UDP-N-acetyl-D-mannosamine	0.6529	1.4468	1.8891	1.7916	2.2949	2.5194
Inositol 1-phosphate	1.7090	1.0932	1.7020	1.9727	2.4850	2.1537
Ketodeoxyoctonate	1.2861	1.2980	1.3710	1.0929	1.9547	2.7092
Glucosylceramide	1.4996	1.5286	1.9755	1.9928	2.1439	3.0034
L-Methylmalonyl-CoA	1.6404	1.2138	1.8843	1.8680	1.9932	2.9471
CDP-4-dehydro-6-deoxy-D-glucose	0.7162	1.5658	1.2763	1.9594	2.8973	2.4945
GDP-4-dehydro-6-deoxy-D-mannose	1.1844	1.3583	2.4129	1.9519	1.7696	2.7183
Toxopyrimidine	1.9548	1.1971	1.7418	1.8887	2.3718	2.4780
D-Allose	1.6986	1.8340	1.7496	1.8303	1.8990	2.1374
Phthalate	1.6381	1.6261	1.9410	1.9178	2.1670	2.3915
Xylobiose	1.3814	1.2917	1.9804	1.7872	2.3661	2.1403
Bacitracin	0.7216	1.6910	2.1063	2.0396	2.0730	2.2202
Chitobiose	1.4528	1.4939	1.6894	2.5265	2.0230	2.7791
Nopaline	2.0266	1.2117	0.8656	1.9520	2.3116	2.6712
