#compound	T00h	T02h	T06h	T12h	T18h	T24h
C00141	0.6843	0.5810	0.2844	0.1716	0.1493	0.6002
C00143	-0.4150	-0.1118	0.3437	-0.4625	-0.0400	-0.2045
C00144	0.0544	-0.0757	0.7603	0.2298	0.5670	-0.0360
C00146	-0.4200	-1.2527	-1.2151	-1.3721	-1.0323	-1.3242
C00147	-0.0837	-0.3455	-0.3155	0.2270	0.6030	0.6406
C00148	0.1625	-0.0831	-0.3074	0.2704	0.2774	-0.5475
C00149	0.6330	-0.0535	-0.6763	-0.0551	-0.7494	-0.0331
C00151	-1.3039	-1.3359	-0.7797	-2.4469	-2.1048	-2.7789
C00152	0.1864	0.4419	0.5081	0.7332	0.3402	0.1372
C00153	-0.0396	-0.3066	0.0980	0.0820	0.1989	-0.1871
C00154	-0.0571	0.5246	-0.4697	-0.3556	-0.4709	0.4383
C00155	-0.4089	-0.6584	-0.2927	0.2619	0.2526	0.1892
C00156	-0.4202	-0.0073	0.2075	0.1197	-0.1185	0.0371
C00157	-0.0263	0.2151	-0.0417	0.1857	-0.0340	0.2410
C00158	0.6186	0.3048	-0.8244	-0.3112	-0.0872	-0.7638
C00159	0.2945	0.4879	-0.1386	-0.0912	0.4213	-0.0724
C00160	0.3221	0.1048	-0.1257	-0.4803	-0.5101	0.0252
C00162	0.2363	-0.4066	-0.1865	0.3089	0.0897	0.5874
C00163	-0.2769	-0.5741	0.4050	-0.0609	-0.5929	0.1815
C00164	-0.0322	-0.4655	0.0828	-0.0669	0.2907	0.0660
C00165	0.3407	0.3542	-0.6174	-0.0939	0.1921	0.6214
C00166	-0.4145	0.4409	-0.1987	0.1009	0.2088	-0.2012
C00167	0.0360	-0.3433	-0.2559	-0.3357	0.2071	0.0759
C00168	-0.6249	-0.1956	0.0477	0.1869	0.3248	-0.9286
C00169	0.3690	0.1380	0.1042	-0.0033	0.1148	-0.0416
C00170	-0.3801	0.4378	-0.0339	0.4009	-0.2658	-0.2324
C00173	0.5201	0.1834	-0.0088	-0.0444	0.1654	-0.1367
C00175	1.5060	1.2737	2.1660	2.2025	2.1203	2.0540
C00178	-0.3227	-0.1431	-0.5766	-0.2143	0.2786	0.0277
C00179	-0.3839	0.0270	0.3404	0.0655	0.1180	-0.0038
C00180	0.1790	-0.5986	0.0173	0.0411	0.4251	0.0476
C00181	-0.3461	0.0979	-0.6342	-0.0719	-0.3235	-0.4546
C00182	0.0019	0.6235	-0.3189	0.1647	0.2901	0.2919
C00183	0.1827	-0.3418	-0.6766	0.1228	-0.1212	-0.0930
C00184	-0.2187	-0.3810	-0.0034	-0.2542	-0.2504	-0.3239
C00185	0.6028	1.5666	2.3065	1.9866	2.5115	2.6955
C00186	0.5019	0.3759	0.1806	-0.0301	-0.0336	0.4337
C00187	0.0406	0.1681	0.1740	0.7352	0.2290	-0.3404
C00188	0.1641	-0.2478	-0.1168	0.3695	-0.1738	-0.3029
C00189	-0.2210	0.3144	0.4510	-0.0287	-0.3415	0.4243
C00190	0.0883	0.1848	0.1318	-0.1218	-0.1699	-0.0775
C00191	0.1019	0.4196	-0.4769	-0.1842	-0.1686	0.2355
C00192	-0.2177	0.2352	0.3241	-0.6188	-0.4934	-0.4881
C00194	1.2369	1.5765	2.5181	2.2851	2.9814	2.5845
C00195	-0.0360	-0.4352	-0.1656	-0.0307	-0.1530	-0.0480
C00197	0.0345	0.6307	-0.6552	-0.0978	0.1042	0.5920
C00198	0.1659	0.4341	0.2393	0.1447	-0.1643	-0.2551
C00199	0.4669	0.1150	0.4931	-0.0328	0.3253	0.2679
C00203	0.1133	0.3600	-0.3646	0.4987	0.2820	-0.1227
C00204	0.1523	-0.3484	0.2984	-0.0929	-0.6376	-0.3382
C00206	0.2646	-0.0330	-0.4874	-0.1340	-0.2038	-0.1915
C00207	0.1839	-0.9674	0.6705	0.3041	0.5658	0.5018
C00208	1.3464	1.5528	1.6977	2.1219	2.5079	2.5633
C00209	-0.3283	0.3533	-0.1219	-0.0176	0.5584	0.0535
C00212	-0.4518	-0.1039	-0.2536	-0.0016	-0.2256	0.2708
C00213	0.3918	0.6084	-0.1583	0.3773	-0.1368	-0.6514
C00214	-0.7028	0.2544	0.1280	0.3539	-0.0502	0.2151
C00216	0.1426	0.3506	0.2075	0.0340	0.0403	-0.0427
C00217	0.4083	0.5797	-0.2201	-0.1214	0.6303	0.7157
C00218	0.4911	-0.0277	0.7095	0.3637	0.2231	-0.0946
C00219	0.1314	-0.0571	-0.3066	0.0920	-0.1694	-0.6103
C00221	0.4110	-0.9312	-0.3868	0.4586	-0.5837	0.0090
C00222	-0.1997	-0.0699	0.2111	0.6156	-0.4741	0.4152
C00223	-0.3212	0.2832	-0.1765	0.0944	-0.5527	-0.3491
C00224	-0.2456	-0.0497	-0.2284	-0.5335	0.6945	0.3382
C00226	-0.8343	0.4250	-0.1732	-0.2792	-0.0208	0.0168
C00227	-0.8597	-0.0226	0.0188	0.3674	0.2284	-0.3831
C00229	-0.4476	0.0033	0.0469	-0.6385	-0.3385	0.0373
C00230	0.4736	0.0112	0.4886	0.0532	0.1682	0.9814
C00231	0.0543	0.0113	0.0565	-0.2588	-0.2280	-0.5383
C00232	0.3402	0.3836	0.2627	0.5707	0.3667	-0.4898
C00233	0.4192	0.4438	-0.1793	-0.1003	0.0883	0.0369
C00234	1.2735	2.2282	1.9047	1.3909	2.1336	2.7609
C00235	0.0473	0.4673	-0.2419	0.1962	-0.2257	-0.7352
C00236	-0.3482	-0.1782	0.0770	-0.2123	0.3568	0.0346
C00237	-0.0019	-0.1598	0.2654	0.3244	0.2929	-0.6058
C00238	0.2454	0.1808	0.3462	-0.2550	0.8000	0.4296
C00239	-0.3970	-0.2309	-0.1931	-0.4084	0.0497	-0.3487
C00242	0.2347	0.5067	0.1799	-0.1681	0.3242	0.3123
C00243	0.5448	0.4461	-0.6171	0.0466	0.1903	0.1351
C00244	-0.0551	-0.0075	-0.8511	0.0472	0.1952	0.4684
C00245	-1.8321	-1.5458	-1.8766	-2.7740	-2.3677	-2.4289
C00246	0.2851	0.2046	0.3514	0.0189	0.1923	0.1698
C00247	-0.4375	0.2028	-0.0440	0.0814	-0.3796	0.0462
C00249	-0.7338	0.0496	-0.5979	-0.2392	-0.2813	-0.0302
C00250	0.2906	0.1822	0.3784	-0.1791	-0.5546	0.0005
C00251	0.2322	0.1570	0.3079	-0.1277	-0.2544	-0.0386
C00252	0.1409	0.0017	0.0413	0.0275	-0.7648	0.1589
C00253	-0.3349	-0.1793	0.0694	-0.0821	-0.2636	-0.0865
C00254	0.0228	0.1712	0.0747	0.0658	0.2800	0.2166
C00255	1.4476	0.9703	2.2010	2.1223	2.0449	2.9005
C00256	-0.1845	-0.7123	0.1992	-0.1275	-0.0920	-0.2284
C00257	0.2283	-0.4229	-0.5453	-0.0707	0.2341	0.5890
C00258	-0.4123	-0.0826	0.5251	0.6089	-0.4254	-0.3458
C00259	0.7684	1.4824	2.2080	1.7944	2.8798	1.8597
C00261	-0.1234	0.0397	-0.1732	-0.1200	0.0135	0.5128
C00262	0.3989	-0.1581	0.5425	-0.1908	0.1205	0.3130
C00263	0.3154	0.2116	0.1718	-0.0084	-0.2089	-0.2028
C00264	0.4182	0.0934	0.0918	0.3678	-0.1988	0.1896
C00266	0.0803	0.6317	0.3431	0.4219	-0.6224	-0.0207
C00267	0.7739	0.1774	0.1014	-0.3344	0.1331	-0.2922
C00268	-0.3635	-0.7176	-0.7640	-0.6979	-0.9539	-1.5607
C00269	-0.2823	-0.5882	0.3360	0.2323	0.0676	0.6041
C00270	-1.7846	-1.8842	-1.0109	-2.1530	-2.7506	-2.0802
C00272	-0.2485	0.1290	0.1786	0.2196	0.5606	0.0152
C00275	-0.1717	0.0210	-0.0863	-0.3741	0.1240	-0.2596
C00279	0.9075	-0.3552	-0.5986	0.4243	-0.2945	0.3306
C00280	0.5093	-0.0185	-0.1122	-0.3398	-0.0624	-0.4092
C00282	-0.3326	0.2242	-0.3753	0.2092	0.4108	-0.6288
C00283	-0.3638	-0.3178	0.2023	-0.0173	-0.3542	0.1241
C00286	0.0403	0.2024	-0.3111	0.1505	-0.3605	0.0178
C00288	-0.4027	0.0257	-0.6301	0.0612	-0.2802	0.5892
C00290	0.3562	0.3479	0.4418	-0.4183	0.3874	-0.1100
C00291	1.3515	0.7167	1.4148	2.3344	1.9387	1.9811
C00294	0.0907	-0.0423	-0.0896	-0.0177	-0.6787	-0.0909
C00295	-0.8423	-0.6079	-0.6489	-1.4030	-1.2356	-0.8734
C00296	-0.3053	0.2554	0.0821	-0.2113	-0.3752	0.6354
C00299	0.6792	1.8795	1.1447	2.2745	2.6792	3.3613
C00300	0.3422	-0.0673	0.4671	-0.0053	-0.4933	0.0292
C00301	0.1393	-0.2483	-0.2262	0.0820	-0.5396	0.1643
C00302	0.4450	0.1010	0.2385	-0.5442	0.1379	0.0150
C00305	0.4530	0.4644	0.0520	0.0899	0.3474	-0.3546
C00306	-0.7468	0.3034	0.3121	0.7412	0.4184	0.0612
C00307	0.7532	0.4511	0.1540	0.1947	-0.7183	-0.4787
C00309	-0.5289	0.0842	0.0483	0.1612	0.4700	-0.6276
C00310	0.3955	0.5784	-0.4731	0.1698	-0.0006	0.1554
C00311	0.5507	-0.3013	-0.0249	0.3923	0.1385	0.1456
C00312	-0.1593	0.0261	0.3227	-0.3418	0.0527	0.4722
C00313	0.1119	-0.9926	-0.1743	-0.3633	-0.3865	-0.4734
C00314	0.0636	-0.3460	-0.0721	-0.3452	-0.0580	-0.0932
C00315	-0.3401	-0.6506	0.2581	0.4417	0.9831	-0.8007
C00318	0.4219	-0.2788	0.1780	-0.0404	0.2016	0.5795
C00319	1.2624	1.6974	1.5380	2.3956	1.9549	2.3998
C00320	-1.5640	-2.0479	-2.3664	-1.6365	-2.1538	-3.0497
C00322	-0.7712	-0.1072	0.2436	-0.2900	0.4634	-0.0012
C00323	0.0050	-0.3699	0.6548	-0.0845	-0.5845	-0.1751
C00325	-0.2081	-0.4017	0.1039	0.1603	-0.1785	-0.4910
C00327	0.0226	-0.2715	-0.2125	0.1581	0.4526	-0.1885
C00328	0.6591	0.0412	0.1154	-0.4996	-0.5986	0.1478
C00329	-0.2184	0.1815	-0.0227	0.0619	-0.2708	0.6059
C00330	1.1573	1.3200	1.1479	1.2841	2.8228	2.1136
C00331	0.7403	-0.0627	-0.5085	0.0262	-0.0605	0.2037
C00332	-0.5711	0.3660	0.0200	-0.5915	0.2122	-0.3335
C00333	0.8146	-0.2583	-0.3883	0.0445	-0.2417	0.2412
C00334	0.0146	0.0400	0.2196	-0.0775	-0.0189	-0.2267
C00337	0.5564	0.1484	-0.4606	-0.6568	-0.1884	-0.2409
C00338	-0.4238	-0.4431	-0.3571	0.3731	0.3833	0.9146
C00340	-0.2908	0.3544	-0.5023	-0.5704	-0.3514	-0.1877
C00341	-0.3855	-0.2635	0.0175	0.4359	0.4157	-0.0204
C00344	0.3193	-0.4876	0.2488	-0.4644	-0.0032	0.7014
C00345	0.7287	0.5466	0.8470	0.7555	0.9966	1.1011
C00346	-0.3952	0.0786	0.3060	-0.0335	0.1064	-0.5574
C00349	0.2106	-0.3632	-0.3166	-0.0774	0.0465	0.3242
C00350	-0.0765	0.1811	-0.1263	0.7067	-0.3640	-0.2740
C00352	-0.1257	-0.4133	-0.3988	0.1359	0.3088	0.2596
C00353	-0.6560	-0.0518	0.4007	-0.5126	0.0925	-0.0910
C00354	0.1137	-0.4164	-0.3473	0.0016	0.0524	-0.2024
C00355	0.1176	0.0578	0.0807	0.0506	-0.6189	-0.1963
C00356	0.5642	-0.3071	-0.5870	-0.5857	-0.1466	-0.0857
C00357	0.5266	-0.0363	-0.2766	-0.1606	0.3880	-0.3504
C00360	0.1439	-0.3390	-0.1782	0.2379	0.0156	-0.2521
C00361	0.5612	0.2982	-0.2873	-0.3294	-0.0882	-0.4755
C00362	-0.4858	-0.2101	0.1756	0.6322	-0.4397	-0.6242
C00363	0.0622	0.2649	-0.2835	0.2710	-0.2099	0.1251
C00364	-0.3159	-0.6278	-0.4685	-0.3660	0.2373	-0.1444
C00365	0.1352	0.3025	0.5274	-0.4617	0.3164	0.0328
C00366	0.1138	-0.0849	-0.3191	0.2277	0.3531	0.6289
C00369	-0.1292	-0.4131	0.3711	0.2286	0.3806	0.2373
C00371	-0.1085	0.2690	0.0080	0.1009	0.3168	-0.3880
C00372	0.3871	0.1152	-0.2397	0.6040	-0.0335	-0.2852
C00374	0.3513	-0.1110	0.1968	0.1174	-0.2223	0.5301
C00376	0.0891	-0.0417	-0.0213	-0.1495	-0.1710	0.2492
C00378	1.5607	1.8054	1.8138	1.1447	2.3511	1.6305
C00379	-1.0974	-1.6669	-2.1290	-2.3353	-2.2009	-2.1839
C00380	-0.1219	0.2031	0.6477	-0.0540	-0.2478	-0.4877
C00381	-0.7665	-0.7233	-0.8760	-0.8013	-1.1033	-1.0312
C00383	0.0084	0.3880	-0.0239	0.0346	0.5489	0.5626
C00385	-0.2646	-0.0335	0.3840	0.2498	-0.1578	-0.0935
C00386	0.2815	0.2494	-0.5837	-0.0405	-0.6584	-0.3309
C00387	1.2946	1.1326	1.6636	2.1473	2.4468	1.7204
C00388	0.9908	0.5198	0.5717	1.1794	1.4576	1.3208
C00389	0.3296	0.3854	0.5736	-0.0183	0.3121	-0.2913
C00390	0.7653	-0.5043	-0.1330	-0.1867	0.0649	-0.0187
C00392	-1.6392	-1.8921	-1.9702	-2.2772	-2.8386	-2.4122
C00394	-0.8919	-0.1729	-0.3371	0.1150	-0.0682	-0.3826
C00395	-0.0009	0.1017	0.2023	-0.0658	-0.1238	-0.0071
C00397	0.0046	0.3677	0.4326	-0.2988	0.3514	-0.1690
C00398	0.1067	-0.0715	0.0272	0.1423	-0.3879	0.5388
C00399	-0.1051	0.5766	0.2680	-0.0623	0.2482	-0.0593
C00400	-0.0309	0.6606	0.3157	-0.0412	-0.3134	0.1824
C00401	-0.1506	0.4964	0.2292	0.1788	0.0445	1.0240
C00402	0.0872	-0.6811	0.4804	0.0090	0.0994	-0.1095
C00406	0.4455	1.0405	0.7886	1.4937	1.2400	1.1436
C00407	0.4507	0.8790	0.7460	0.4946	1.7318	0.4171
C00408	0.1943	0.1362	0.5124	0.3201	0.1361	-0.4135
C00409	0.5399	0.5324	-0.6260	0.2058	-0.3264	-0.3212
C00410	0.8801	0.6144	0.4004	0.3651	-0.0953	0.5616
C00411	-0.0747	-0.0806	0.1590	-0.0404	0.5854	0.2114
C00412	-1.0471	0.3986	-0.6241	-0.9454	-1.0088	-1.1749
C00413	0.7177	0.9748	1.1144	0.9305	1.7068	1.2366
C00415	-0.1025	0.2233	-0.3955	0.3814	-0.3815	-0.0166
C00416	0.0049	-0.4631	0.1582	0.1956	0.2159	0.1919
C00417	-0.4136	0.1908	0.2101	-0.0298	-0.2112	0.7413
C00418	-0.5103	-0.3293	0.4883	-0.4426	-0.0433	-0.1667
C00422	-0.0277	-0.0810	-0.0841	0.2207	-0.3777	-0.5051
C00423	0.0573	-0.1136	-0.0703	0.3844	0.1375	-0.1117
C00424	-0.4110	-0.0707	0.2050	0.0325	-0.1805	-0.3050
C00426	0.2275	0.1558	-0.7815	-0.6603	0.3103	-0.2178
C00427	0.2721	0.0972	-0.1658	0.1236	-0.2289	0.5009
C00429	-0.1109	0.6705	-0.6441	-0.0322	0.6883	-0.1778
C00430	0.5617	1.7791	1.5431	1.7366	2.4419	2.5995
C00431	0.1046	0.1901	0.0621	-0.0949	0.1988	0.2916
C00433	0.7224	0.3754	0.5899	-0.6244	-0.0132	0.2297
C00434	-0.2722	-0.0749	0.0737	-0.3096	0.5495	0.1786
C00435	-0.3169	-0.6323	-0.4287	0.3378	-0.4913	0.2567
C00436	0.4797	0.0342	0.3059	-0.3225	-0.5632	-0.1556
C00437	-0.4709	-0.1708	0.3261	-0.1841	0.2594	0.0561
C00438	1.0663	0.8964	0.7755	-0.0481	1.4051	1.2394
C00439	0.0678	0.4032	-0.2492	0.2927	0.1792	-0.1959
C00440	-0.0653	-0.0448	-0.7181	0.1040	-0.6395	0.5253
C00441	0.7093	1.2430	-0.0397	1.7557	0.9369	1.4847
C00445	0.2316	0.0269	0.2243	-0.3461	-0.1701	0.1075
C00446	-0.0493	0.3781	0.0666	0.3877	-0.0523	-0.5231
C00447	0.5553	-0.1131	0.4144	0.3562	0.1636	-0.1214
C00448	0.1989	-0.6701	-0.8999	0.2366	-0.1406	0.0789
C00449	0.2285	0.1171	-0.3504	-0.1568	0.1135	-0.0959
C00450	0.3236	0.5377	0.4402	-0.0533	-0.2793	0.0226
C00455	-0.1461	-0.0728	-0.4370	-0.0546	0.1970	-0.3056
C00458	-0.5262	0.0906	-0.4913	-0.0852	-0.0707	0.2406
C00459	0.1057	-0.3945	-0.5404	0.1473	-0.2872	0.0356
C00460	0.5941	-0.3397	-0.0353	0.2640	0.5240	-0.5047
C00461	-0.0633	-0.0743	-0.2096	-0.3931	-0.1277	0.1707
C00463	0.0980	-0.2176	-0.1104	0.0496	0.1743	0.2253
C00464	0.2622	-0.3129	-0.0481	0.0623	0.1914	0.1562
C00468	0.1244	-0.1238	-0.0532	0.3101	-0.1805	-0.6136
C00469	-0.6990	-0.4216	0.4442	-0.0887	0.1956	-0.7887
C00470	1.4104	1.7261	1.5362	2.0828	1.7407	2.9665
C00471	-0.5149	0.4896	-0.1453	0.7362	0.1550	-0.5694
C00472	-0.5738	-0.0039	-0.4540	-0.2511	-0.5413	0.1860
C00473	0.0266	0.0014	0.2845	0.2111	-0.2395	0.0473
C00474	0.1078	-0.5866	-0.1166	0.1090	0.3676	-0.0585
C00475	1.3497	1.4913	1.4910	1.6703	2.0646	2.4741
C00476	-0.2550	0.2751	-0.1532	0.2318	-0.0611	-0.2063
C00477	-0.6692	0.1215	-0.0295	0.1602	-0.0673	-0.1454
C00479	0.2066	0.2292	0.4113	-0.0533	0.4338	-0.2382
C00482	0.0061	0.5646	0.1427	0.2190	0.4095	0.1256
C00483	-0.3148	-0.1894	0.2796	-0.4427	-0.0314	0.1510
C00486	-0.0135	-0.1313	0.1457	0.4885	-0.0452	-0.0110
C00487	-1.1854	-1.1254	-1.6987	-1.3372	-2.4067	-2.4307
C00488	-0.2678	-0.1230	0.1129	-0.1070	-0.0385	0.0295
C00489	0.3558	0.3102	-0.0601	-0.0262	0.4367	0.1509
C00490	0.5022	0.4538	-0.0054	0.3219	0.1464	-0.3666
C00491	-0.0455	0.4135	-0.4483	-0.3194	0.4745	0.3859
C00492	0.8639	1.3523	1.9650	2.2744	2.1608	2.1148
