Target	Regulator
ENSMUSG00000026675	mmu-miR-225-5p
ENSMUSG00000026766	mmu-miR-212-5p
ENSMUSG00000026766	mmu-miR-233-5p
ENSMUSG00000026766	mmu-miR-238-5p
ENSMUSG00000026818	mmu-miR-214-5p
ENSMUSG00000026818	mmu-miR-217-5p
ENSMUSG00000026818	mmu-miR-222-5p
ENSMUSG00000026928	mmu-miR-206-5p
ENSMUSG00000026928	mmu-miR-230-5p
ENSMUSG00000026928	mmu-miR-235-5p
ENSMUSG00000027186	mmu-miR-201-5p
ENSMUSG00000027186	mmu-miR-217-5p
ENSMUSG00000027186	mmu-miR-238-5p
ENSMUSG00000027204	mmu-miR-213-5p
ENSMUSG00000027204	mmu-miR-226-5p
ENSMUSG00000027204	mmu-miR-235-5p
ENSMUSG00000027255	mmu-miR-217-5p
ENSMUSG00000027255	mmu-miR-233-5p
ENSMUSG00000027255	mmu-miR-238-5p
ENSMUSG00000027287	mmu-miR-215-5p
ENSMUSG00000027287	mmu-miR-223-5p
ENSMUSG00000027287	mmu-miR-224-5p
ENSMUSG00000027323	mmu-miR-205-5p
ENSMUSG00000027323	mmu-miR-226-5p
ENSMUSG00000027323	mmu-miR-233-5p
ENSMUSG00000027342	mmu-miR-203-5p
ENSMUSG00000027342	mmu-miR-214-5p
ENSMUSG00000027342	mmu-miR-228-5p
ENSMUSG00000027395	mmu-miR-209-5p
ENSMUSG00000027395	mmu-miR-210-5p
ENSMUSG00000027395	mmu-miR-223-5p
ENSMUSG00000027630	mmu-miR-230-5p
ENSMUSG00000027630	mmu-miR-236-5p
ENSMUSG00000027630	mmu-miR-238-5p
ENSMUSG00000027642	mmu-miR-203-5p
ENSMUSG00000027642	mmu-miR-204-5p
ENSMUSG00000027642	mmu-miR-214-5p
ENSMUSG00000028104	mmu-miR-207-5p
ENSMUSG00000028104	mmu-miR-218-5p
ENSMUSG00000028104	mmu-miR-239-5p
ENSMUSG00000028262	mmu-miR-205-5p
ENSMUSG00000028262	mmu-miR-208-5p
ENSMUSG00000028262	mmu-miR-234-5p
ENSMUSG00000028310	mmu-miR-202-5p
ENSMUSG00000028310	mmu-miR-215-5p
ENSMUSG00000028310	mmu-miR-218-5p
ENSMUSG00000028423	mmu-miR-210-5p
ENSMUSG00000028423	mmu-miR-221-5p
ENSMUSG00000028423	mmu-miR-235-5p
ENSMUSG00000028435	mmu-miR-200-5p
ENSMUSG00000028435	mmu-miR-201-5p
ENSMUSG00000028435	mmu-miR-218-5p
ENSMUSG00000028538	mmu-miR-217-5p
ENSMUSG00000028538	mmu-miR-233-5p
ENSMUSG00000028538	mmu-miR-236-5p
ENSMUSG00000028541	mmu-miR-206-5p
ENSMUSG00000028541	mmu-miR-225-5p
ENSMUSG00000028541	mmu-miR-231-5p
ENSMUSG00000028552	mmu-miR-226-5p
ENSMUSG00000028552	mmu-miR-230-5p
ENSMUSG00000028552	mmu-miR-234-5p
ENSMUSG00000028553	mmu-miR-203-5p
ENSMUSG00000028553	mmu-miR-213-5p
ENSMUSG00000028553	mmu-miR-214-5p
ENSMUSG00000028687	mmu-miR-214-5p
ENSMUSG00000028687	mmu-miR-222-5p
ENSMUSG00000028687	mmu-miR-234-5p
ENSMUSG00000028702	mmu-miR-202-5p
ENSMUSG00000028702	mmu-miR-216-5p
ENSMUSG00000028702	mmu-miR-231-5p
ENSMUSG00000028757	mmu-miR-208-5p
ENSMUSG00000028757	mmu-miR-221-5p
ENSMUSG00000028757	mmu-miR-222-5p
ENSMUSG00000029431	mmu-miR-205-5p
ENSMUSG00000029431	mmu-miR-206-5p
ENSMUSG00000029431	mmu-miR-234-5p
ENSMUSG00000029437	mmu-miR-219-5p
ENSMUSG00000029437	mmu-miR-226-5p
ENSMUSG00000029437	mmu-miR-233-5p
ENSMUSG00000029462	mmu-miR-203-5p
ENSMUSG00000029462	mmu-miR-207-5p
ENSMUSG00000029462	mmu-miR-214-5p
ENSMUSG00000029556	mmu-miR-209-5p
ENSMUSG00000029556	mmu-miR-226-5p
ENSMUSG00000029556	mmu-miR-231-5p
ENSMUSG00000029777	mmu-miR-207-5p
ENSMUSG00000029777	mmu-miR-217-5p
ENSMUSG00000029777	mmu-miR-218-5p
ENSMUSG00000029911	mmu-miR-215-5p
ENSMUSG00000029911	mmu-miR-220-5p
ENSMUSG00000029911	mmu-miR-230-5p
ENSMUSG00000030088	mmu-miR-210-5p
ENSMUSG00000030088	mmu-miR-218-5p
ENSMUSG00000030088	mmu-miR-234-5p
ENSMUSG00000030237	mmu-miR-203-5p
ENSMUSG00000030237	mmu-miR-211-5p
ENSMUSG00000030237	mmu-miR-226-5p
ENSMUSG00000030255	mmu-miR-209-5p
ENSMUSG00000030255	mmu-miR-210-5p
ENSMUSG00000030255	mmu-miR-237-5p
ENSMUSG00000030378	mmu-miR-222-5p
ENSMUSG00000030378	mmu-miR-226-5p
ENSMUSG00000030378	mmu-miR-230-5p
ENSMUSG00000030528	mmu-miR-222-5p
ENSMUSG00000030528	mmu-miR-237-5p
ENSMUSG00000030528	mmu-miR-238-5p
ENSMUSG00000030539	mmu-miR-211-5p
ENSMUSG00000030539	mmu-miR-238-5p
ENSMUSG00000030539	mmu-miR-239-5p
ENSMUSG00000030584	mmu-miR-210-5p
ENSMUSG00000030584	mmu-miR-211-5p
ENSMUSG00000030584	mmu-miR-233-5p
ENSMUSG00000030610	mmu-miR-215-5p
ENSMUSG00000030610	mmu-miR-226-5p
ENSMUSG00000030610	mmu-miR-239-5p
ENSMUSG00000030670	mmu-miR-203-5p
ENSMUSG00000030670	mmu-miR-208-5p
ENSMUSG00000030670	mmu-miR-213-5p
ENSMUSG00000030717	mmu-miR-222-5p
ENSMUSG00000030717	mmu-miR-237-5p
ENSMUSG00000030717	mmu-miR-238-5p
ENSMUSG00000030726	mmu-miR-205-5p
ENSMUSG00000030726	mmu-miR-212-5p
ENSMUSG00000030726	mmu-miR-231-5p
ENSMUSG00000031201	mmu-miR-214-5p
ENSMUSG00000031201	mmu-miR-218-5p
ENSMUSG00000031201	mmu-miR-231-5p
ENSMUSG00000031349	mmu-miR-210-5p
ENSMUSG00000031349	mmu-miR-216-5p
ENSMUSG00000031349	mmu-miR-237-5p
ENSMUSG00000031497	mmu-miR-218-5p
ENSMUSG00000031497	mmu-miR-227-5p
ENSMUSG00000031497	mmu-miR-236-5p
ENSMUSG00000031865	mmu-miR-214-5p
ENSMUSG00000031865	mmu-miR-215-5p
ENSMUSG00000031865	mmu-miR-223-5p
ENSMUSG00000032018	mmu-miR-208-5p
ENSMUSG00000032018	mmu-miR-222-5p
ENSMUSG00000032018	mmu-miR-233-5p
ENSMUSG00000032034	mmu-miR-203-5p
ENSMUSG00000032034	mmu-miR-222-5p
ENSMUSG00000032034	mmu-miR-234-5p
ENSMUSG00000032109	mmu-miR-201-5p
ENSMUSG00000032109	mmu-miR-218-5p
ENSMUSG00000032109	mmu-miR-226-5p
ENSMUSG00000032116	mmu-miR-228-5p
ENSMUSG00000032116	mmu-miR-229-5p
ENSMUSG00000032116	mmu-miR-235-5p
ENSMUSG00000032123	mmu-miR-206-5p
ENSMUSG00000032123	mmu-miR-218-5p
ENSMUSG00000032123	mmu-miR-222-5p
ENSMUSG00000032127	mmu-miR-215-5p
ENSMUSG00000032127	mmu-miR-221-5p
ENSMUSG00000032127	mmu-miR-238-5p
ENSMUSG00000032179	mmu-miR-217-5p
ENSMUSG00000032179	mmu-miR-230-5p
ENSMUSG00000032179	mmu-miR-231-5p
ENSMUSG00000032280	mmu-miR-219-5p
ENSMUSG00000032280	mmu-miR-226-5p
ENSMUSG00000032280	mmu-miR-234-5p
ENSMUSG00000032281	mmu-miR-210-5p
ENSMUSG00000032281	mmu-miR-215-5p
ENSMUSG00000032281	mmu-miR-239-5p
ENSMUSG00000032328	mmu-miR-202-5p
ENSMUSG00000032328	mmu-miR-213-5p
ENSMUSG00000032328	mmu-miR-223-5p
ENSMUSG00000032563	mmu-miR-202-5p
ENSMUSG00000032563	mmu-miR-217-5p
ENSMUSG00000032563	mmu-miR-218-5p
ENSMUSG00000032688	mmu-miR-218-5p
ENSMUSG00000032688	mmu-miR-221-5p
ENSMUSG00000032688	mmu-miR-230-5p
ENSMUSG00000032757	mmu-miR-203-5p
ENSMUSG00000032757	mmu-miR-226-5p
ENSMUSG00000032757	mmu-miR-231-5p
ENSMUSG00000033809	mmu-miR-208-5p
ENSMUSG00000033809	mmu-miR-214-5p
ENSMUSG00000033809	mmu-miR-233-5p
ENSMUSG00000033965	mmu-miR-217-5p
ENSMUSG00000033965	mmu-miR-222-5p
ENSMUSG00000033965	mmu-miR-233-5p
ENSMUSG00000034329	mmu-miR-207-5p
ENSMUSG00000034329	mmu-miR-211-5p
ENSMUSG00000034329	mmu-miR-212-5p
ENSMUSG00000034687	mmu-miR-210-5p
ENSMUSG00000034687	mmu-miR-215-5p
ENSMUSG00000034687	mmu-miR-229-5p
ENSMUSG00000034780	mmu-miR-210-5p
ENSMUSG00000034780	mmu-miR-219-5p
ENSMUSG00000034780	mmu-miR-234-5p
ENSMUSG00000036620	mmu-miR-215-5p
ENSMUSG00000036620	mmu-miR-236-5p
ENSMUSG00000036620	mmu-miR-239-5p
ENSMUSG00000036880	mmu-miR-214-5p
ENSMUSG00000036880	mmu-miR-225-5p
ENSMUSG00000036880	mmu-miR-234-5p
ENSMUSG00000036992	mmu-miR-210-5p
ENSMUSG00000036992	mmu-miR-230-5p
ENSMUSG00000036992	mmu-miR-238-5p
ENSMUSG00000037306	mmu-miR-214-5p
ENSMUSG00000037306	mmu-miR-217-5p
ENSMUSG00000037306	mmu-miR-233-5p
ENSMUSG00000037537	mmu-miR-205-5p
ENSMUSG00000037537	mmu-miR-214-5p
ENSMUSG00000037537	mmu-miR-230-5p
ENSMUSG00000037583	mmu-miR-220-5p
ENSMUSG00000037583	mmu-miR-227-5p
ENSMUSG00000037583	mmu-miR-235-5p
ENSMUSG00000037797	mmu-miR-210-5p
ENSMUSG00000037797	mmu-miR-215-5p
ENSMUSG00000037797	mmu-miR-217-5p
ENSMUSG00000038496	mmu-miR-207-5p
ENSMUSG00000038496	mmu-miR-217-5p
ENSMUSG00000038496	mmu-miR-218-5p
ENSMUSG00000038521	mmu-miR-210-5p
ENSMUSG00000038521	mmu-miR-218-5p
ENSMUSG00000038521	mmu-miR-235-5p
ENSMUSG00000038644	mmu-miR-213-5p
ENSMUSG00000038644	mmu-miR-222-5p
ENSMUSG00000038644	mmu-miR-236-5p
ENSMUSG00000039089	mmu-miR-202-5p
ENSMUSG00000039089	mmu-miR-205-5p
ENSMUSG00000039089	mmu-miR-239-5p
ENSMUSG00000039713	mmu-miR-214-5p
ENSMUSG00000039713	mmu-miR-222-5p
ENSMUSG00000039713	mmu-miR-230-5p
ENSMUSG00000039740	mmu-miR-212-5p
ENSMUSG00000039740	mmu-miR-219-5p
ENSMUSG00000039740	mmu-miR-239-5p
ENSMUSG00000039774	mmu-miR-229-5p
ENSMUSG00000039774	mmu-miR-231-5p
ENSMUSG00000039774	mmu-miR-234-5p
ENSMUSG00000040364	mmu-miR-203-5p
ENSMUSG00000040364	mmu-miR-212-5p
ENSMUSG00000040364	mmu-miR-230-5p
ENSMUSG00000040385	mmu-miR-213-5p
ENSMUSG00000040385	mmu-miR-226-5p
ENSMUSG00000040385	mmu-miR-229-5p
ENSMUSG00000040462	mmu-miR-210-5p
ENSMUSG00000040462	mmu-miR-218-5p
ENSMUSG00000040462	mmu-miR-239-5p
ENSMUSG00000041147	mmu-miR-209-5p
ENSMUSG00000041147	mmu-miR-220-5p
ENSMUSG00000041147	mmu-miR-233-5p
ENSMUSG00000041238	mmu-miR-221-5p
ENSMUSG00000041238	mmu-miR-224-5p
ENSMUSG00000041238	mmu-miR-234-5p
ENSMUSG00000041380	mmu-miR-214-5p
ENSMUSG00000041380	mmu-miR-219-5p
ENSMUSG00000041380	mmu-miR-230-5p
ENSMUSG00000041488	mmu-miR-201-5p
ENSMUSG00000041488	mmu-miR-205-5p
ENSMUSG00000041488	mmu-miR-208-5p
ENSMUSG00000041650	mmu-miR-218-5p
ENSMUSG00000041650	mmu-miR-230-5p
ENSMUSG00000041650	mmu-miR-235-5p
ENSMUSG00000041660	mmu-miR-211-5p
ENSMUSG00000041660	mmu-miR-214-5p
ENSMUSG00000041660	mmu-miR-230-5p
ENSMUSG00000042410	mmu-miR-227-5p
ENSMUSG00000042410	mmu-miR-229-5p
ENSMUSG00000042410	mmu-miR-234-5p
ENSMUSG00000042541	mmu-miR-202-5p
ENSMUSG00000042541	mmu-miR-222-5p
ENSMUSG00000042541	mmu-miR-224-5p
ENSMUSG00000042628	mmu-miR-202-5p
ENSMUSG00000042628	mmu-miR-218-5p
ENSMUSG00000042628	mmu-miR-237-5p
ENSMUSG00000042772	mmu-miR-202-5p
ENSMUSG00000042772	mmu-miR-211-5p
ENSMUSG00000042772	mmu-miR-214-5p
ENSMUSG00000044025	mmu-miR-229-5p
ENSMUSG00000044025	mmu-miR-230-5p
ENSMUSG00000044025	mmu-miR-238-5p
ENSMUSG00000044040	mmu-miR-206-5p
ENSMUSG00000044040	mmu-miR-211-5p
ENSMUSG00000044040	mmu-miR-214-5p
ENSMUSG00000044702	mmu-miR-233-5p
ENSMUSG00000044702	mmu-miR-234-5p
ENSMUSG00000044702	mmu-miR-236-5p
ENSMUSG00000045948	mmu-miR-202-5p
ENSMUSG00000045948	mmu-miR-209-5p
ENSMUSG00000045948	mmu-miR-222-5p
ENSMUSG00000046245	mmu-miR-202-5p
ENSMUSG00000046245	mmu-miR-225-5p
ENSMUSG00000046245	mmu-miR-239-5p
ENSMUSG00000046450	mmu-miR-213-5p
ENSMUSG00000046450	mmu-miR-234-5p
ENSMUSG00000046450	mmu-miR-237-5p
ENSMUSG00000047535	mmu-miR-201-5p
ENSMUSG00000047535	mmu-miR-209-5p
ENSMUSG00000047535	mmu-miR-210-5p
ENSMUSG00000047854	mmu-miR-205-5p
ENSMUSG00000047854	mmu-miR-217-5p
ENSMUSG00000047854	mmu-miR-220-5p
ENSMUSG00000047878	mmu-miR-208-5p
ENSMUSG00000047878	mmu-miR-233-5p
ENSMUSG00000047878	mmu-miR-238-5p
ENSMUSG00000047989	mmu-miR-218-5p
ENSMUSG00000047989	mmu-miR-221-5p
ENSMUSG00000047989	mmu-miR-222-5p
ENSMUSG00000048284	mmu-miR-203-5p
ENSMUSG00000048284	mmu-miR-222-5p
ENSMUSG00000048284	mmu-miR-239-5p
ENSMUSG00000048469	mmu-miR-226-5p
ENSMUSG00000048469	mmu-miR-238-5p
ENSMUSG00000048469	mmu-miR-239-5p
ENSMUSG00000049470	mmu-miR-210-5p
ENSMUSG00000049470	mmu-miR-214-5p
ENSMUSG00000049470	mmu-miR-231-5p
ENSMUSG00000050440	mmu-miR-205-5p
ENSMUSG00000050440	mmu-miR-214-5p
ENSMUSG00000050440	mmu-miR-238-5p
ENSMUSG00000050756	mmu-miR-205-5p
ENSMUSG00000050756	mmu-miR-218-5p
ENSMUSG00000050756	mmu-miR-237-5p
ENSMUSG00000050901	mmu-miR-201-5p
ENSMUSG00000050901	mmu-miR-230-5p
ENSMUSG00000050901	mmu-miR-235-5p
ENSMUSG00000051650	mmu-miR-210-5p
ENSMUSG00000051650	mmu-miR-219-5p
ENSMUSG00000051650	mmu-miR-224-5p
ENSMUSG00000051768	mmu-miR-200-5p
ENSMUSG00000051768	mmu-miR-213-5p
ENSMUSG00000051768	mmu-miR-217-5p
ENSMUSG00000052423	mmu-miR-228-5p
ENSMUSG00000052423	mmu-miR-235-5p
ENSMUSG00000052423	mmu-miR-238-5p
ENSMUSG00000053158	mmu-miR-202-5p
ENSMUSG00000053158	mmu-miR-214-5p
ENSMUSG00000053158	mmu-miR-237-5p
ENSMUSG00000053624	mmu-miR-210-5p
ENSMUSG00000053624	mmu-miR-215-5p
ENSMUSG00000053624	mmu-miR-218-5p
ENSMUSG00000053862	mmu-miR-202-5p
ENSMUSG00000053862	mmu-miR-222-5p
ENSMUSG00000053862	mmu-miR-229-5p
ENSMUSG00000054309	mmu-miR-209-5p
ENSMUSG00000054309	mmu-miR-210-5p
ENSMUSG00000054309	mmu-miR-226-5p
ENSMUSG00000055373	mmu-miR-202-5p
ENSMUSG00000055373	mmu-miR-210-5p
ENSMUSG00000055373	mmu-miR-223-5p
ENSMUSG00000055937	mmu-miR-221-5p
ENSMUSG00000055937	mmu-miR-222-5p
ENSMUSG00000055937	mmu-miR-226-5p
ENSMUSG00000056258	mmu-miR-201-5p
ENSMUSG00000056258	mmu-miR-222-5p
ENSMUSG00000056258	mmu-miR-227-5p
ENSMUSG00000056328	mmu-miR-210-5p
ENSMUSG00000056328	mmu-miR-211-5p
ENSMUSG00000056328	mmu-miR-234-5p
ENSMUSG00000056394	mmu-miR-213-5p
ENSMUSG00000056394	mmu-miR-228-5p
ENSMUSG00000056394	mmu-miR-239-5p
ENSMUSG00000056569	mmu-miR-210-5p
ENSMUSG00000056569	mmu-miR-211-5p
ENSMUSG00000056569	mmu-miR-226-5p
ENSMUSG00000057037	mmu-miR-206-5p
ENSMUSG00000057037	mmu-miR-222-5p
ENSMUSG00000057037	mmu-miR-227-5p
ENSMUSG00000057439	mmu-miR-213-5p
ENSMUSG00000057439	mmu-miR-227-5p
ENSMUSG00000057439	mmu-miR-230-5p
ENSMUSG00000058454	mmu-miR-207-5p
ENSMUSG00000058454	mmu-miR-216-5p
ENSMUSG00000058454	mmu-miR-233-5p
ENSMUSG00000058513	mmu-miR-221-5p
ENSMUSG00000058513	mmu-miR-228-5p
ENSMUSG00000058513	mmu-miR-230-5p
ENSMUSG00000059316	mmu-miR-211-5p
ENSMUSG00000059316	mmu-miR-226-5p
ENSMUSG00000059316	mmu-miR-227-5p
ENSMUSG00000060480	mmu-miR-215-5p
ENSMUSG00000060480	mmu-miR-223-5p
ENSMUSG00000060480	mmu-miR-230-5p
ENSMUSG00000060747	mmu-miR-207-5p
ENSMUSG00000060747	mmu-miR-218-5p
ENSMUSG00000060747	mmu-miR-226-5p
ENSMUSG00000061455	mmu-miR-223-5p
ENSMUSG00000061455	mmu-miR-224-5p
ENSMUSG00000061455	mmu-miR-239-5p
