GeneID	Control_R1	Control_R2	Control_R3	Early_R1	Early_R2	Early_R3	Mid_R1	Mid_R2	Mid_R3	Late_R1	Late_R2	Late_R3
ENSMUSG00000011096	11.2868	11.1202	7.7632	2.3499	5.7114	7.2451	19.2896	16.7974	14.7670	6.0027	6.2605	5.7521
ENSMUSG00000014294	4.9559	9.8535	8.0240	5.4023	6.4961	5.4218	9.3535	7.7788	5.6524	10.4569	8.7981	6.6769
ENSMUSG00000014776	9.0509	8.7781	9.2212	10.8205	12.4783	7.0320	9.2253	12.0151	9.1271	10.2502	7.1582	10.0864
ENSMUSG00000015605	10.3357	8.3149	7.9924	8.5982	5.2834	6.3854	11.4827	12.3071	9.6217	9.1402	11.1033	10.4260
ENSMUSG00000016921	6.8709	4.0327	14.2397	8.1605	4.5129	11.6465	16.2295	13.5780	15.1959	14.8555	14.4190	16.0727
ENSMUSG00000017716	7.0511	10.1094	12.9818	8.8590	9.1515	8.3181	11.8304	11.2172	10.5121	10.0900	1.7112	4.0614
ENSMUSG00000018401	7.0879	11.8652	10.7834	9.4460	10.7514	12.6114	9.7957	9.3210	8.3326	9.2634	7.9043	7.0792
ENSMUSG00000019087	5.1283	10.1455	8.2724	8.7297	12.4057	9.1602	12.5859	9.3122	7.8001	13.6953	8.4044	9.0384
ENSMUSG00000019518	17.2506	12.6906	12.7712	10.8306	10.1104	7.0831	9.0634	11.8247	10.6983	8.1837	6.4377	3.8289
ENSMUSG00000019888	4.7074	4.1366	6.7584	4.3880	9.5145	4.3618	10.4406	8.0985	9.7985	11.6029	9.5588	8.1292
ENSMUSG00000019935	10.5733	7.9082	8.3082	10.8525	12.7029	6.8299	7.3149	7.9957	9.8732	10.2818	8.1513	8.0522
ENSMUSG00000019989	10.6382	8.1341	9.9006	6.8262	6.3898	8.6846	3.9425	13.2819	9.3530	10.2697	4.9437	11.9521
ENSMUSG00000019998	8.5248	10.7666	11.0831	8.3549	12.5032	14.2735	11.7862	15.9285	11.7098	14.3378	11.8251	10.9561
ENSMUSG00000020260	7.7273	14.3066	11.6124	10.8370	15.5336	19.4069	1.0197	5.1035	6.8681	11.6089	14.5914	13.6027
ENSMUSG00000020388	9.3088	8.4347	12.0548	10.0581	10.2246	8.5055	11.7914	12.8900	9.1887	10.9222	11.0878	11.9235
ENSMUSG00000020471	12.1823	9.8858	10.7425	18.0988	16.3519	17.9987	11.7131	5.9954	11.7145	11.0459	7.8056	9.8024
ENSMUSG00000020630	7.5683	6.3925	7.5253	18.6262	17.7333	16.1042	2.1141	3.1148	0.9148	4.9860	6.7016	4.2314
ENSMUSG00000020868	9.7644	13.3863	12.1929	6.6242	6.6375	1.6197	10.9570	14.0332	13.0786	7.5055	10.7989	11.0194
ENSMUSG00000020894	6.8266	1.2324	3.1024	5.6333	3.6440	2.5123	5.2512	4.4822	9.4107	9.0729	6.1420	2.9167
ENSMUSG00000020946	7.1498	7.5115	10.0908	6.5634	9.3574	9.2519	9.5199	11.3871	9.8317	8.9546	5.5073	7.8670
ENSMUSG00000020974	4.7776	5.0090	10.6931	9.3686	1.8500	5.0184	13.2862	12.9077	17.5404	4.5206	5.3110	6.1035
ENSMUSG00000021360	7.5692	7.7812	8.6846	15.8100	18.5060	17.8105	7.8296	10.0845	10.2086	12.3451	12.7992	12.4442
ENSMUSG00000021538	9.0904	9.0857	10.7182	10.5350	7.9264	10.7592	8.1333	7.4396	10.9090	8.5244	8.2701	14.5629
ENSMUSG00000021636	8.4094	8.6057	9.1689	9.0004	7.1097	10.4578	8.1580	11.5293	8.0670	14.1959	9.6062	9.7597
ENSMUSG00000021775	-3.1743	-0.7622	3.2924	12.3272	12.7033	13.0517	4.4868	-0.1696	4.5850	6.0317	3.9784	3.3327
ENSMUSG00000022350	14.2258	12.7258	16.8720	5.1159	12.8036	10.3667	2.8070	8.0288	6.8471	7.5276	8.3333	6.4691
ENSMUSG00000022435	10.3209	3.5850	7.4947	10.2148	14.8756	12.1120	8.6552	8.8036	12.8021	5.3113	5.5571	8.7731
ENSMUSG00000022453	10.7244	11.3861	8.9196	11.7557	5.9663	6.7823	8.4565	5.4799	9.8532	9.9512	1.8018	6.4601
ENSMUSG00000022517	11.3541	2.6951	6.6598	6.7903	8.6468	9.0412	12.9136	11.5776	8.7978	12.1602	10.8501	10.2931
ENSMUSG00000022545	9.6959	13.1129	8.9722	9.2107	11.7465	7.1793	6.2797	4.2505	7.3282	10.6294	13.5316	13.0771
ENSMUSG00000022765	9.7199	8.9824	6.9486	13.8643	8.0721	7.1837	4.6450	11.1780	10.6325	12.9650	6.7050	12.8129
ENSMUSG00000022766	8.8439	10.8704	10.1945	8.7661	9.9779	5.7921	10.4634	7.9881	7.8843	10.0301	10.7595	10.0060
ENSMUSG00000022779	3.6057	0.9842	1.7616	11.3495	6.4297	10.4681	10.3034	11.5219	9.1581	-1.7281	1.3354	-0.7921
ENSMUSG00000022793	8.3548	7.5419	4.3688	10.5236	10.8105	11.4127	13.0432	9.4418	11.7653	12.0045	13.2052	11.4332
ENSMUSG00000023921	5.9370	6.0281	9.0444	7.1478	7.1309	9.5178	16.3760	10.7654	8.0726	10.2318	8.1697	13.4815
ENSMUSG00000024085	12.3457	9.8172	11.3542	17.5554	16.7892	17.8306	11.3282	6.4516	12.0602	10.3632	7.7428	9.7840
ENSMUSG00000024456	8.2228	9.4554	9.5260	16.7013	9.3706	10.9509	9.0669	9.4436	4.7499	3.5216	12.2760	4.3866
ENSMUSG00000024620	0.2135	8.7242	4.5060	9.2280	12.3020	8.8463	3.8474	9.8984	11.8397	6.5210	5.6719	6.4128
ENSMUSG00000024781	6.9774	0.9002	3.0975	5.9557	3.9479	2.4859	5.2713	4.2465	9.3264	9.1466	6.2126	2.8889
ENSMUSG00000024807	9.5001	10.7018	8.6793	8.5361	10.5702	12.8168	8.1900	9.8990	6.8157	9.0329	12.4035	10.5304
ENSMUSG00000024887	11.1758	11.2717	7.6846	2.1036	5.1748	7.0741	18.9578	16.8420	14.0157	6.5321	6.9379	6.2203
ENSMUSG00000025138	4.7634	9.9610	7.0091	5.9363	6.6571	5.3534	9.6655	7.5990	5.9232	10.1018	8.6389	6.5080
ENSMUSG00000025395	13.6527	10.2119	10.1803	12.2321	13.1912	14.3134	11.5451	6.5269	5.3584	3.8352	5.2187	6.0761
ENSMUSG00000025464	9.8242	13.2928	5.0460	6.7840	9.9090	11.2811	10.9926	13.5688	10.8542	8.4908	9.8966	6.8766
ENSMUSG00000025878	9.7312	13.0838	9.6178	6.8746	6.7753	11.1719	10.5428	15.0985	9.7676	5.2170	5.0963	4.2064
ENSMUSG00000026113	7.4465	10.3276	12.9286	9.1929	8.8742	7.9618	12.0321	11.1457	10.8927	9.7905	1.5919	4.2460
ENSMUSG00000026196	6.5532	8.5503	5.5574	18.6223	15.1642	16.2019	10.3273	6.2043	10.8943	12.4191	10.1822	9.7415
ENSMUSG00000026246	7.9688	8.1728	6.9276	8.2655	12.6114	8.5959	7.8477	9.0177	12.1834	16.7432	8.5186	11.4605
ENSMUSG00000026496	17.3031	12.6714	12.7158	11.4460	10.1962	6.4889	8.9336	11.5152	10.1503	8.8258	6.0630	3.8559
ENSMUSG00000026600	5.3695	3.5022	6.3429	4.9785	9.5396	4.5268	10.2533	8.1150	10.0167	11.5215	10.0967	8.3696
ENSMUSG00000026675	6.8878	7.7838	8.9486	9.9583	14.7884	6.3801	8.5663	5.5988	4.2958	11.5354	5.0776	8.3870
ENSMUSG00000026766	9.2075	5.4767	6.9849	2.1068	5.6179	7.3862	6.4101	6.4565	11.0338	6.3836	10.7861	11.4089
ENSMUSG00000026818	8.6593	10.6609	11.1189	7.4127	12.1505	14.6830	11.3879	15.2528	12.0409	14.7731	11.3831	11.1852
ENSMUSG00000026928	7.7153	14.6252	11.5946	11.2730	15.7045	18.8373	1.7393	4.9317	7.0874	12.1358	14.0958	13.9129
ENSMUSG00000027186	13.4026	9.4777	11.5380	2.2470	9.4407	11.8180	11.1049	11.6930	12.2427	9.1939	7.3407	11.9323
ENSMUSG00000027204	7.9723	10.3080	9.4681	12.6928	12.7569	10.2433	9.9174	9.5567	8.8115	12.2793	7.2252	9.9347
ENSMUSG00000027255	7.9440	6.7005	7.5937	17.8994	17.7489	16.6245	2.1338	3.0863	0.7193	4.9994	6.7981	4.3647
ENSMUSG00000027287	10.4468	7.6496	6.4702	18.3225	14.6190	14.3322	9.8193	11.4861	7.7154	14.2512	7.7367	15.1377
ENSMUSG00000027323	12.0677	8.6226	6.2357	11.3404	7.5393	7.7294	11.2551	10.9256	12.8339	7.6750	7.3715	10.4148
ENSMUSG00000027342	9.9675	6.4932	9.2043	5.6873	3.7447	8.4262	5.1532	5.4973	9.7658	4.3394	5.3560	5.4603
ENSMUSG00000027395	6.0218	7.9860	9.3820	17.8611	19.0934	16.1358	13.8379	19.1585	15.7531	8.2953	3.3352	9.1203
ENSMUSG00000027630	13.1992	10.8377	12.1697	8.9276	8.1692	8.8648	11.3541	12.6897	10.9879	11.1923	15.0651	11.3877
ENSMUSG00000027642	13.6202	9.9256	10.5807	12.2645	13.0373	13.8062	11.4096	7.6595	5.5647	3.4316	4.7443	5.6474
ENSMUSG00000028104	8.9744	11.0591	10.6261	7.9811	8.8818	7.1410	9.1929	7.4942	12.6162	8.9290	11.7644	9.6034
ENSMUSG00000028262	-2.7034	-0.4885	2.9033	12.4429	13.0519	13.3455	4.5556	-0.2320	4.7838	5.7740	4.0794	3.5922
ENSMUSG00000028310	14.2559	12.3302	17.5613	5.3502	12.7715	10.2066	3.2542	8.2077	6.9532	7.9401	8.2853	6.3615
ENSMUSG00000028423	7.2308	8.4841	7.9015	7.8313	11.7266	8.4190	10.5883	11.3556	11.3993	9.3076	10.3684	9.5153
ENSMUSG00000028435	8.6227	7.9286	8.2524	9.4108	7.5631	10.5728	13.2654	9.1750	9.5551	8.6497	9.3411	10.7812
ENSMUSG00000028538	3.0158	-0.6987	4.5317	13.4093	17.6554	11.3657	10.0643	7.2736	5.3270	2.8527	5.0917	3.8040
ENSMUSG00000028541	9.6911	13.1384	8.5278	8.9206	11.6729	7.5203	6.6462	4.2842	7.0829	10.8473	13.7926	13.0917
ENSMUSG00000028552	11.3597	11.7461	8.0034	9.5501	9.2723	10.8725	5.8222	8.4417	9.8857	14.0170	11.7116	13.9313
ENSMUSG00000028553	11.4090	7.0237	10.9822	4.9298	7.5651	8.7043	6.1487	13.4035	11.7270	6.7650	5.9239	9.2131
ENSMUSG00000028687	5.8232	9.1062	11.9198	8.0423	5.5545	8.9869	19.8272	17.5882	18.6371	16.0427	8.3734	7.1427
ENSMUSG00000028702	7.7291	7.5504	5.0193	10.5672	11.1183	11.2115	12.7685	9.4136	11.5485	11.8535	13.3168	10.6720
ENSMUSG00000028757	7.6442	11.2908	8.5629	14.5584	13.0221	10.9793	3.1264	5.3750	2.0228	13.5637	15.0652	14.9349
ENSMUSG00000029431	5.2612	9.4057	7.3633	8.8698	10.8050	10.1146	11.7384	9.7525	7.9437	11.9208	10.8083	7.9788
ENSMUSG00000029437	8.3007	9.1555	9.5676	16.7105	9.3359	11.5070	8.5758	9.4058	4.4583	2.9102	12.2244	4.5848
ENSMUSG00000029462	0.2665	9.1134	5.1187	9.1677	11.5920	8.9072	3.8782	9.4997	12.0606	6.6109	5.6776	6.6638
ENSMUSG00000029556	12.0790	6.9039	8.3760	7.0314	8.6045	8.9534	9.5643	6.0071	8.7983	10.1826	7.9269	7.0714
ENSMUSG00000029777	8.3291	8.3203	8.7897	7.3593	8.8153	8.2328	8.0823	9.8246	12.8203	12.6507	11.9762	8.2874
ENSMUSG00000029911	5.0310	5.4721	11.0490	9.7271	1.6421	4.6191	13.6847	13.4659	17.4751	5.6294	5.2677	6.1301
ENSMUSG00000030088	4.5422	9.5738	7.2371	5.3430	6.7294	5.5052	9.1638	7.8408	5.2117	10.3335	8.5356	6.6308
ENSMUSG00000030237	8.8525	8.3583	8.9615	10.9666	12.9757	6.9972	8.5143	11.3243	9.1198	10.0640	6.7475	10.4523
ENSMUSG00000030255	9.5741	8.3118	8.4662	8.7129	5.1520	6.1436	11.2826	11.9947	10.2565	9.1506	11.1602	10.7288
ENSMUSG00000030378	6.3752	4.0190	13.6437	8.2292	5.0652	11.4609	16.7627	13.2612	15.2769	14.9126	14.4500	15.8122
ENSMUSG00000030528	7.7124	10.6352	13.2500	9.2594	8.8398	7.9867	11.7551	11.2235	10.9903	10.1203	2.0256	4.5505
ENSMUSG00000030539	6.8158	11.6566	10.4260	9.3084	11.0642	13.0340	9.5267	9.0927	8.1673	9.2251	8.3139	6.7619
ENSMUSG00000030584	5.1774	10.0129	8.6005	8.3508	12.0900	9.0650	12.3748	8.4020	8.0035	13.2378	8.4059	9.2092
ENSMUSG00000030610	16.8632	12.7144	13.0892	11.6499	10.2887	6.3230	8.6158	11.5174	10.3517	8.5901	6.3636	4.1532
ENSMUSG00000030670	-0.4830	5.9609	1.9772	5.6695	4.1049	7.0812	12.3843	12.9544	10.1357	9.8196	5.2231	3.1704
ENSMUSG00000030717	10.5457	7.6132	8.3083	11.4529	12.5393	7.0277	7.1867	7.8532	9.7804	10.4279	8.1779	7.3795
ENSMUSG00000030726	8.8820	5.4216	7.1145	1.7064	5.4850	8.2889	6.4443	6.5559	11.4004	6.0539	10.8225	11.6574
ENSMUSG00000031201	8.4374	10.5503	10.8675	8.3139	12.9593	14.3015	11.7509	15.3303	11.7645	14.6148	11.2484	11.4662
ENSMUSG00000031349	7.6971	7.4982	4.9845	10.7561	10.7906	11.8270	12.7881	9.6996	11.3439	11.7383	13.2079	11.3783
ENSMUSG00000031497	9.7388	8.4166	11.9087	9.7821	10.3083	8.9655	11.9475	12.9962	9.2190	10.2105	11.4211	12.1326
ENSMUSG00000031865	10.9470	9.0656	9.0049	7.5922	8.1521	10.7918	6.0238	9.1474	10.1896	8.1454	4.7521	10.0912
ENSMUSG00000032018	10.3030	12.8358	13.4789	7.6955	4.6302	7.6471	4.6307	8.3111	10.0160	5.9220	5.7226	8.9866
ENSMUSG00000032034	9.8324	13.8392	11.8669	6.6474	6.9285	1.8486	10.8081	13.3047	12.8957	7.5531	10.9527	10.4832
ENSMUSG00000032109	10.5205	10.0599	7.1983	8.9058	10.7460	8.5528	7.5499	10.7807	10.9704	13.3031	8.1064	9.8197
ENSMUSG00000032116	9.8148	7.0729	9.6024	5.2214	3.4631	9.1575	4.9438	5.2000	9.4823	4.2277	5.3389	5.5043
ENSMUSG00000032123	5.9552	7.2491	9.0208	17.8414	18.9956	15.7034	14.1612	19.3367	16.1686	8.6508	3.4898	9.2684
ENSMUSG00000032127	13.3159	10.9692	12.3209	8.9551	8.5790	9.1467	11.3909	12.4239	11.0352	10.9361	15.1344	11.8615
ENSMUSG00000032179	9.6920	9.3283	10.4686	10.6074	7.7517	11.0369	7.9998	7.7982	10.7412	8.3483	8.7288	14.6026
ENSMUSG00000032280	8.6333	9.3206	9.0386	8.4037	7.3682	11.1248	8.0246	11.8052	7.6780	14.5745	9.5770	9.7715
ENSMUSG00000032281	-2.7595	-0.0500	3.2202	12.7302	13.3601	13.9350	4.1819	0.2535	4.1842	5.7900	4.3768	2.9795
ENSMUSG00000032328	14.1370	12.6182	17.0708	5.3519	12.7818	10.6300	3.0254	7.7971	7.3674	7.6182	8.8536	6.0895
ENSMUSG00000032563	9.7249	3.6426	7.5190	11.0199	14.5956	12.1590	8.6445	8.8571	12.7885	4.9225	5.7745	9.1147
ENSMUSG00000032688	10.1561	11.5299	8.8429	11.8556	6.0991	7.0298	8.2061	5.6085	9.6167	10.4673	1.8186	6.2552
ENSMUSG00000032757	11.2108	3.5457	6.8571	6.4378	8.9901	8.7830	12.7625	11.5853	8.3838	11.9892	11.0976	11.0105
ENSMUSG00000033809	-0.6795	5.7909	2.1717	6.0529	4.3116	6.7206	12.6780	12.8622	9.9904	9.6272	4.8334	2.7478
ENSMUSG00000033965	10.0846	8.3525	6.5824	13.5124	7.9551	7.5669	5.0400	11.2673	10.7459	13.3171	6.7332	12.9486
ENSMUSG00000034329	9.1384	5.5504	7.3324	2.1197	5.6125	7.3355	6.3599	7.0098	11.4014	6.3813	11.0465	12.1470
ENSMUSG00000034687	5.8682	8.9186	11.5324	8.1965	5.8727	8.5997	20.1674	17.1718	18.6446	15.8007	8.4733	7.6157
ENSMUSG00000034780	13.0407	14.7818	13.6871	7.4894	3.6939	5.4757	3.5821	-1.1001	2.7435	11.9164	10.1677	11.8856
ENSMUSG00000036620	7.7784	10.6169	9.0289	14.4047	13.1400	11.4061	3.1293	4.9880	1.9800	13.7883	15.5067	14.8908
ENSMUSG00000036880	6.3682	9.8389	13.6281	11.5747	9.0070	7.6552	11.8256	9.7035	8.1587	9.2308	9.0042	8.2998
ENSMUSG00000036992	8.1429	9.2379	9.2834	16.8590	8.7688	11.3391	9.0767	9.1878	4.6080	2.8152	12.5649	4.7389
ENSMUSG00000037306	0.5185	8.2369	4.6796	9.5924	12.0695	8.6513	4.1284	9.7805	12.4659	6.6308	5.5176	6.6716
ENSMUSG00000037537	6.2080	8.1840	7.3097	7.6350	10.6727	9.2322	10.4185	11.8067	11.5972	9.7810	10.7990	11.2379
ENSMUSG00000037583	9.8082	10.7838	8.2755	8.5102	10.6416	13.1315	8.4154	9.5649	6.8377	9.1325	12.4936	10.3155
ENSMUSG00000037797	11.3508	11.1955	7.3160	2.4106	4.4314	6.6720	18.9794	17.3658	15.0238	6.3723	6.5875	6.0114
ENSMUSG00000038496	4.7704	9.9626	7.7943	5.8034	7.0207	5.3637	9.5462	7.2870	5.9820	9.9557	8.3271	6.3069
ENSMUSG00000038521	9.9642	10.7331	10.8713	9.1164	9.3726	7.4478	6.8901	7.2867	10.7152	13.1627	8.9442	7.3184
ENSMUSG00000038644	12.7619	11.9202	12.9424	11.1704	10.9549	10.8349	13.9390	5.8750	12.0437	10.6276	11.3779	12.1327
ENSMUSG00000039089	7.0089	4.1438	13.8809	8.3574	4.8187	11.6481	16.3692	13.2427	15.6215	15.1016	14.7609	15.6102
ENSMUSG00000039713	7.4899	10.2803	12.8400	9.2049	8.9446	8.2242	12.5456	11.4059	10.6873	9.8892	2.1804	4.3138
ENSMUSG00000039740	6.7859	8.8191	5.2595	18.5462	14.8932	15.9300	10.5913	5.6507	10.5892	11.8727	10.0735	9.9603
ENSMUSG00000039774	8.0451	7.9719	6.9095	7.8978	12.3016	8.8132	7.2752	8.6359	11.7064	16.7665	8.2161	11.5791
ENSMUSG00000040364	3.4178	-0.9415	4.9740	13.4910	17.8736	10.9141	10.2880	7.3498	5.4886	2.8529	5.1196	4.0790
ENSMUSG00000040385	5.0274	3.5554	6.5399	4.9617	8.9732	4.6316	10.4325	8.8489	9.7776	11.4311	10.0576	8.0257
ENSMUSG00000040462	12.5835	11.2438	9.8955	8.4166	6.7933	7.5336	9.0843	9.5283	14.5863	9.8975	11.0857	7.1469
ENSMUSG00000041147	10.2902	9.1557	9.3147	11.2072	8.1147	6.2685	9.9904	9.9218	6.7540	10.5481	10.2206	6.8272
ENSMUSG00000041238	3.7077	0.9600	1.8046	11.1866	6.4774	10.7815	10.6836	11.0437	9.4412	-2.0686	0.8585	-1.1349
ENSMUSG00000041380	7.4768	14.6447	11.0044	11.3505	15.7240	19.3591	1.2453	3.7465	7.0635	11.5259	14.4765	13.6204
ENSMUSG00000041488	7.6468	10.8270	9.0747	14.9123	12.8103	11.0976	2.6049	5.4155	2.0618	13.4878	15.7475	15.2195
ENSMUSG00000041650	7.9179	10.0459	9.6849	12.4509	12.7016	10.0949	9.7847	9.8568	8.8995	11.9848	7.0332	9.6832
ENSMUSG00000041660	7.6931	6.6095	7.6591	17.9336	17.5710	16.9120	2.5739	3.3171	0.6912	4.7099	7.0049	4.4842
ENSMUSG00000042410	9.0002	13.8604	12.0653	6.5470	7.0882	1.5825	11.2724	13.9495	13.4284	7.2738	10.5852	10.4268
ENSMUSG00000042541	6.9357	1.0028	3.0948	5.4885	4.4231	2.2344	4.9717	4.0696	9.3024	8.6640	6.6037	3.2767
ENSMUSG00000042628	10.2258	9.6948	6.8424	9.7961	13.0021	8.2987	10.6260	9.2831	9.7979	8.0247	7.6867	6.4227
ENSMUSG00000042772	5.9413	7.1253	9.5850	17.8566	18.8476	16.8796	14.0083	19.1351	15.5776	8.3669	3.2926	8.5688
ENSMUSG00000044024	13.4126	10.5085	11.6957	8.9094	8.4394	8.8655	11.4812	12.9029	10.7922	11.2992	15.2963	11.3668
ENSMUSG00000044039	10.9210	9.7903	5.9467	10.3051	6.8842	11.2149	11.4348	8.7556	7.7289	10.1866	9.9651	7.4320
ENSMUSG00000044702	12.9974	11.9911	13.1265	11.2459	10.4574	10.7213	14.0171	6.1631	12.7391	10.8152	11.3271	12.4213
ENSMUSG00000045883	-2.9812	-0.8684	2.9662	12.6696	13.5456	13.1659	4.6180	-0.0590	4.3736	5.8213	4.3895	3.3747
ENSMUSG00000046223	14.1021	12.0627	17.2912	5.7449	13.1646	10.4562	2.7233	8.0325	6.6099	7.8251	8.3355	6.1558
ENSMUSG00000046434	7.4345	8.8726	7.3572	7.4991	12.1697	8.4378	10.2844	10.8939	11.4941	9.7512	10.9406	9.4868
ENSMUSG00000047517	8.5596	7.9444	7.7718	9.1343	7.9774	9.9955	12.9192	10.0944	9.3658	9.6870	8.9785	10.5963
ENSMUSG00000047854	3.0791	-1.1014	4.8498	13.8171	18.0576	11.3894	9.5624	7.5828	5.3023	3.1364	4.9892	3.6294
ENSMUSG00000047878	-0.6555	5.7285	2.0357	6.1867	3.7449	6.9568	12.3070	12.8577	9.6624	10.2184	4.8710	2.3267
ENSMUSG00000047980	11.2403	11.0504	7.8169	9.5638	8.6771	10.7463	5.7203	8.4488	10.2033	13.3957	11.5166	13.6176
ENSMUSG00000048251	11.6701	6.9408	10.5441	5.5564	7.2566	9.0251	6.2472	13.1974	11.8247	6.9703	6.1259	9.3440
ENSMUSG00000048456	5.7875	8.4208	10.9064	8.2197	5.7468	8.4203	19.8863	17.3620	18.8599	15.9174	8.7357	7.7245
ENSMUSG00000049456	13.1316	14.7085	13.6897	7.7778	3.1089	5.1008	2.8315	-1.4908	2.7463	11.4129	10.3625	11.8661
ENSMUSG00000050435	8.5454	11.2482	7.8078	6.5105	10.7033	9.7409	9.0386	7.5038	8.2713	7.0474	7.1213	11.1091
ENSMUSG00000050742	5.7134	9.1344	6.8017	8.5933	11.0546	10.5646	11.7896	9.6824	8.0991	12.0303	10.8849	8.7590
ENSMUSG00000050865	7.7648	9.2859	9.7868	16.3754	9.1405	10.7387	8.9320	9.4709	4.7518	3.4136	12.6695	4.9692
ENSMUSG00000051650	10.5890	7.6722	6.7735	17.9020	14.6393	14.3718	9.2496	11.2081	7.2846	14.3202	7.6850	15.0007
ENSMUSG00000051768	7.0577	1.4130	3.0345	5.5182	4.1389	2.2573	5.1656	4.0702	9.1472	8.6357	6.0703	2.7237
ENSMUSG00000052423	10.2005	6.3088	10.0797	5.5199	3.2266	9.0788	5.2410	5.0283	8.9214	4.5196	5.5511	6.0791
ENSMUSG00000053146	11.1198	11.0268	7.7845	2.6559	5.1930	6.7375	18.9603	17.0728	14.8802	6.5310	5.9506	5.9549
ENSMUSG00000053604	5.0970	10.1722	7.4348	5.7952	6.7907	5.0301	9.6882	7.4460	5.7860	10.1289	8.5874	7.0022
ENSMUSG00000053856	9.0378	8.7459	9.3137	10.7371	12.7024	7.0862	8.4876	11.4079	8.7643	10.1120	6.8354	10.1748
ENSMUSG00000054293	9.6352	8.6115	8.2572	8.3692	4.9055	6.6973	11.1571	11.8320	9.7792	8.7905	11.5442	10.5524
ENSMUSG00000055373	6.7427	3.6418	13.5755	8.5528	4.8695	11.1349	15.8683	13.1271	15.2624	14.5664	14.1715	16.1410
ENSMUSG00000055891	7.3756	10.8567	12.9907	8.7886	9.1875	8.0738	11.8830	11.4040	11.1130	10.3518	2.2882	3.8470
ENSMUSG00000056234	7.0791	12.3424	10.4921	9.5075	10.2111	13.0459	9.2107	9.5473	8.5480	9.1112	7.6557	7.3255
ENSMUSG00000056305	5.4915	10.0991	8.4740	8.7614	12.0465	9.2303	12.3932	8.8185	8.2082	12.9508	8.2973	9.1129
ENSMUSG00000056394	2.8116	-0.5886	5.2954	13.9646	17.4412	11.2847	9.9320	7.9395	5.2422	2.8637	4.9986	3.5127
ENSMUSG00000056564	5.0306	3.4877	6.4037	4.6380	9.8084	4.3565	10.1617	8.6963	10.0846	10.9801	9.7690	8.1685
ENSMUSG00000057003	10.7186	7.8176	8.1079	11.5734	12.7251	7.0233	7.3848	7.8464	9.8571	10.2516	7.9057	7.5304
ENSMUSG00000057425	10.8050	8.9155	10.1469	7.0116	6.0892	9.5207	4.1272	13.2463	9.9272	9.6887	5.7096	11.7026
ENSMUSG00000058454	3.5346	1.3420	1.4629	11.4603	6.3687	10.4436	10.5634	11.6718	9.1677	-1.0310	1.1930	-1.0350
ENSMUSG00000058491	7.9420	14.1150	11.1828	11.4670	15.3516	19.7225	1.5468	4.8031	7.0340	11.6878	14.0702	13.7885
ENSMUSG00000059303	9.5441	8.5737	12.0160	9.9559	9.9936	8.8424	11.6834	12.8987	9.6497	10.2672	11.2595	11.9561
