#miRNA	T00h	T02h	T06h	T12h	T18h	T24h
mmu-miR-143-5p	-1.2576	-0.8330	-1.5295	-1.4917	-2.0634	-1.4581
mmu-miR-144-3p	-0.2529	0.3102	-0.2668	-0.1010	-0.3769	-0.1508
mmu-miR-144-5p	-1.2220	-0.9493	-1.4531	-1.7657	-1.6736	-1.5149
mmu-miR-145-3p	0.3860	1.6475	1.9985	1.5459	2.3718	2.1117
mmu-miR-145-5p	-1.3131	-1.8223	-1.0615	-1.2021	-2.2798	-2.4440
mmu-miR-146-3p	0.4721	0.5131	0.4389	0.1055	0.4936	0.0960
mmu-miR-146-5p	-1.5779	-1.8001	-2.0178	-1.8462	-1.7026	-1.5522
mmu-miR-147-3p	-1.2521	-1.0147	-1.5007	-1.8068	-1.6680	-1.5304
mmu-miR-147-5p	1.0777	0.9196	1.5553	1.8205	2.0604	1.3406
mmu-miR-148-3p	-0.4974	-0.2440	-0.3766	-0.1530	0.2821	-0.3653
mmu-miR-148-5p	-0.6558	0.3288	-0.1272	0.5709	-0.2248	-0.1245
mmu-miR-149-3p	0.1069	0.3057	-0.1804	0.1864	-0.5644	0.4901
mmu-miR-149-5p	-1.2340	-1.0201	-1.1313	-1.8752	-1.8287	-1.5350
mmu-miR-150-3p	-0.4465	-0.1948	0.4192	0.1029	-0.5878	-0.2167
mmu-miR-150-5p	0.0072	-0.3619	-0.2106	-0.0082	-0.6807	-0.3960
mmu-miR-151-3p	0.4278	0.2406	0.7105	-0.5471	-0.8830	0.3923
mmu-miR-151-5p	-1.0719	-1.0960	-1.3514	-1.3068	-1.7351	-1.8051
mmu-miR-152-3p	-1.4602	-1.7029	-0.5548	-1.4722	-1.8747	-1.8903
mmu-miR-152-5p	-0.9935	-1.8569	-1.3462	-1.8858	-1.6569	-2.4099
mmu-miR-153-3p	0.9902	0.7595	1.2356	1.5361	2.1294	1.7402
mmu-miR-153-5p	-1.1556	-1.6212	-1.1719	-1.8784	-1.4876	-2.0788
mmu-miR-154-3p	1.5852	1.3026	1.6856	1.3581	1.4410	1.9991
mmu-miR-154-5p	-1.3191	-1.0561	-1.7076	-1.5183	-1.7276	-2.1983
mmu-miR-155-3p	-0.8377	-0.9778	-1.4570	-1.6888	-1.8051	-1.3566
mmu-miR-155-5p	0.2116	0.0146	-0.3865	-0.5360	0.0149	0.4813
mmu-miR-156-3p	0.8179	1.1930	0.9378	0.8506	1.4826	1.8328
mmu-miR-156-5p	-1.1120	-1.5548	-0.7748	-1.6651	-2.3194	-2.0986
mmu-miR-157-3p	-0.7900	-1.0399	-0.7339	-1.7902	-1.8975	-1.7017
mmu-miR-157-5p	-1.1328	-1.4784	-1.3743	-1.6842	-2.3492	-2.9162
mmu-miR-158-3p	-0.4010	-1.3765	-2.0577	-1.5948	-1.1172	-2.5616
mmu-miR-158-5p	0.3111	-0.2764	0.0284	0.4067	0.5175	-0.4101
mmu-miR-159-3p	0.0140	-0.7094	0.4041	-0.0779	0.2821	-0.3069
mmu-miR-159-5p	-1.0687	-1.0822	-1.5754	-1.2125	-1.4077	-1.9774
mmu-miR-160-3p	1.0081	1.8367	1.6098	2.0458	1.5341	2.0767
mmu-miR-160-5p	-1.4483	-0.8389	-0.9706	-1.4059	-1.6761	-2.2450
mmu-miR-161-3p	-1.0974	-0.9158	-1.4665	-1.6024	-2.0298	-2.4283
mmu-miR-161-5p	-1.1480	-1.1767	-1.5678	-1.1034	-1.6169	-2.0606
mmu-miR-162-3p	-1.2203	-0.8152	-1.3405	-1.2435	-1.4698	-2.0359
mmu-miR-162-5p	1.0404	1.0765	0.8396	1.5857	1.3037	2.4312
mmu-miR-163-3p	-1.5245	-1.0095	-1.1463	-1.3810	-2.3814	-2.2233
mmu-miR-163-5p	-0.3577	0.1961	0.4449	-0.1188	0.3321	0.2082
mmu-miR-164-3p	-0.8420	-0.8995	-1.1346	-1.4784	-1.2934	-1.6893
mmu-miR-164-5p	-0.9474	-1.3228	-0.8631	-1.8451	-2.1555	-1.9443
mmu-miR-165-3p	-1.3913	-1.3738	-1.8691	-1.8037	-2.1881	-2.2784
mmu-miR-165-5p	-0.2662	-1.4202	-1.5771	-1.7506	-1.9865	-2.4156
mmu-miR-166-3p	-1.1617	-0.5209	-1.1996	-1.5519	-1.4688	-2.0927
mmu-miR-166-5p	-1.2981	-0.8031	-1.3824	-2.1319	-1.6909	-2.0044
mmu-miR-167-3p	-0.7108	-1.3000	-1.4812	-1.9046	-2.0800	-1.8012
mmu-miR-167-5p	-0.7816	-0.9959	-0.8131	-1.0008	-1.7065	-1.6163
mmu-miR-168-3p	-0.6340	-1.7483	-1.6151	-1.6790	-2.2741	-2.3908
mmu-miR-168-5p	0.4921	-0.1787	0.7824	0.4455	0.5578	0.2121
mmu-miR-169-3p	0.7279	-0.3424	-0.2768	-0.1842	0.0019	0.0228
mmu-miR-169-5p	-0.1774	0.3882	0.1655	0.4458	0.2482	0.2215
mmu-miR-170-3p	0.9688	1.4950	1.2983	0.8081	1.6497	1.9609
mmu-miR-170-5p	-0.0934	-0.1154	0.2904	0.0622	-0.1315	0.2060
mmu-miR-171-3p	-1.1650	-1.0017	-1.3573	-1.4235	-1.9381	-1.8145
mmu-miR-171-5p	-1.0037	-1.3722	-1.1646	-1.7379	-1.4907	-2.0624
mmu-miR-172-3p	0.3523	-0.0504	-0.7129	-0.1892	0.1372	0.2436
mmu-miR-172-5p	-0.4938	-0.1054	-0.0267	-0.5353	-0.0275	-0.0414
mmu-miR-173-3p	0.9843	1.5203	1.6356	1.5351	1.8069	2.1797
mmu-miR-173-5p	1.3503	0.7227	0.3935	1.5960	1.6903	1.6454
mmu-miR-174-3p	0.6085	0.1516	-0.0254	0.0454	-0.2798	-0.1411
mmu-miR-174-5p	-0.7890	-1.5022	-2.0416	-1.2948	-1.7253	-1.7409
mmu-miR-175-3p	-0.2501	0.0521	-0.1333	0.0699	-0.3225	0.0549
mmu-miR-175-5p	-0.1832	0.2864	0.3036	0.2259	0.1085	0.1894
mmu-miR-176-3p	-0.0673	0.0999	-0.5328	0.4219	-0.3864	0.0167
mmu-miR-176-5p	0.5090	-0.0239	0.1689	-0.5327	-0.3707	0.1414
mmu-miR-177-3p	-0.3268	0.3631	-0.3572	-0.1711	-0.1414	-0.0386
mmu-miR-177-5p	-1.0722	-1.0296	-1.5228	-1.4314	-1.3915	-1.7981
mmu-miR-178-3p	-1.2169	-1.4356	-1.4064	-1.5166	-1.7444	-2.0476
mmu-miR-178-5p	-1.2896	-1.0765	-1.0273	-1.2996	-1.8806	-2.0945
mmu-miR-179-3p	-0.6730	-1.2463	-1.6270	-1.5751	-2.1140	-2.4184
mmu-miR-179-5p	1.0567	1.2781	2.3720	1.7075	1.5479	1.9672
mmu-miR-180-3p	-1.0454	-1.6261	-1.2528	-1.5333	-1.6173	-1.7064
mmu-miR-180-5p	-1.0058	-1.1606	-1.1289	-0.9484	-1.7411	-2.1392
mmu-miR-181-3p	-0.4717	-1.3688	-1.6947	-2.1984	-2.0265	-2.4780
mmu-miR-181-5p	0.2851	-0.6826	0.0920	-0.1884	0.0821	0.7169
mmu-miR-182-3p	-0.5655	-0.7946	-1.6341	-1.5891	-1.9504	-1.4845
mmu-miR-182-5p	-0.7209	-1.3863	-1.3315	-0.9585	-2.0349	-2.0733
mmu-miR-183-3p	-0.4451	-0.0902	0.6349	0.1951	0.4995	0.1902
mmu-miR-183-5p	-1.1313	-1.1965	-1.3129	-1.8381	-1.3768	-1.9854
mmu-miR-184-3p	0.0546	0.5866	0.0941	-0.3202	-1.0250	0.1348
mmu-miR-184-5p	0.7649	-0.6963	-0.3170	0.4913	-0.2171	-0.0605
mmu-miR-185-3p	-0.9055	-1.1639	-1.5479	-1.7783	-1.2698	-2.3800
mmu-miR-185-5p	-1.0650	-0.9267	-1.8757	-1.9692	-1.8378	-2.6813
mmu-miR-186-3p	-0.1610	0.0015	-0.2577	-0.0727	0.3755	-0.4188
mmu-miR-186-5p	-0.5068	-1.0414	-1.7188	-1.5130	-1.0889	-1.9149
mmu-miR-187-3p	-0.7791	-1.4820	-1.1932	-1.6835	-1.5732	-1.6555
mmu-miR-187-5p	0.0191	0.1809	-0.1552	-0.4239	0.0493	0.1202
mmu-miR-188-3p	-0.5924	-1.0599	-1.3266	-1.8545	-1.7281	-1.5320
mmu-miR-188-5p	-0.0677	-0.3183	-0.1358	-0.4050	0.0971	0.7035
mmu-miR-189-3p	-0.0414	1.0085	0.4849	-0.3763	0.0463	-0.0874
mmu-miR-189-5p	-1.1620	-1.3490	-0.8642	-1.5226	-2.3128	-2.7582
mmu-miR-190-3p	-0.7630	-0.3362	0.1636	0.5757	0.3784	-0.3638
mmu-miR-190-5p	0.2210	0.4124	-0.3519	-0.2032	0.6866	0.3552
mmu-miR-191-3p	-1.6628	-1.4773	-1.5437	-1.5052	-1.7391	-1.9208
mmu-miR-191-5p	-0.4989	0.0810	0.4684	-0.2692	-0.5274	0.3815
mmu-miR-192-3p	0.5868	0.2464	0.0226	-0.1980	-0.3572	0.0125
mmu-miR-192-5p	1.5454	0.8823	1.1686	1.8528	1.1974	1.5164
mmu-miR-193-3p	-1.2027	-1.0598	-1.8342	-0.8263	-2.2811	-1.8677
mmu-miR-193-5p	-1.1599	-1.1055	-1.9134	-1.6411	-1.9943	-2.5580
mmu-miR-194-3p	-0.8638	-1.4642	-1.4494	-1.5520	-1.8969	-1.8276
mmu-miR-194-5p	-1.4818	-0.6913	-1.2038	-0.9602	-2.7843	-2.1729
mmu-miR-195-3p	-0.1295	-0.8534	-1.2483	-1.4603	-1.4891	-1.9535
mmu-miR-195-5p	-0.8283	-0.8479	-1.0008	-2.1533	-1.1632	-2.3782
mmu-miR-196-3p	-0.0381	-0.1166	0.0985	0.0931	-0.0240	-0.1987
mmu-miR-196-5p	-1.1659	-1.2298	-1.3418	-1.4074	-2.4411	-1.6086
mmu-miR-197-3p	0.2224	-0.0871	0.0922	-0.4884	-0.2400	0.0904
mmu-miR-197-5p	-0.3171	-0.4969	0.2985	-0.0373	-0.1522	0.4476
mmu-miR-198-3p	0.2883	0.0188	-0.5212	0.2440	0.5787	0.1174
mmu-miR-198-5p	-0.4683	0.1765	0.2601	0.1826	-0.1957	0.1784
mmu-miR-199-3p	-1.3095	-1.2916	-1.9231	-1.8944	-1.4458	-1.9663
mmu-miR-199-5p	-1.0113	-1.6579	-1.5149	-1.6485	-1.7440	-1.1760
mmu-miR-200-3p	-0.5636	-1.4417	-1.1240	-2.6814	-1.8467	-1.6060
mmu-miR-200-5p	-1.0915	-1.2374	-1.6049	-1.1501	-2.2101	-1.8261
mmu-miR-201-3p	0.7441	1.4173	1.5901	1.7614	1.7883	1.6336
mmu-miR-201-5p	0.1088	-0.1681	-0.2479	0.1425	-0.0967	0.6496
mmu-miR-202-3p	-1.2141	-1.4294	-1.6244	-2.2213	-1.5367	-1.9221
mmu-miR-202-5p	-0.4638	0.1433	-0.4619	-0.1185	-0.6574	0.0666
mmu-miR-203-3p	0.5636	1.0764	1.4374	1.0827	1.9674	1.9645
mmu-miR-203-5p	-0.1260	0.3311	0.4337	-0.0193	-0.5397	-0.3913
mmu-miR-204-3p	-1.0494	-1.1331	-1.1771	-1.8119	-1.2344	-1.6698
mmu-miR-204-5p	0.6443	0.0827	-0.3694	-0.4125	-0.5142	-0.2190
mmu-miR-205-3p	-0.4879	-1.4000	-1.1695	-1.0431	-2.2016	-1.9264
mmu-miR-205-5p	0.0539	-0.0944	-0.5491	-0.0523	-0.6342	0.1400
mmu-miR-206-3p	0.2028	0.0956	0.3468	0.3547	-0.4926	-0.0438
mmu-miR-206-5p	-0.4648	0.1309	-0.4069	0.1891	-0.0669	0.3215
mmu-miR-207-3p	1.1143	1.0213	1.4464	2.2102	1.7678	2.0542
mmu-miR-207-5p	0.6339	-0.0984	0.0374	0.2637	0.0374	-0.2964
mmu-miR-208-3p	-1.9311	-1.0598	-1.3117	-1.6444	-1.8662	-2.2622
mmu-miR-208-5p	-0.7335	-0.9730	-1.4964	-1.1571	-1.5116	-2.4886
mmu-miR-209-3p	0.2553	-0.5134	-0.9012	-0.4409	0.3274	-0.2531
mmu-miR-209-5p	-1.6792	-1.1858	-1.6261	-1.6259	-1.8950	-2.2145
mmu-miR-210-3p	-0.8694	-0.6249	-1.5752	-1.8336	-1.8482	-1.2432
mmu-miR-210-5p	-0.6023	-1.6329	-1.5329	-0.7247	-1.1435	-2.0718
mmu-miR-211-3p	-0.4328	-0.1389	-0.3079	0.4094	-0.1352	0.2963
mmu-miR-211-5p	0.8997	1.2653	1.3729	1.4061	1.9454	1.9055
mmu-miR-212-3p	-0.8147	-1.9659	-1.5369	-1.8633	-1.2876	-1.6819
mmu-miR-212-5p	0.2215	0.6721	-0.4018	0.2309	-0.3416	0.7482
mmu-miR-213-3p	0.3964	1.6384	1.7108	1.5151	2.1173	2.0186
mmu-miR-213-5p	-0.9914	-1.0602	-1.0184	-1.4376	-1.7179	-2.0778
mmu-miR-214-3p	-0.9553	-0.8146	-1.4165	-1.1014	-2.0595	-2.2943
mmu-miR-214-5p	-1.0322	-0.3465	-1.6441	-1.4047	-1.4843	-1.5896
mmu-miR-215-3p	-0.8773	-0.3666	0.2335	-0.4906	-0.3574	0.1426
mmu-miR-215-5p	-0.9127	-0.9200	-1.5250	-1.7074	-0.7698	-2.1713
mmu-miR-216-3p	-1.0277	-1.5346	-1.5614	-2.0225	-1.7533	-2.0251
mmu-miR-216-5p	-0.6330	-1.3174	-1.2087	-2.1678	-1.7384	-1.9064
mmu-miR-217-3p	0.4134	0.2547	-0.0526	-0.6210	0.3800	-0.1350
mmu-miR-217-5p	-1.0760	-0.9576	-1.5413	-2.4809	-2.3443	-2.2261
mmu-miR-218-3p	-1.1143	-0.9730	-1.5529	-1.6300	-1.2430	-1.9500
mmu-miR-218-5p	0.4257	0.7872	0.0501	-0.2575	0.6900	-0.1714
mmu-miR-219-3p	-0.8730	-1.1357	-1.3792	-1.1547	-1.5768	-2.0281
mmu-miR-219-5p	-0.0761	-1.2499	-1.4282	-1.4531	-1.8994	-2.5819
mmu-miR-220-3p	-1.5012	-1.0474	-0.8143	-1.5827	-2.0534	-1.8786
mmu-miR-220-5p	-0.3365	-0.5220	-0.0620	-0.0768	0.1374	-0.2044
mmu-miR-221-3p	1.2675	1.1555	1.5275	2.4071	1.6220	2.0070
mmu-miR-221-5p	-0.0782	-0.0374	-0.3272	-0.5717	-0.1138	0.1475
mmu-miR-222-3p	-0.8249	-1.1867	-1.7234	-1.9529	-1.9948	-2.1403
mmu-miR-222-5p	-0.9351	-1.7577	-1.6494	-1.1304	-2.3188	-1.9134
mmu-miR-223-3p	-0.3925	0.4131	-0.1155	0.5807	0.7839	0.0020
mmu-miR-223-5p	-0.7449	-0.8037	-1.2736	-2.1042	-1.9014	-1.4821
mmu-miR-224-3p	-1.1997	-1.1238	-1.7289	-1.8491	-1.9368	-1.2193
mmu-miR-224-5p	-0.8709	-1.4323	-1.9275	-1.6473	-1.7205	-2.7826
mmu-miR-225-3p	-0.5254	-0.9158	-1.6181	-1.6785	-1.6704	-2.1602
mmu-miR-225-5p	0.1602	0.1443	-0.2832	-0.7658	0.1736	-0.3274
mmu-miR-226-3p	0.9396	1.3176	1.2743	1.5644	1.7574	1.2413
mmu-miR-226-5p	-0.6904	-1.3303	-1.5499	-2.0101	-1.5939	-1.9175
mmu-miR-227-3p	0.1809	-0.3607	0.0255	-0.1935	0.0998	-0.1542
mmu-miR-227-5p	0.6120	1.0528	0.8268	1.8932	2.4424	2.1150
mmu-miR-228-3p	-0.8957	-1.7866	-1.6531	-1.3846	-1.8823	-1.9419
mmu-miR-228-5p	0.1533	0.7064	-0.4404	-0.3980	-0.3322	0.4416
mmu-miR-229-3p	-1.3442	-1.0370	-1.2518	-2.1027	-2.0114	-2.7223
mmu-miR-229-5p	-1.3798	-1.0093	-0.9537	-1.3959	-1.6782	-2.4454
mmu-miR-230-3p	0.7866	0.8586	1.6879	1.3005	1.6740	1.6223
mmu-miR-230-5p	0.3993	0.5068	1.0767	0.5211	-0.1273	0.2842
mmu-miR-231-3p	-0.9910	-1.3559	-1.6431	-1.7719	-1.5830	-2.6112
mmu-miR-231-5p	-0.0116	0.0975	-0.5453	0.1249	0.1165	0.2126
mmu-miR-232-3p	-0.8760	-1.3187	-1.4729	-1.4420	-1.8104	-1.9499
mmu-miR-232-5p	-1.1198	-0.6520	-1.4994	-1.3626	-1.5934	-1.2497
mmu-miR-233-3p	1.2835	1.1940	1.6871	1.4475	1.5698	2.3311
mmu-miR-233-5p	0.3736	-0.1081	-0.2309	-0.5407	0.1350	-0.0831
mmu-miR-234-3p	0.1565	1.9819	1.5551	2.0473	2.5041	1.9102
mmu-miR-234-5p	0.1850	-0.2150	0.1197	-0.2187	0.3911	0.1217
mmu-miR-235-3p	-1.0053	-1.1576	-1.8964	-1.6554	-2.6993	-2.1604
mmu-miR-235-5p	-0.3181	0.1051	-0.4572	-0.6577	-0.2302	0.3732
mmu-miR-236-3p	-1.4461	-1.4253	-1.9662	-1.4976	-1.8300	-1.8490
mmu-miR-236-5p	0.8625	1.1742	1.8018	1.5922	1.7597	2.2341
mmu-miR-237-3p	1.0957	0.4286	1.8892	1.1812	1.7296	1.4293
mmu-miR-237-5p	-0.4932	0.0287	-0.5798	-0.0348	-0.2368	0.1032
mmu-miR-238-3p	1.3053	1.4250	1.6006	1.1037	1.1995	2.2378
mmu-miR-238-5p	0.3627	-0.2370	0.7605	0.1611	-0.4225	-0.0048
mmu-miR-239-3p	1.4081	1.1895	1.0101	1.6366	1.0843	2.1020
mmu-miR-239-5p	1.0081	0.6904	1.5286	1.5292	1.2589	1.6617
mmu-miR-240-3p	0.5750	1.3196	1.4452	1.4205	1.8033	1.7348
mmu-miR-240-5p	-0.9576	-1.2321	-1.9489	-1.1320	-1.8132	-2.5101
mmu-miR-241-3p	-0.4389	-1.7642	-1.5977	-1.1624	-1.8623	-1.8671
mmu-miR-241-5p	-1.1531	-0.9941	-1.4247	-1.1644	-1.7350	-2.0302
mmu-miR-242-3p	1.3160	1.4659	1.7185	1.3775	2.3281	1.5405
mmu-miR-242-5p	-0.8058	-0.6136	-1.3711	-2.5318	-1.8574	-1.9933
mmu-miR-243-3p	-0.7331	-0.9782	-0.8106	-1.3722	-1.7124	-1.5076
mmu-miR-243-5p	0.0261	0.4312	-0.0160	-0.2236	-0.2031	0.0712
mmu-miR-244-3p	-0.3360	-0.3493	0.1396	-0.2810	0.1178	0.1445
mmu-miR-244-5p	-1.0399	-1.3689	-1.3281	-1.1849	-1.9748	-2.3284
mmu-miR-245-3p	-1.7182	-0.7174	-1.1373	-1.9834	-1.7600	-2.1828
mmu-miR-245-5p	-0.7037	-0.2474	0.1913	-0.4356	0.3110	0.3837
mmu-miR-246-3p	-0.4535	-1.3375	-1.2104	-1.6677	-2.3450	-2.0761
mmu-miR-246-5p	-0.5392	-1.5791	-1.9145	-1.6150	-1.1930	-2.5801
mmu-miR-247-3p	-0.0156	-0.4445	-0.4888	0.3122	0.0491	-0.2450
mmu-miR-247-5p	-1.1444	-1.8739	-1.5098	-1.9602	-1.8289	-2.2147
mmu-miR-248-3p	0.5594	-0.0276	-0.2964	0.2531	0.0292	0.6647
mmu-miR-248-5p	-1.0542	-1.2797	-1.0067	-2.0099	-2.3143	-1.9241
mmu-miR-249-3p	0.7606	-0.3056	0.1462	-0.6782	-0.5093	0.2296
mmu-miR-249-5p	-1.7580	-1.1088	-0.9981	-1.4694	-1.6213	-2.1609
