miRNA	Ensembl.Gene.ID	PLR
mmu-miR-108-3p	ENSMUSG00000038387	6.03
mmu-miR-108-3p	ENSMUSG00000042157	5.54
mmu-miR-108-3p	ENSMUSG00000047980	3.65
mmu-miR-108-3p	ENSMUSG00000054808	6.98
mmu-miR-108-3p	ENSMUSG00000070382	5.72
mmu-miR-108-3p	ENSMUSG00000108728	3.66
mmu-miR-108-5p	ENSMUSG00000006056	4.84
mmu-miR-108-5p	ENSMUSG00000024510	3.71
mmu-miR-108-5p	ENSMUSG00000026520	7.82
mmu-miR-108-5p	ENSMUSG00000031465	6.63
mmu-miR-108-5p	ENSMUSG00000073876	2.88
mmu-miR-108-5p	ENSMUSG00000074797	6.21
mmu-miR-108-5p	ENSMUSG00000076441	7.21
mmu-miR-108-5p	ENSMUSG00000111273	7.80
mmu-miR-108-5p	ENSMUSG00000118789	4.35
mmu-miR-109-3p	ENSMUSG00000014602	7.94
mmu-miR-109-3p	ENSMUSG00000028672	3.25
mmu-miR-109-3p	ENSMUSG00000028965	2.65
mmu-miR-109-3p	ENSMUSG00000039748	1.69
mmu-miR-109-3p	ENSMUSG00000043485	7.79
mmu-miR-109-3p	ENSMUSG00000118795	7.99
mmu-miR-109-3p	ENSMUSG00000119719	2.36
mmu-miR-109-5p	ENSMUSG00000005320	2.68
mmu-miR-109-5p	ENSMUSG00000012405	4.59
mmu-miR-109-5p	ENSMUSG00000021468	4.74
mmu-miR-109-5p	ENSMUSG00000040265	3.12
mmu-miR-109-5p	ENSMUSG00000050763	7.96
mmu-miR-109-5p	ENSMUSG00000050796	4.60
mmu-miR-109-5p	ENSMUSG00000064120	6.91
mmu-miR-109-5p	ENSMUSG00000074916	6.97
mmu-miR-110-3p	ENSMUSG00000060303	7.54
mmu-miR-110-3p	ENSMUSG00000065622	1.67
mmu-miR-110-3p	ENSMUSG00000075161	7.06
mmu-miR-110-3p	ENSMUSG00000094362	6.86
mmu-miR-110-5p	ENSMUSG00000040663	6.80
mmu-miR-110-5p	ENSMUSG00000044359	5.82
mmu-miR-110-5p	ENSMUSG00000052430	5.27
mmu-miR-110-5p	ENSMUSG00000079120	1.82
mmu-miR-110-5p	ENSMUSG00000119762	5.63
mmu-miR-111-3p	ENSMUSG00000024853	3.31
mmu-miR-111-3p	ENSMUSG00000042670	4.49
mmu-miR-111-3p	ENSMUSG00000058200	2.09
mmu-miR-111-3p	ENSMUSG00000059087	6.29
mmu-miR-111-3p	ENSMUSG00000071552	7.35
mmu-miR-111-3p	ENSMUSG00000116378	2.37
mmu-miR-111-5p	ENSMUSG00000030729	3.76
mmu-miR-111-5p	ENSMUSG00000032018	5.62
mmu-miR-111-5p	ENSMUSG00000040562	7.12
mmu-miR-111-5p	ENSMUSG00000040627	6.44
mmu-miR-111-5p	ENSMUSG00000043089	1.67
mmu-miR-111-5p	ENSMUSG00000058267	5.74
mmu-miR-111-5p	ENSMUSG00000094692	3.72
mmu-miR-112-3p	ENSMUSG00000003809	2.27
mmu-miR-112-3p	ENSMUSG00000022551	6.42
mmu-miR-112-3p	ENSMUSG00000023868	3.63
mmu-miR-112-3p	ENSMUSG00000027133	3.11
mmu-miR-112-3p	ENSMUSG00000036655	5.93
mmu-miR-112-3p	ENSMUSG00000047407	7.47
mmu-miR-112-3p	ENSMUSG00000050788	6.69
mmu-miR-112-3p	ENSMUSG00000051706	5.44
mmu-miR-112-3p	ENSMUSG00000053483	3.72
mmu-miR-112-3p	ENSMUSG00000112027	5.62
mmu-miR-112-3p	ENSMUSG00000118885	6.83
mmu-miR-112-5p	ENSMUSG00000014776	1.92
mmu-miR-112-5p	ENSMUSG00000016253	3.34
mmu-miR-112-5p	ENSMUSG00000017119	2.06
mmu-miR-112-5p	ENSMUSG00000022822	3.39
mmu-miR-112-5p	ENSMUSG00000027339	7.35
mmu-miR-112-5p	ENSMUSG00000032572	3.96
mmu-miR-112-5p	ENSMUSG00000033526	4.69
mmu-miR-112-5p	ENSMUSG00000034570	1.54
mmu-miR-112-5p	ENSMUSG00000040028	6.51
mmu-miR-112-5p	ENSMUSG00000062328	2.68
mmu-miR-112-5p	ENSMUSG00000087875	2.56
mmu-miR-113-3p	ENSMUSG00000003235	3.00
mmu-miR-113-3p	ENSMUSG00000019935	6.04
mmu-miR-113-3p	ENSMUSG00000023067	7.28
mmu-miR-113-3p	ENSMUSG00000030166	4.45
mmu-miR-113-3p	ENSMUSG00000045678	6.44
mmu-miR-113-3p	ENSMUSG00000113198	4.28
mmu-miR-113-5p	ENSMUSG00000002524	2.77
mmu-miR-113-5p	ENSMUSG00000012282	2.09
mmu-miR-113-5p	ENSMUSG00000019254	4.54
mmu-miR-113-5p	ENSMUSG00000020108	6.21
mmu-miR-113-5p	ENSMUSG00000023939	4.66
mmu-miR-113-5p	ENSMUSG00000026421	1.53
mmu-miR-113-5p	ENSMUSG00000056880	3.49
mmu-miR-113-5p	ENSMUSG00000065513	7.11
mmu-miR-113-5p	ENSMUSG00000111356	2.70
mmu-miR-114-3p	ENSMUSG00000002767	2.72
mmu-miR-114-3p	ENSMUSG00000020900	5.39
mmu-miR-114-3p	ENSMUSG00000021789	7.72
mmu-miR-114-3p	ENSMUSG00000028965	3.05
mmu-miR-114-3p	ENSMUSG00000050788	6.74
mmu-miR-114-3p	ENSMUSG00000075192	7.73
mmu-miR-114-3p	ENSMUSG00000089019	7.88
mmu-miR-114-3p	ENSMUSG00000096679	2.71
mmu-miR-114-3p	ENSMUSG00000118809	6.73
mmu-miR-114-3p	ENSMUSG00000118885	2.49
mmu-miR-114-5p	ENSMUSG00000022672	6.30
mmu-miR-114-5p	ENSMUSG00000026439	2.54
mmu-miR-114-5p	ENSMUSG00000027384	2.27
mmu-miR-114-5p	ENSMUSG00000029647	4.10
mmu-miR-114-5p	ENSMUSG00000036120	5.20
mmu-miR-114-5p	ENSMUSG00000065442	6.91
mmu-miR-114-5p	ENSMUSG00000076441	7.76
mmu-miR-114-5p	ENSMUSG00000077347	6.29
mmu-miR-114-5p	ENSMUSG00000079426	4.31
mmu-miR-114-5p	ENSMUSG00000095388	6.62
mmu-miR-114-5p	ENSMUSG00000109631	3.80
mmu-miR-114-5p	ENSMUSG00000118919	6.29
mmu-miR-115-3p	ENSMUSG00000026602	4.38
mmu-miR-115-3p	ENSMUSG00000056493	4.90
mmu-miR-115-3p	ENSMUSG00000059279	2.28
mmu-miR-115-3p	ENSMUSG00000059456	6.49
mmu-miR-115-3p	ENSMUSG00000065516	5.62
mmu-miR-115-3p	ENSMUSG00000068615	6.49
mmu-miR-115-3p	ENSMUSG00000069020	2.60
mmu-miR-115-5p	ENSMUSG00000015340	4.42
mmu-miR-115-5p	ENSMUSG00000026648	4.46
mmu-miR-115-5p	ENSMUSG00000028678	5.60
mmu-miR-115-5p	ENSMUSG00000029777	1.90
mmu-miR-115-5p	ENSMUSG00000031383	5.72
mmu-miR-116-3p	ENSMUSG00000020673	3.99
mmu-miR-116-3p	ENSMUSG00000020828	2.21
mmu-miR-116-3p	ENSMUSG00000023034	2.04
mmu-miR-116-3p	ENSMUSG00000027433	7.34
mmu-miR-116-3p	ENSMUSG00000037772	3.89
mmu-miR-116-3p	ENSMUSG00000048096	5.46
mmu-miR-116-3p	ENSMUSG00000049456	6.00
mmu-miR-116-3p	ENSMUSG00000067220	2.56
mmu-miR-116-3p	ENSMUSG00000118798	3.49
mmu-miR-116-5p	ENSMUSG00000026615	4.32
mmu-miR-116-5p	ENSMUSG00000054808	2.94
mmu-miR-116-5p	ENSMUSG00000070460	2.38
mmu-miR-116-5p	ENSMUSG00000077518	7.60
mmu-miR-117-3p	ENSMUSG00000026121	1.83
mmu-miR-117-3p	ENSMUSG00000027293	7.77
mmu-miR-117-3p	ENSMUSG00000037851	5.71
mmu-miR-117-3p	ENSMUSG00000055373	7.49
mmu-miR-117-3p	ENSMUSG00000118918	6.29
mmu-miR-117-5p	ENSMUSG00000017376	2.99
mmu-miR-117-5p	ENSMUSG00000018796	6.08
mmu-miR-117-5p	ENSMUSG00000024587	6.23
mmu-miR-117-5p	ENSMUSG00000025817	1.68
mmu-miR-117-5p	ENSMUSG00000046434	6.10
mmu-miR-117-5p	ENSMUSG00000051234	6.89
mmu-miR-117-5p	ENSMUSG00000055373	7.88
mmu-miR-117-5p	ENSMUSG00000055723	2.25
mmu-miR-117-5p	ENSMUSG00000068815	6.12
mmu-miR-117-5p	ENSMUSG00000073557	6.60
mmu-miR-117-5p	ENSMUSG00000077148	2.21
mmu-miR-118-3p	ENSMUSG00000020287	4.82
mmu-miR-118-3p	ENSMUSG00000020840	6.32
mmu-miR-118-3p	ENSMUSG00000024830	1.61
mmu-miR-118-3p	ENSMUSG00000026259	3.84
mmu-miR-118-3p	ENSMUSG00000028081	2.82
mmu-miR-118-3p	ENSMUSG00000028107	7.34
mmu-miR-118-3p	ENSMUSG00000029763	2.59
mmu-miR-118-3p	ENSMUSG00000031858	7.41
mmu-miR-118-3p	ENSMUSG00000035351	1.75
mmu-miR-118-3p	ENSMUSG00000040650	7.19
mmu-miR-118-3p	ENSMUSG00000064762	7.41
mmu-miR-118-3p	ENSMUSG00000084456	5.46
mmu-miR-118-5p	ENSMUSG00000000811	7.18
mmu-miR-118-5p	ENSMUSG00000010066	4.57
mmu-miR-118-5p	ENSMUSG00000024683	3.82
mmu-miR-118-5p	ENSMUSG00000027120	3.71
mmu-miR-118-5p	ENSMUSG00000027985	3.22
mmu-miR-118-5p	ENSMUSG00000031200	5.83
mmu-miR-118-5p	ENSMUSG00000036825	7.37
mmu-miR-118-5p	ENSMUSG00000042678	7.21
mmu-miR-118-5p	ENSMUSG00000058301	3.21
mmu-miR-118-5p	ENSMUSG00000066150	4.39
mmu-miR-118-5p	ENSMUSG00000102037	6.30
mmu-miR-119-3p	ENSMUSG00000017652	7.90
mmu-miR-119-3p	ENSMUSG00000022814	3.22
mmu-miR-119-3p	ENSMUSG00000023723	7.47
mmu-miR-119-3p	ENSMUSG00000024830	4.91
mmu-miR-119-3p	ENSMUSG00000040620	3.60
mmu-miR-119-3p	ENSMUSG00000073411	4.94
mmu-miR-119-3p	ENSMUSG00000096427	4.77
mmu-miR-119-3p	ENSMUSG00000119399	2.92
mmu-miR-119-5p	ENSMUSG00000022414	5.59
mmu-miR-119-5p	ENSMUSG00000028614	6.70
mmu-miR-119-5p	ENSMUSG00000029268	2.74
mmu-miR-119-5p	ENSMUSG00000034997	5.35
mmu-miR-119-5p	ENSMUSG00000052133	6.50
mmu-miR-119-5p	ENSMUSG00000076062	2.98
mmu-miR-120-3p	ENSMUSG00000000275	1.78
mmu-miR-120-3p	ENSMUSG00000023938	3.11
mmu-miR-120-3p	ENSMUSG00000024399	2.96
mmu-miR-120-3p	ENSMUSG00000026276	3.94
mmu-miR-120-3p	ENSMUSG00000029777	7.63
mmu-miR-120-3p	ENSMUSG00000042707	4.62
mmu-miR-120-3p	ENSMUSG00000060938	5.27
mmu-miR-120-3p	ENSMUSG00000064830	2.33
mmu-miR-120-3p	ENSMUSG00002076380	1.80
mmu-miR-120-5p	ENSMUSG00000005102	5.97
mmu-miR-120-5p	ENSMUSG00000007033	6.47
mmu-miR-120-5p	ENSMUSG00000022453	2.05
mmu-miR-120-5p	ENSMUSG00000026425	6.21
mmu-miR-120-5p	ENSMUSG00000027009	6.24
mmu-miR-120-5p	ENSMUSG00000028292	7.57
mmu-miR-120-5p	ENSMUSG00000065458	7.84
mmu-miR-120-5p	ENSMUSG00000066714	6.10
mmu-miR-120-5p	ENSMUSG00000070983	5.38
mmu-miR-120-5p	ENSMUSG00000078355	3.06
mmu-miR-121-3p	ENSMUSG00000018830	7.22
mmu-miR-121-3p	ENSMUSG00000021771	1.79
mmu-miR-121-3p	ENSMUSG00000026202	4.85
mmu-miR-121-3p	ENSMUSG00000031133	5.51
mmu-miR-121-3p	ENSMUSG00000037580	3.77
mmu-miR-121-3p	ENSMUSG00000052525	5.13
mmu-miR-121-3p	ENSMUSG00000074946	6.89
mmu-miR-121-3p	ENSMUSG00000095377	3.69
mmu-miR-121-3p	ENSMUSG00000095901	7.90
mmu-miR-121-3p	ENSMUSG00000121801	4.28
mmu-miR-121-5p	ENSMUSG00000006777	4.95
mmu-miR-121-5p	ENSMUSG00000024608	6.79
mmu-miR-121-5p	ENSMUSG00000030842	2.06
mmu-miR-121-5p	ENSMUSG00000035373	6.65
mmu-miR-121-5p	ENSMUSG00000041653	2.59
mmu-miR-121-5p	ENSMUSG00000051650	7.83
mmu-miR-121-5p	ENSMUSG00000051671	6.73
mmu-miR-121-5p	ENSMUSG00000054666	6.69
mmu-miR-121-5p	ENSMUSG00000118727	6.68
mmu-miR-121-5p	ENSMUSG00000119789	4.66
mmu-miR-122-3p	ENSMUSG00000025508	4.89
mmu-miR-122-3p	ENSMUSG00000026750	4.72
mmu-miR-122-3p	ENSMUSG00000029338	4.04
mmu-miR-122-3p	ENSMUSG00000047155	1.87
mmu-miR-122-3p	ENSMUSG00000059504	2.25
mmu-miR-122-3p	ENSMUSG00000062382	4.41
mmu-miR-122-3p	ENSMUSG00000063480	6.34
mmu-miR-122-3p	ENSMUSG00000078937	4.48
mmu-miR-122-5p	ENSMUSG00000017057	5.43
mmu-miR-122-5p	ENSMUSG00000023915	5.02
mmu-miR-122-5p	ENSMUSG00000024436	1.51
mmu-miR-122-5p	ENSMUSG00000035373	3.79
mmu-miR-122-5p	ENSMUSG00000038416	2.22
mmu-miR-122-5p	ENSMUSG00000052430	6.36
mmu-miR-122-5p	ENSMUSG00000063089	6.61
mmu-miR-122-5p	ENSMUSG00000073931	7.92
mmu-miR-122-5p	ENSMUSG00000078920	5.42
mmu-miR-122-5p	ENSMUSG00000084453	6.26
mmu-miR-122-5p	ENSMUSG00000093884	3.97
mmu-miR-123-3p	ENSMUSG00000022596	4.29
mmu-miR-123-3p	ENSMUSG00000023120	4.10
mmu-miR-123-3p	ENSMUSG00000026254	4.68
mmu-miR-123-3p	ENSMUSG00000028399	5.28
mmu-miR-123-3p	ENSMUSG00000029337	3.03
mmu-miR-123-3p	ENSMUSG00000030110	4.10
mmu-miR-123-3p	ENSMUSG00000030302	2.88
mmu-miR-123-3p	ENSMUSG00000036172	3.83
mmu-miR-123-3p	ENSMUSG00000070236	6.32
mmu-miR-123-5p	ENSMUSG00000000340	6.75
mmu-miR-123-5p	ENSMUSG00000025357	6.91
mmu-miR-123-5p	ENSMUSG00000028496	2.43
mmu-miR-123-5p	ENSMUSG00000028869	5.19
mmu-miR-123-5p	ENSMUSG00000044337	4.09
mmu-miR-123-5p	ENSMUSG00000044444	5.77
mmu-miR-123-5p	ENSMUSG00000046756	7.53
mmu-miR-123-5p	ENSMUSG00000054702	3.93
mmu-miR-123-5p	ENSMUSG00000065518	4.41
mmu-miR-123-5p	ENSMUSG00000066242	6.96
mmu-miR-123-5p	ENSMUSG00000074952	4.31
mmu-miR-124-3p	ENSMUSG00000021364	5.27
mmu-miR-124-3p	ENSMUSG00000022483	2.06
mmu-miR-124-3p	ENSMUSG00000038567	4.53
mmu-miR-124-3p	ENSMUSG00000118789	2.41
mmu-miR-124-5p	ENSMUSG00000014245	2.47
mmu-miR-124-5p	ENSMUSG00000025880	7.27
mmu-miR-124-5p	ENSMUSG00000027357	3.90
mmu-miR-124-5p	ENSMUSG00000027411	6.67
mmu-miR-124-5p	ENSMUSG00000033688	4.90
mmu-miR-124-5p	ENSMUSG00000056605	1.79
mmu-miR-124-5p	ENSMUSG00000078945	2.93
mmu-miR-124-5p	ENSMUSG00000079263	2.58
mmu-miR-124-5p	ENSMUSG00000119755	7.63
mmu-miR-125-3p	ENSMUSG00000019982	4.47
mmu-miR-125-3p	ENSMUSG00000020477	4.98
mmu-miR-125-3p	ENSMUSG00000026254	4.31
mmu-miR-125-3p	ENSMUSG00000026385	7.00
mmu-miR-125-3p	ENSMUSG00000034932	7.10
mmu-miR-125-3p	ENSMUSG00000041565	3.04
mmu-miR-125-3p	ENSMUSG00000045780	6.99
mmu-miR-125-3p	ENSMUSG00000051592	3.78
mmu-miR-125-3p	ENSMUSG00000052798	6.57
mmu-miR-125-3p	ENSMUSG00000065185	4.05
mmu-miR-125-3p	ENSMUSG00000088001	4.81
mmu-miR-125-5p	ENSMUSG00000010025	3.15
mmu-miR-125-5p	ENSMUSG00000014856	4.52
mmu-miR-125-5p	ENSMUSG00000021824	5.88
mmu-miR-125-5p	ENSMUSG00000023070	5.21
mmu-miR-125-5p	ENSMUSG00000023078	3.33
mmu-miR-125-5p	ENSMUSG00000033774	3.58
mmu-miR-125-5p	ENSMUSG00000036333	4.55
mmu-miR-125-5p	ENSMUSG00000046167	3.57
mmu-miR-125-5p	ENSMUSG00000053268	2.98
mmu-miR-125-5p	ENSMUSG00000055022	4.71
mmu-miR-125-5p	ENSMUSG00000078798	3.37
mmu-miR-126-3p	ENSMUSG00000014361	4.75
mmu-miR-126-3p	ENSMUSG00000020123	7.33
mmu-miR-126-3p	ENSMUSG00000021806	6.39
mmu-miR-126-3p	ENSMUSG00000037771	5.35
mmu-miR-126-3p	ENSMUSG00000059741	2.84
mmu-miR-126-5p	ENSMUSG00000010066	4.01
mmu-miR-126-5p	ENSMUSG00000026520	7.76
mmu-miR-126-5p	ENSMUSG00000028541	4.68
mmu-miR-126-5p	ENSMUSG00000029755	4.26
mmu-miR-126-5p	ENSMUSG00000064964	6.95
mmu-miR-127-3p	ENSMUSG00000020849	6.74
mmu-miR-127-3p	ENSMUSG00000021311	3.84
mmu-miR-127-3p	ENSMUSG00000022149	5.46
mmu-miR-127-3p	ENSMUSG00000023921	4.78
mmu-miR-127-3p	ENSMUSG00000039840	7.68
mmu-miR-127-3p	ENSMUSG00000045128	6.24
mmu-miR-127-3p	ENSMUSG00000060261	6.34
mmu-miR-127-3p	ENSMUSG00000062128	6.42
mmu-miR-127-3p	ENSMUSG00000089057	2.96
mmu-miR-127-5p	ENSMUSG00000020256	6.05
mmu-miR-127-5p	ENSMUSG00000021809	6.03
mmu-miR-127-5p	ENSMUSG00000031217	4.94
mmu-miR-127-5p	ENSMUSG00000034801	2.11
mmu-miR-127-5p	ENSMUSG00000036427	3.64
mmu-miR-127-5p	ENSMUSG00000038023	7.93
mmu-miR-127-5p	ENSMUSG00000044814	2.00
mmu-miR-127-5p	ENSMUSG00000058881	2.52
mmu-miR-127-5p	ENSMUSG00000064964	1.71
mmu-miR-127-5p	ENSMUSG00000068806	2.27
mmu-miR-127-5p	ENSMUSG00000075270	6.66
mmu-miR-128-3p	ENSMUSG00000008763	5.23
mmu-miR-128-3p	ENSMUSG00000020256	4.18
mmu-miR-128-3p	ENSMUSG00000021662	2.49
mmu-miR-128-3p	ENSMUSG00000029614	4.05
mmu-miR-128-3p	ENSMUSG00000030611	5.98
mmu-miR-128-3p	ENSMUSG00000032528	5.89
mmu-miR-128-3p	ENSMUSG00000036459	7.27
mmu-miR-128-3p	ENSMUSG00000040415	6.54
mmu-miR-128-3p	ENSMUSG00000041849	7.12
mmu-miR-128-3p	ENSMUSG00000049133	7.83
mmu-miR-128-5p	ENSMUSG00000026121	5.88
mmu-miR-128-5p	ENSMUSG00000027273	3.96
mmu-miR-128-5p	ENSMUSG00000052435	6.55
mmu-miR-128-5p	ENSMUSG00000054146	2.90
mmu-miR-128-5p	ENSMUSG00000058692	2.68
mmu-miR-128-5p	ENSMUSG00000060261	2.32
mmu-miR-128-5p	ENSMUSG00000065903	7.40
mmu-miR-128-5p	ENSMUSG00000082882	4.63
mmu-miR-128-5p	ENSMUSG00000095928	2.24
mmu-miR-129-3p	ENSMUSG00000000600	6.32
mmu-miR-129-3p	ENSMUSG00000001445	6.18
mmu-miR-129-3p	ENSMUSG00000038146	6.87
