RegulatorID	Batch_1_Ctr_0H	Batch_2_Ctr_0H	Batch_4_Ctr_0H	Batch_1_Ctr_2H	Batch_3_Ctr_2H	Batch_4_Ctr_2H	Batch_1_Ctr_6H	Batch_3_Ctr_6H	Batch_4_Ctr_6H	Batch_1_Ctr_12H	Batch_3_Ctr_12H	Batch_4_Ctr_12H	Batch_1_Ctr_18H	Batch_3_Ctr_18H	Batch_4_Ctr_18H	Batch_1_Ctr_24H	Batch_3_Ctr_24H	Batch_4_Ctr_24H	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
Atf2	11.828735	11.817131	11.963731	11.716366	11.871850	11.261805	11.913216	11.846035	11.380220	11.766927	11.672978	11.511270	11.801710	11.508666	11.591009	11.868646	11.842383	12.148998	11.849975	11.623990	11.686553	11.554038	11.580889	11.396605	11.740694	11.529493	11.389313	11.511472	11.675688	11.551073	11.392034	11.067910	11.259796	11.105252	11.039127	11.141431
Atf3	9.057392	9.350697	7.646860	8.391976	9.166081	9.787887	8.048038	9.111601	9.279773	8.958675	9.737095	8.781125	9.969164	10.186627	9.249823	10.851784	10.242715	10.359006	9.958854	10.245256	8.448853	8.276556	9.543371	9.462174	7.412896	7.576662	9.024550	8.382194	7.170798	8.330207	6.607750	6.397192	5.342503	6.962532	6.208775	4.871569
Atf4	16.780186	16.640223	16.771933	16.942873	16.922189	16.160724	16.876595	16.620639	16.272928	17.269826	17.225600	16.709662	17.379842	17.148793	16.480887	17.464281	17.294711	17.318423	16.856993	16.722610	16.884605	16.951897	16.682869	16.217923	17.066797	16.788058	16.432789	17.021236	17.022310	16.537575	16.959337	16.815583	16.417671	16.664497	16.666303	16.436297
Atf6	13.514222	13.367973	13.407272	13.620599	13.735014	13.206422	13.428221	13.432045	12.917627	13.638933	13.623904	13.207283	13.620941	13.434982	13.017919	13.590789	13.765494	13.426762	13.893738	13.785973	13.744928	13.725227	13.831306	13.162149	14.039845	13.764103	13.601450	14.101745	14.122281	13.986928	14.624484	14.453038	14.456133	14.666915	14.250808	14.375602
Atm	11.957278	11.871887	12.488563	12.048134	11.960511	11.520168	11.123292	11.554017	11.257229	12.355515	12.057044	11.679580	12.269269	12.070975	11.486510	12.120077	12.020720	11.760107	12.067908	11.984179	12.345384	11.667686	11.495696	10.860681	12.071459	11.421078	11.563124	11.882127	11.987653	11.787338	12.280323	12.304283	12.082319	12.240614	11.954632	11.901213
Bach1	11.326973	11.078204	11.600732	11.522292	11.237208	10.633061	10.188536	10.587953	9.550716	11.361125	11.039858	10.609525	11.229569	10.739600	10.071387	10.904472	10.997550	10.828105	11.321055	11.151565	11.581194	11.153892	10.876128	10.180134	11.563438	10.731708	10.762919	11.201068	11.112481	11.058136	12.580967	12.392857	12.492327	12.872482	12.412048	12.537685
Batf2	4.683767	5.925291	5.682677	5.230393	5.318076	5.606671	6.856128	6.096625	6.148011	5.140561	4.757545	6.260019	5.968561	4.327322	5.111318	5.062732	4.919596	6.437680	5.913855	6.028317	6.769467	3.604743	4.904476	5.719525	4.154326	3.711981	4.062548	5.738000	5.316153	7.350236	5.906493	5.468401	5.989178	5.600010	5.399374	5.501808
Bcl6	9.049079	8.859406	8.348284	8.276143	8.465056	7.671102	6.929291	7.985378	7.226041	8.965105	7.311872	7.440563	8.621755	8.137560	6.813860	8.527100	7.950265	8.152499	10.870855	10.672831	10.721369	10.345858	10.391745	9.845595	10.791838	10.406875	10.384804	11.346945	11.145856	11.725773	12.337695	11.873901	12.362539	12.562869	12.498503	12.646752
Bhlhe40	12.820852	12.966739	12.997068	12.135189	13.258058	12.847059	12.296997	12.917883	13.081492	12.296126	12.598676	12.276289	11.768780	12.649671	12.421073	12.008723	12.880420	12.664880	12.788944	12.730069	12.269932	12.078452	12.612759	11.794735	12.369866	11.984232	12.048700	11.852288	11.966066	12.058302	10.808646	10.832062	10.978535	10.859889	11.033062	10.986584
Bmi1	12.390916	12.127487	12.438263	12.366356	12.180963	11.619996	12.071077	12.041247	11.957426	12.289703	12.208659	11.830428	12.306263	12.200442	11.809708	12.250253	12.361200	11.980614	12.695999	12.721151	12.679060	12.441128	12.274024	11.718668	12.311758	12.194953	11.955732	12.087195	12.115687	11.900906	12.626974	12.750720	12.732379	12.436022	12.659925	12.584605
Brca1	12.919939	12.824696	13.039318	13.001424	12.866270	12.634171	12.440228	12.660600	12.499930	13.040835	12.995910	12.673376	13.006052	13.017367	12.510689	12.823859	12.728902	12.246468	13.108308	13.187233	13.261511	12.885585	12.655003	12.610820	12.857116	12.523059	12.550139	12.810540	12.665341	12.768842	12.546093	12.554599	12.545202	12.201301	11.921317	11.996126
Brca2	12.042950	12.118134	12.050030	12.042436	12.044264	12.077871	12.015056	12.250305	12.238395	12.309961	12.249462	12.322870	12.477232	12.439836	12.006481	12.279629	12.259814	11.997228	12.032575	12.424941	12.203487	12.235439	12.126541	12.008641	12.037063	11.968229	12.089423	11.999378	12.128208	11.874905	11.957113	11.894215	11.603626	11.516171	11.498210	11.447641
Brip1	12.341964	12.095339	12.437438	12.019996	11.926997	12.363969	11.551741	12.042650	11.982919	12.425924	12.262566	12.052596	12.470146	12.428904	12.125418	12.226950	12.051801	11.688362	12.113644	12.386240	12.377316	12.371313	11.890529	12.128963	12.442532	12.137933	12.536939	12.120322	12.103841	12.093294	12.004409	12.168868	12.046898	11.582468	11.197159	11.189995
Btg2	5.563334	4.887089	5.648401	4.727299	5.259556	5.591688	4.953684	3.755883	3.920663	5.350460	4.250808	4.784859	5.831951	5.322581	5.093130	6.439076	5.090854	5.210874	6.357087	6.390686	6.917971	5.680079	5.801592	5.862992	5.605975	5.628737	6.672361	7.378334	7.817082	8.113212	8.172318	8.297794	9.199039	9.193536	9.009948	9.103828
Cbx6	13.767252	13.832880	13.828951	13.486152	13.430451	13.738658	13.446103	13.552048	13.858735	13.566747	13.641345	13.852303	13.425110	13.531072	13.805822	13.523243	13.553404	13.646372	13.758456	13.885628	13.801528	13.855003	13.937420	14.026962	13.788320	13.939981	14.004618	13.639104	13.674485	13.781588	13.587433	13.746817	13.667961	13.608744	13.769331	13.647723
Ccnd1	10.652649	10.711330	11.058724	10.810827	10.759856	10.296211	10.891920	10.545975	10.039619	11.003357	10.568577	10.384448	10.756922	10.544647	10.725402	10.800921	10.803975	10.837822	12.865145	12.528427	12.724331	10.986258	11.335656	10.602178	9.270213	8.858434	8.586954	7.483345	8.254702	8.106581	6.938050	7.433423	6.970086	6.654246	6.454394	6.941971
Cebpd	10.521729	10.479789	10.543850	11.190399	10.694904	10.423711	10.916584	10.448504	10.259168	10.416155	10.786067	10.352226	10.733258	10.429757	9.983141	10.953941	10.734446	10.132782	11.732535	11.552954	11.436679	11.410607	11.306280	10.953678	11.811693	11.336262	11.371102	11.658640	11.157540	10.960566	11.771259	11.361737	11.121040	12.163934	11.600975	11.757134
Cebpz	13.163940	13.173508	13.440140	13.476265	13.216721	13.321162	13.202118	13.219531	13.204446	13.409250	13.297624	13.363976	13.342079	13.529376	13.218852	13.260813	13.266349	12.981089	13.123373	13.151219	13.357102	13.090441	12.898218	12.819672	12.732005	12.596070	12.764693	12.661703	12.720301	12.547687	12.030767	12.314072	12.276172	11.879165	12.229207	12.208859
Chd4	15.863287	15.782769	15.699605	15.636097	15.691790	15.916927	15.550821	15.801032	15.957975	15.972328	15.925351	16.028368	15.970162	16.182963	15.918713	15.844906	15.884252	15.706250	15.494813	15.749990	15.629734	15.806857	15.606541	15.740060	15.645398	15.670658	15.721514	15.642035	15.500677	15.351819	15.370949	15.452852	15.532631	15.518159	15.568810	15.642788
Chd7	12.479007	12.468257	12.440683	12.338230	12.432552	12.952342	12.632211	12.609613	12.871813	12.450495	12.572547	12.696960	12.505893	12.740927	12.691628	12.540087	12.394453	12.457639	11.758256	11.992533	11.922218	12.321335	12.096358	12.674175	11.961200	12.128308	12.443849	12.621211	12.546232	12.196601	12.918096	12.845764	12.645490	13.161813	13.047039	13.177243
Chd8	14.251294	14.253925	14.248811	14.310463	14.294239	14.519466	14.837397	14.502820	14.744418	14.285737	14.354461	14.519588	14.236973	14.260480	14.518719	14.328056	14.328916	14.664575	14.086504	14.000477	14.227843	14.081500	14.294991	14.582008	14.112534	14.221400	14.266210	14.417531	14.499276	14.660824	14.139041	14.164782	14.204202	14.242841	14.443545	14.243269
Cited2	14.934626	14.793164	14.877802	15.052316	15.148475	14.396455	14.823963	15.144356	14.315345	14.866819	15.249557	14.629082	14.913140	14.954875	14.756833	14.931938	15.266428	15.087301	14.582001	14.395424	14.215365	14.962624	14.782499	14.405527	15.824997	15.547446	15.159578	16.738494	17.028671	16.495070	17.848938	17.581976	17.193010	17.919540	17.571198	17.881404
Clock	10.431917	10.376053	10.450787	10.422517	10.605648	9.949380	10.516855	10.214179	9.600633	10.704368	10.632220	9.975284	10.692487	10.413433	10.391662	10.697871	10.793603	10.874485	10.513544	10.422467	10.805678	10.284499	10.334204	10.175818	10.600066	10.362338	10.908759	10.294194	10.711009	10.215704	10.805907	10.706576	10.677241	10.815492	10.869775	10.792473
Cnot3	14.564744	14.537913	14.526209	14.477550	14.573875	14.532737	14.613386	14.546152	14.526221	14.413997	14.474189	14.521101	14.442527	14.392291	14.487658	14.524144	14.495136	14.582772	14.463163	14.482260	14.554998	14.581121	14.580811	14.802094	14.544373	14.598875	14.283669	14.695719	14.817092	14.928926	14.524332	14.561611	14.601352	14.309383	14.568345	14.478459
Cnot7	12.372797	12.433021	12.351944	12.406531	12.347826	12.459022	12.558201	12.416982	12.484622	12.304596	12.394688	12.630042	12.287953	12.292874	12.216767	12.369924	12.463964	12.536285	12.332977	12.350580	12.350437	12.411676	12.540574	12.479931	12.432366	12.576247	12.353601	12.218968	12.572099	12.293301	12.193026	12.091665	11.905439	11.832950	12.159460	12.021484
Creb1	13.429364	13.272452	13.451154	13.129737	13.229601	12.728398	13.133708	13.114951	12.899554	13.305506	13.204153	12.898495	13.218264	12.981078	12.919460	13.187290	13.234372	13.150612	13.646727	13.454505	13.417865	13.400019	13.317449	12.828474	13.494168	13.213836	13.110867	13.450317	13.530042	13.393563	13.750951	13.688954	13.647112	13.793203	13.695794	13.754648
Creb3	10.455959	10.461944	10.531460	10.321111	10.266955	10.844326	10.814612	10.449901	10.802234	10.423900	10.322122	10.596702	10.431661	10.291778	10.793327	10.740261	10.417398	10.581115	10.336762	10.324607	10.401561	10.744518	10.820351	11.068463	10.992880	11.138517	11.277624	11.007786	11.100936	11.306294	11.201996	11.254141	11.503034	11.477299	11.472081	11.439280
Creb3l1	7.697934	7.560282	7.680030	7.036006	7.412558	7.134453	8.378840	8.117938	8.211561	7.444869	8.273013	7.346926	7.345602	7.682151	7.170437	7.130473	8.270717	7.794042	7.054788	6.788030	6.735862	7.180022	7.468712	7.272503	7.928591	7.672353	7.800628	8.787966	8.408875	8.944577	7.136610	7.290428	6.815316	7.408259	7.015240	7.089898
Crebbp	13.845441	13.850135	13.928603	13.466885	13.890471	13.563333	13.752892	13.706817	13.408992	13.931168	13.763107	13.616951	13.833066	13.552795	13.416190	13.887638	13.760145	14.037768	13.967933	13.710471	14.116782	13.664679	13.896909	13.699830	14.031994	13.552076	13.590533	14.218906	14.698558	14.771221	14.634630	14.511886	14.503201	14.844223	14.861392	14.648665
Crem	8.372590	8.786638	8.214026	8.142824	8.602920	8.737844	9.211310	8.669097	9.016674	8.221935	8.322261	8.182692	8.536590	8.670182	9.532154	8.969639	8.724210	9.513293	9.012529	8.808375	8.445268	8.997981	8.981270	9.739535	9.215664	9.349098	9.322847	10.229290	9.879404	9.466048	10.161706	10.171615	10.242881	10.375720	10.468116	10.453370
Crtc1	12.464702	12.534604	12.740189	12.819417	12.735809	12.581321	12.908028	12.583437	12.776056	12.802005	12.665786	12.590886	12.752289	12.497929	12.604165	12.626241	12.701042	12.871338	12.177052	12.051314	12.485764	12.187935	12.261827	12.148815	12.390708	12.065731	12.032133	12.579290	12.544349	12.870509	12.486120	12.558261	12.379894	12.569483	12.421321	12.534457
Csf1	8.088540	8.177705	8.633626	7.949183	7.919181	7.147911	7.768834	8.041027	7.722060	7.848598	7.674947	6.795106	7.752334	7.433985	5.237841	7.917794	7.728618	7.386490	5.708272	5.441183	6.589700	6.118266	6.304786	6.386994	5.799733	5.023412	6.329693	6.225278	5.337107	7.072961	6.136864	5.891126	6.661557	7.237329	7.324791	6.516270
Ctcf	14.837302	14.760390	14.979292	14.757379	14.726166	14.374297	14.291152	14.603190	14.203102	14.897094	14.741910	14.581625	14.818166	14.753507	14.299518	14.681741	14.610433	14.584864	14.782758	14.768289	14.826230	14.848802	14.697000	14.559967	15.089432	14.957823	14.771593	15.108116	15.123907	14.904094	15.230424	15.407922	15.380938	15.385863	15.259316	15.363197
Ctnnb1	14.857940	14.633501	14.729871	14.818058	14.685098	13.999990	14.225519	14.388150	13.831258	14.795229	14.641063	14.160165	14.592737	14.497657	14.112634	14.516634	14.623133	14.263707	15.336731	15.092887	14.887323	14.809636	14.743656	14.045775	14.846153	14.599239	14.246609	14.631414	14.388751	14.181685	14.857259	14.816292	14.920627	14.859102	14.489502	14.809154
Cux1	13.913873	13.812626	14.036317	13.948201	13.940940	13.726253	13.828134	13.867545	13.735037	13.712165	13.899265	13.737075	13.849161	13.705065	13.857684	13.751418	13.725358	13.717051	13.371533	13.419320	13.486451	13.568858	13.393856	13.595512	14.022825	13.872293	13.784283	14.250760	14.356839	14.348394	14.109865	14.133610	14.064237	13.917284	13.871756	13.920072
Dand5	9.441728	9.614839	9.586609	9.396555	9.438804	9.406031	8.166856	9.432059	9.587637	9.411898	9.335899	10.211196	9.647226	9.651637	9.877496	9.539280	9.703264	10.456554	9.822505	9.547264	9.694792	9.472524	9.336980	9.219498	9.623534	10.009015	9.963051	10.196959	9.688571	10.483163	10.417924	9.955606	10.181105	10.299865	10.638078	10.583240
Daxx	12.728387	12.615453	12.785427	12.807310	12.778733	12.505676	12.409192	12.561726	12.458652	12.613837	12.754547	12.518634	12.785194	12.752340	12.460425	12.557106	12.668058	12.404821	12.516778	12.722843	12.616954	12.867566	12.750800	12.487639	12.895364	12.859027	12.842734	12.927949	12.781009	12.653436	13.095194	13.082429	13.214700	13.077419	13.050087	13.090911
Dbp	11.026259	10.827168	10.947258	10.783929	10.837366	10.824643	10.949894	10.758306	10.891491	10.941094	10.918053	10.822470	11.016490	11.040072	10.683344	10.971139	10.864811	10.758196	10.879771	11.122736	10.965915	11.519414	11.273782	11.258219	11.473437	11.254107	11.412478	11.416809	11.384110	10.571270	11.936885	11.701850	11.798003	12.096958	12.146441	12.011752
Ddit3	11.995196	11.911057	11.571183	12.106813	12.418763	12.794210	12.602146	12.182831	12.692738	11.693935	12.409283	11.939200	12.943580	12.932774	12.570536	12.842592	12.595911	12.225452	11.485173	11.946598	11.574231	11.974981	11.831678	12.038186	11.206901	11.618761	11.562966	12.143439	11.992849	11.468215	11.980819	11.920738	11.436836	11.934668	12.153091	11.623123
Ddx54	14.906850	14.890287	14.936074	14.932090	14.996165	14.926340	14.715296	14.881667	14.829469	15.001562	14.890742	14.831022	14.950886	14.981669	14.796287	14.914041	14.870972	14.711554	14.922497	14.984409	14.905925	15.014027	14.909023	14.816243	14.813213	14.860886	14.962552	14.703244	14.606284	14.477516	14.489571	14.565264	14.632795	14.577165	14.431577	14.584314
Deaf1	13.413279	13.481073	13.353653	13.447098	13.510173	13.781941	13.783906	13.641147	13.760903	13.421022	13.462449	13.606944	13.381231	13.406751	13.624311	13.378113	13.362591	13.718848	13.263899	13.350944	13.484264	13.470046	13.710749	13.881045	13.359930	13.339657	13.251869	12.998416	13.466793	13.146397	12.831916	12.812972	12.668415	12.357964	12.664474	12.495425
Dlx2	8.642888	8.816887	8.950149	8.346507	8.751272	7.947961	8.200843	8.134074	8.213341	8.443437	8.499337	7.858468	8.271522	7.846260	7.710140	8.350875	8.262793	8.500785	7.963002	7.346438	7.993364	7.295365	7.015245	6.648942	6.865601	6.162276	7.120078	7.007204	6.720115	7.919201	8.070038	7.706276	8.278061	8.605876	8.138686	8.530380
Dmap1	12.362310	12.450981	12.398583	12.364964	12.381908	12.792359	12.481461	12.602659	12.750196	12.267579	12.472302	12.626621	12.456578	12.634548	12.865863	12.396193	12.341107	12.434344	12.226978	12.370860	12.346033	12.580135	12.400084	12.881888	12.423574	12.661921	12.834863	12.449904	12.389243	12.129292	12.656004	12.600552	12.655123	12.751816	12.784558	12.792224
Dmtf1	11.415027	11.446913	11.101749	11.195802	11.148993	11.576440	11.647308	11.300672	11.510720	11.244755	11.390087	11.555858	11.210851	11.260313	11.537427	11.283712	11.342621	11.279215	10.765180	11.046626	10.843192	11.978594	11.963346	12.344686	11.547230	11.824230	11.845222	11.458355	11.574955	11.534203	11.397647	11.360023	11.329572	11.436718	11.663991	11.472511
Dnajc2	12.842218	12.771539	12.936872	13.422237	13.050980	13.672302	12.598855	13.236085	13.486297	12.689908	13.217040	13.490892	13.130484	13.853817	13.752996	12.847330	13.125791	13.075398	12.832506	13.280781	12.805314	13.426246	12.886285	13.535247	12.417029	12.841723	13.081300	12.275544	12.131530	11.378007	11.633443	12.056826	12.071406	11.723884	12.017109	12.164209
Dnmt1	16.343986	16.266445	16.431397	16.377992	16.203134	16.060678	15.826441	16.051889	15.903063	16.486586	16.242241	16.141363	16.411697	16.341918	15.993884	16.246668	16.153456	15.961122	16.382233	16.546454	16.565985	16.452920	16.332324	16.200833	16.651920	16.482242	16.459740	16.447730	16.450167	16.237517	16.422214	16.551682	16.445260	15.888033	15.940610	15.855062
Dnmt3a	13.040955	12.954362	13.056931	13.092176	13.058928	12.669604	12.715633	12.904689	12.509965	13.008818	12.979156	12.750758	13.106476	13.003376	12.729151	12.923980	12.978055	12.832073	13.142460	13.155836	13.041992	13.108921	12.870200	12.599745	12.974246	12.818674	12.968521	13.005561	12.819422	12.671997	13.199460	13.220256	13.413463	13.399192	13.256789	13.415617
E2f1	12.779203	12.838713	12.852845	12.806692	12.803587	13.018342	12.724408	12.842777	12.894358	12.787388	12.751267	12.924366	12.797732	12.749794	12.800880	12.854208	12.807936	13.140415	12.581274	12.668246	12.986841	12.945911	12.837250	13.136852	12.993332	13.082875	13.345000	13.158187	13.223825	13.264525	12.782877	12.970282	12.928148	12.167733	12.230524	12.316608
E2f2	13.970037	13.986396	13.855614	14.009443	13.932148	13.892871	14.000185	13.712125	13.658474	14.046389	13.904576	13.879000	14.116914	13.857709	14.091028	14.020032	13.874513	13.943026	13.966620	13.955141	14.003605	14.552967	14.432138	14.542743	14.787600	14.607716	14.397938	14.868958	14.873614	14.822737	14.995736	14.936169	14.760772	14.389805	14.189910	14.274367
E2f3	12.115136	12.112312	12.487095	11.986254	12.140297	11.538841	11.685546	11.876754	11.546633	12.354141	12.024883	11.744672	12.187743	12.014035	11.374222	11.970419	11.956669	12.024863	12.054379	12.259030	12.485781	11.968629	11.767378	11.316750	12.093075	11.752834	11.696042	11.471447	11.757336	11.014452	11.394797	11.639703	11.544004	10.847546	11.220376	11.109228
E2f4	15.933793	16.038776	16.123329	15.803848	16.073264	15.631259	15.848541	15.793077	15.718210	16.056036	15.969936	15.920429	15.918945	15.636325	15.828607	15.790051	16.016283	16.114135	15.896092	15.863333	16.128734	15.837418	15.909636	15.511542	15.924833	15.568870	15.418259	15.548268	15.992248	15.937461	15.432202	15.334086	15.219453	14.859713	15.215882	15.049929
E2f8	13.719483	13.671420	13.906312	13.820511	13.828696	13.283855	13.406695	13.389688	12.802839	13.776248	13.872743	13.400545	13.853319	13.754296	13.114595	13.732833	13.895796	13.510876	13.391355	13.515748	13.722410	13.652100	13.486180	13.021386	13.969167	13.703725	13.136922	13.644711	14.157361	13.549414	13.435354	13.737290	13.300059	12.671330	12.868443	12.386529
E4f1	12.521759	12.469201	12.498464	12.362541	12.365735	12.948305	12.370784	12.568842	12.846759	12.219759	12.237623	12.660738	12.164848	12.332294	12.627883	12.484144	12.251202	12.880544	12.428613	12.480930	12.511753	12.576371	12.702400	13.183606	12.479085	12.902443	13.038187	12.693527	12.845147	12.624858	12.700160	12.802323	12.961481	12.804485	13.058726	13.145173
Ebf1	15.731838	15.603143	15.234290	15.450837	15.472475	15.871469	15.829572	15.728389	16.071109	15.319580	15.308108	15.572079	15.263489	15.269532	15.729326	15.512720	15.331304	15.737442	15.258604	15.298949	15.028109	15.817656	15.990951	16.517303	16.064582	16.382945	16.365120	15.538123	15.573739	15.707404	15.975317	15.898782	16.044022	16.348011	16.870748	16.390725
Efna2	4.331041	5.455923	4.445851	4.466594	5.509451	5.719354	6.721441	5.766535	6.267789	3.966131	4.166269	4.925060	4.775642	4.778285	5.560201	4.743241	5.106005	5.163684	5.084024	4.580151	4.457128	5.163307	5.290557	6.458030	4.545981	4.570150	5.927230	6.197622	5.669193	7.409323	5.408107	5.227399	5.379757	5.816105	4.873785	5.885909
Egr1	11.566551	10.737916	11.845885	12.043080	11.696126	10.525538	12.141966	11.720162	10.474942	12.436432	12.953957	11.479512	13.988897	13.034564	10.822313	14.219667	13.243980	12.533891	9.697228	10.082805	10.393685	11.675066	10.495712	9.373405	11.895578	11.212065	9.743762	11.089905	12.008962	9.107969	11.344155	11.388229	10.016978	11.601311	12.046177	10.276533
Egr2	5.786169	5.008888	6.110846	6.406832	5.528598	4.845180	7.101628	6.217125	5.660831	6.348186	7.391094	6.267276	8.251643	7.638259	7.088495	8.452879	7.694570	7.323330	5.870839	5.332207	6.475439	6.554269	5.116059	5.854309	6.957164	6.580923	5.337428	8.402337	8.599793	7.703439	7.021963	7.779861	7.287025	7.368147	7.485274	7.236615
Egr3	7.602827	8.029106	7.656595	8.307765	8.956150	7.656355	7.953408	7.908667	6.257337	8.106411	7.526834	7.901799	8.444941	7.814742	6.280356	7.123653	8.056494	7.709479	6.829674	7.885521	8.376001	5.851194	7.135362	5.609603	6.965638	6.874289	5.389270	5.574795	6.718015	6.061444	5.414045	5.902436	5.771675	6.746010	6.923701	6.707431
Ehmt1	12.962562	13.184464	13.109677	13.130474	13.091509	13.058980	13.435763	13.082636	13.088488	13.099828	13.144686	13.059184	12.995724	12.971710	13.285936	13.113853	13.007490	13.002654	13.279891	12.982678	13.044036	12.767167	12.987926	13.093598	12.800138	12.793153	13.083115	12.941586	12.794214	12.977624	12.781945	12.696534	12.756324	12.824951	12.729201	12.665182
Ehmt2	15.028341	15.082800	14.865577	15.052355	14.944992	15.322461	15.135533	15.123178	15.341948	14.913791	14.957232	15.217637	14.909549	14.963880	15.263108	15.060912	14.995672	15.180195	14.920159	14.975839	14.774539	15.113742	15.294080	15.588257	15.227671	15.451389	15.478243	15.502326	15.369441	15.512741	15.430369	15.385142	15.458022	15.377051	15.356322	15.494146
