GeneID	Batch_1_Ctr_0H	Batch_2_Ctr_0H	Batch_4_Ctr_0H	Batch_1_Ctr_2H	Batch_3_Ctr_2H	Batch_4_Ctr_2H	Batch_1_Ctr_6H	Batch_3_Ctr_6H	Batch_4_Ctr_6H	Batch_1_Ctr_12H	Batch_3_Ctr_12H	Batch_4_Ctr_12H	Batch_1_Ctr_18H	Batch_3_Ctr_18H	Batch_4_Ctr_18H	Batch_1_Ctr_24H	Batch_3_Ctr_24H	Batch_4_Ctr_24H	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
ENSMUSG00000001558	6.320912	5.597175	6.732581	5.965146	5.535149	6.616037	6.090804	6.642044	7.770623	6.532450	6.129651	5.736739	6.239221	6.555035	7.265295	6.837453	6.145726	7.443270	6.913319	6.799292	7.044538	6.183297	6.349395	8.119993	7.449762	7.277645	7.679212	7.197327	7.131642	8.380838	6.300175	6.829528	6.456914	6.710506	5.262329	6.798473
ENSMUSG00000001666	14.184160	14.256194	13.913023	14.096736	14.181618	14.237800	14.324988	14.338042	14.447021	14.013887	14.163164	14.142447	14.361537	14.000245	14.297094	14.263161	14.270618	14.420820	14.243849	14.227992	14.316623	14.284555	14.283555	14.312188	14.445906	14.293093	14.036272	14.683591	14.669169	15.176998	15.015361	14.760274	14.749567	14.763653	14.815636	14.861040
ENSMUSG00000001741	11.061736	10.891722	10.788923	10.748298	10.697893	10.567597	11.278044	10.725845	10.676454	10.893909	10.612589	10.472772	10.769621	10.522748	10.616399	10.797386	10.614988	10.388212	11.768431	11.602335	11.351562	11.019864	11.056319	10.978843	11.807460	11.677624	12.278283	13.229382	12.743042	12.802865	13.991841	13.773934	14.267527	14.756149	14.362726	14.646695
ENSMUSG00000001767	11.382627	11.230637	11.634178	11.789665	11.525475	11.680012	11.042522	11.207926	11.392571	11.484771	11.508463	11.592278	11.794054	11.654760	11.220366	11.441133	11.449077	10.861018	11.227824	11.436842	11.499585	11.438667	11.328505	10.866191	11.769626	11.414845	11.303510	11.595847	11.466728	11.973628	12.048210	11.852669	11.948771	12.205259	11.869416	11.904300
ENSMUSG00000001855	14.224766	14.176068	14.512082	14.273723	14.313167	13.970694	14.462300	14.191204	14.002692	14.498903	14.326054	14.157943	14.384555	14.179317	14.000029	14.387830	14.336793	14.480234	14.178163	13.992692	14.404622	14.013969	14.022527	13.790017	14.053935	13.736448	13.486204	14.006805	14.108917	13.914924	13.951308	13.987149	13.837587	13.914430	13.756719	13.696063
ENSMUSG00000002109	11.070574	11.199897	10.963817	10.797505	11.086943	11.716694	11.249210	11.451361	11.937916	10.970376	11.036789	11.341636	10.986147	11.096134	11.522150	11.196131	11.053920	11.590247	11.212220	11.119723	10.980858	11.308694	11.546761	12.019858	11.543780	11.800760	12.321588	12.129647	12.306498	12.952046	11.727648	11.436533	11.260684	11.181346	11.306125	11.068234
ENSMUSG00000002458	12.861933	12.876618	12.950151	12.912533	12.801583	13.059679	12.837686	12.926365	13.137935	12.774756	12.807102	12.918179	12.732749	12.970471	13.151128	12.899663	12.809079	12.708339	12.887942	12.954157	12.898746	13.003558	12.951736	13.272076	13.067964	13.218889	13.154273	13.173372	13.141432	13.372250	12.875885	13.020968	13.137629	12.824200	13.018640	13.033284
ENSMUSG00000002496	13.916302	13.904806	14.043259	13.732816	13.891306	13.794533	14.008904	13.855871	13.748472	14.008815	13.891248	13.782325	13.994548	13.885224	13.658895	13.970996	13.851363	13.739563	13.710745	13.685654	13.964821	13.709733	13.674177	13.690730	13.748580	13.489172	13.729598	13.827488	13.950609	14.016879	13.978732	13.872302	13.963990	14.064459	13.843208	13.834290
ENSMUSG00000002797	8.587300	8.953729	9.078714	9.003141	8.979746	10.034559	9.482664	9.130229	9.499143	8.828637	9.125697	9.520752	9.020896	9.019225	10.236838	9.016332	9.181352	10.095388	8.059747	7.939427	8.191748	8.842305	9.037491	9.681223	8.934940	9.663231	10.311165	9.472128	9.773439	9.801852	7.591169	8.506941	8.274574	7.983246	8.722639	7.937912
ENSMUSG00000002825	14.054980	14.301437	14.194960	14.409817	14.162834	14.262231	14.464566	14.260594	14.128411	14.131731	14.174581	14.301844	14.207577	14.154475	14.124274	14.254922	14.326268	14.040608	13.852395	13.797112	14.092753	13.769818	13.972537	14.013858	13.447561	13.713640	13.817748	13.533394	13.529871	13.834653	12.928669	13.203379	13.121029	12.741164	13.082099	12.941602
ENSMUSG00000003541	11.963882	11.880211	11.772513	11.993371	12.216030	11.801434	12.360514	12.403061	12.126896	11.792736	12.230543	11.847122	11.875616	12.131786	12.283337	11.924051	12.257464	12.549712	11.631477	11.419103	11.150438	10.083993	9.797828	9.992455	9.994530	10.219852	10.794579	9.409382	9.056249	8.235153	9.944169	9.334472	9.630936	9.101789	9.683231	8.873695
ENSMUSG00000003549	11.594410	11.717813	11.795406	11.737170	11.798977	12.068628	11.707562	11.898108	12.174752	11.694555	11.835661	11.970721	11.755439	12.084234	12.320095	11.814564	11.760826	11.927860	11.900987	11.946110	11.749833	12.245213	12.092144	12.565334	12.017548	12.106920	12.545465	11.960105	11.819531	11.609313	11.936209	11.811240	11.792135	11.985470	12.035375	12.039990
ENSMUSG00000003731	12.948704	12.915820	13.077643	12.959562	12.940203	12.317965	12.750531	12.586024	12.300191	13.024230	12.848464	12.577666	12.900582	12.611531	12.517543	12.774678	12.777466	13.067137	13.069254	12.804189	13.051634	12.641287	12.712541	12.270201	12.652702	12.491913	11.811181	12.444660	12.444397	12.349349	12.773999	12.785222	12.696571	12.957945	12.684509	12.738677
ENSMUSG00000003809	10.774112	10.877675	11.037242	11.017785	10.832773	11.089129	11.184194	10.985859	11.296540	10.949307	10.992761	11.157218	11.087867	11.097688	11.171942	11.118700	11.043717	10.957421	10.598620	10.711683	10.871347	10.840905	10.692396	11.008016	10.818672	10.841840	11.105758	10.983428	10.945120	11.029088	11.385573	11.304654	11.243613	11.655171	11.655729	11.697529
ENSMUSG00000003934	8.674642	9.019795	9.034706	8.018965	8.916750	8.396502	9.297938	8.875336	8.590932	8.619574	8.730615	8.899772	8.324551	8.383016	8.093123	8.669892	8.042151	9.013391	8.473427	8.495781	8.955078	7.820567	7.869246	8.792966	7.921770	7.604858	7.192837	7.740544	8.082579	7.945222	7.900095	8.021558	8.422860	7.880966	7.425483	8.307736
ENSMUSG00000004040	11.958948	11.905451	11.638946	11.807464	11.857238	11.375814	11.807920	11.723168	11.315391	11.897156	11.806270	11.437863	11.788921	11.727220	11.660387	11.946040	11.885799	11.901081	11.907388	11.737820	11.543391	11.623301	11.724924	11.438848	12.366480	12.293990	12.620808	12.783216	12.704430	12.628778	13.168502	13.116986	13.155168	13.397318	13.184383	13.418442
ENSMUSG00000004270	13.131084	13.248891	12.722257	12.946279	13.069572	12.854676	13.192484	13.021885	12.968501	13.075177	13.094899	12.799866	12.810956	12.864894	13.108833	13.088123	13.296779	13.182842	13.214406	13.009143	12.811889	13.101651	13.367320	13.129623	13.540566	13.490817	13.286724	13.121275	13.203815	13.547214	13.002253	12.951115	12.757977	12.941612	12.972001	12.924562
ENSMUSG00000004934	12.365172	12.456725	12.573629	12.133980	12.487041	12.920297	12.218377	12.348808	12.414067	12.188385	12.395580	12.541765	12.208005	12.231919	12.661778	12.259661	12.321866	12.723612	12.344019	12.381123	12.465091	12.782107	12.762455	13.210603	12.714530	12.678814	12.742716	12.841804	12.937733	12.987149	12.773752	12.835566	12.820439	12.922955	12.742077	12.899012
ENSMUSG00000005371	12.797094	12.784302	12.604051	12.693982	12.763820	12.990774	12.701156	12.817031	12.920235	12.670114	12.664524	12.838067	12.645348	12.731131	12.511937	12.758359	12.775342	12.586209	12.886512	13.063364	12.799378	13.331613	13.454683	13.563315	12.988508	13.064616	13.069967	13.171486	13.202486	13.267154	13.729555	13.660334	13.798696	13.874318	14.020497	14.089663
ENSMUSG00000005575	14.997674	15.000425	14.974059	14.895297	15.072242	15.183586	15.009329	15.092667	15.322580	15.076840	14.997579	15.208900	15.090658	15.216549	15.261991	14.920282	15.172678	15.120320	14.942812	15.258378	15.138876	15.367266	15.306432	15.135823	15.344737	15.073092	15.044235	14.954301	15.285489	14.920771	14.693829	14.591717	14.489157	14.343153	14.586594	14.491406
ENSMUSG00000005609	14.268668	14.089320	14.183492	14.363939	14.378134	14.068372	13.886931	14.258291	14.268623	14.401955	14.446014	14.190933	14.301422	14.500975	14.114528	14.217336	14.369966	14.009231	14.330436	14.483550	14.272236	14.330604	14.169660	13.907616	14.158229	14.120860	13.920227	13.546664	13.329039	13.192954	13.385564	13.520037	13.669850	13.438230	13.674696	13.647157
ENSMUSG00000005802	10.566794	10.550014	10.304354	10.797831	10.643206	10.302416	10.236814	10.440929	10.336326	10.901182	10.688170	10.436847	10.726901	10.617219	10.474331	10.917362	10.735167	10.513179	11.175201	10.996628	10.853317	11.106381	10.894265	10.967409	11.127701	10.902621	10.909415	11.054638	10.585383	10.896880	10.978413	10.562376	10.678236	10.840052	10.685425	10.685425
ENSMUSG00000005881	13.511094	13.509505	13.341218	13.483337	13.480909	13.649304	13.710084	13.566969	13.614032	13.363952	13.402159	13.522696	13.361027	13.457503	13.604903	13.585260	13.448546	13.351729	13.477768	13.336773	13.261207	13.541544	13.681026	13.924373	13.756358	13.955954	14.088828	13.995200	13.821840	14.127703	13.867594	13.809355	14.035445	14.079214	13.928159	14.126025
ENSMUSG00000006019	11.739570	11.726956	11.725646	11.762272	11.708155	11.933821	11.608240	11.765323	12.118966	11.623937	11.674233	11.845890	11.620522	11.649123	12.042164	11.707422	11.661645	11.977643	11.622206	11.529160	11.633982	11.629461	11.552625	11.942877	11.645090	11.714907	12.114686	11.990074	11.757940	12.268402	12.130463	11.882001	12.133352	11.962649	12.022555	12.046218
ENSMUSG00000006313	8.615480	8.216939	8.418393	8.997570	8.792768	8.726426	10.173347	9.039388	8.859671	8.673860	8.121149	7.399481	9.299740	8.444510	7.822634	8.795320	8.425280	7.604881	7.643649	8.074023	9.014409	8.877249	9.380634	9.254650	8.464042	8.464441	8.288222	7.769841	9.052424	9.594329	8.425628	8.776842	8.606630	7.596202	8.032227	7.969742
ENSMUSG00000006333	17.142945	17.149385	16.990858	17.180326	17.052755	17.605056	17.153669	17.303829	17.729617	17.026731	17.087492	17.459862	17.015767	17.252832	17.619272	17.111645	17.085062	17.273240	17.115139	17.057213	16.704968	17.096619	17.367857	17.698556	16.974617	17.313320	17.581778	17.231984	16.917802	17.084833	17.092459	17.039180	17.395856	17.170049	17.287333	17.321232
ENSMUSG00000006398	14.983245	14.970232	15.042922	15.130666	14.984074	15.043305	14.949215	14.976710	14.978486	15.016910	14.970617	15.074963	15.014436	14.912976	15.011706	14.969833	14.911295	14.856750	15.111503	15.023606	14.873149	15.020556	15.149975	15.102356	15.158334	15.255239	15.426989	15.160053	14.872025	15.125480	15.058857	15.013489	15.262940	14.722116	14.439469	14.691106
ENSMUSG00000006412	12.451391	12.679359	12.669809	12.246641	12.566660	12.985571	12.446287	12.784278	13.186065	12.268600	12.684419	12.846793	12.640095	13.076364	12.755891	12.524971	12.627190	12.632885	12.192810	12.632256	12.710431	12.928233	12.507124	13.206473	12.109436	12.448285	12.814658	12.064996	12.039835	11.788996	11.710315	11.870827	11.868859	11.595882	11.842214	11.923680
ENSMUSG00000007030	5.424345	5.696630	5.032316	5.939251	5.883203	5.276178	4.430824	5.411822	5.691127	5.420475	5.289813	4.546641	5.547703	5.928595	6.838460	4.211845	5.639531	4.283944	5.658932	5.666553	6.086914	5.621362	5.031278	5.446010	5.613362	4.959954	6.223498	5.896509	5.021112	7.389832	5.117946	5.083819	5.149392	6.083438	5.923087	6.253172
ENSMUSG00000007097	5.970201	6.427016	6.240601	5.744953	5.993876	6.973480	7.129955	6.361229	6.783940	5.246353	6.636445	6.116837	5.723369	6.221377	7.953323	5.983495	6.227746	4.655965	5.069416	5.282772	5.312222	5.078758	4.548916	6.704988	5.418572	5.256720	7.572199	5.613242	5.395335	7.733509	5.807329	5.570556	6.504038	6.516448	5.718048	6.262564
ENSMUSG00000007603	13.983249	13.961994	14.058727	13.949072	13.996945	13.903846	13.958687	13.901113	13.659217	13.992208	13.955766	13.955912	14.028697	13.960320	13.712834	13.996514	13.921195	13.898759	13.779912	13.809898	13.905506	13.885746	13.830330	13.775592	13.940180	13.988863	13.711222	13.914050	14.005239	13.670970	13.862915	14.020283	14.064483	14.160830	14.100947	14.097343
ENSMUSG00000007777	10.389054	10.593997	10.367123	10.611949	10.214972	10.587485	9.927603	10.216714	10.253104	10.499923	10.422468	10.867751	10.477414	10.421428	11.031253	9.996884	10.440633	9.658742	10.588149	10.336440	10.302273	10.446131	10.424718	10.091613	10.491835	10.440738	10.928655	10.582352	10.207898	11.150581	11.111290	10.692925	10.824565	10.750716	10.484004	10.926842
ENSMUSG00000008318	12.809980	12.911989	12.957623	12.744337	13.033536	12.671016	12.641007	12.981063	12.775778	12.780154	13.168009	12.899902	12.809202	13.109889	13.072305	12.836520	13.173375	13.103472	12.065239	11.999994	12.035670	11.886327	11.915630	11.529296	11.875566	12.077471	11.921397	11.363704	11.769492	11.319351	10.854701	10.995173	10.692906	10.772432	11.100180	10.819609
ENSMUSG00000008348	13.768953	13.591419	14.243208	14.250293	13.588340	13.519049	13.307246	13.860138	12.966429	14.065445	14.603718	13.669838	14.548062	14.619881	13.938116	14.279814	14.383769	13.727838	13.726254	13.958241	14.136895	14.479426	13.673248	13.848115	14.577237	14.332539	14.363262	14.739920	14.886624	13.704845	15.262059	15.822142	15.257795	15.810877	15.515639	15.646502
ENSMUSG00000008763	12.857141	12.818898	12.934337	12.971486	12.933386	12.662980	12.923481	12.693300	12.741608	12.903816	13.003607	12.744275	12.823180	12.755106	12.808692	12.780347	12.967981	12.837885	12.957373	12.775044	12.959969	12.673167	12.795687	12.377789	12.888647	12.824558	12.787985	12.412116	12.378478	12.601956	11.824141	11.965052	11.898486	11.896107	11.791305	11.874621
ENSMUSG00000008859	12.441495	12.525980	12.361178	12.421849	12.517021	12.606743	12.893135	12.547285	12.769140	12.335756	12.451553	12.538869	12.354603	12.433744	12.730102	12.390391	12.555749	12.573216	12.469679	12.458757	12.400206	12.573230	12.557699	12.792890	12.613036	12.907971	13.000817	13.053976	13.067336	13.081237	12.881230	13.028360	13.112493	13.084331	13.151720	13.440108
ENSMUSG00000009772	8.406743	8.639173	8.865501	9.018585	8.651768	8.129404	9.282462	8.582962	8.401667	9.144113	9.053556	8.853820	9.136641	8.912506	9.296867	8.604759	8.640647	9.166874	8.808142	8.276361	8.386417	8.234021	8.586022	7.694666	8.712323	8.404162	8.390647	8.848470	8.887339	8.207412	8.731711	8.924243	8.296593	8.517016	8.731775	8.262594
ENSMUSG00000010044	6.754170	7.390287	7.141866	5.811736	6.688429	6.544160	7.521984	6.865205	7.095435	6.514602	5.715868	5.236499	6.775316	5.743501	5.344309	7.000446	6.361031	7.519880	6.372769	6.493420	5.417056	5.429761	6.947899	6.001326	6.640309	5.170212	8.427553	8.323699	7.349177	7.803397	10.220868	9.624145	10.104648	10.701444	9.879552	9.700076
ENSMUSG00000010609	9.845448	9.565117	9.479975	9.860278	9.699120	9.638389	9.840968	10.056265	9.535710	9.692786	9.683540	9.346579	9.633459	9.446348	9.923544	9.475617	9.703005	10.049482	10.063517	9.937714	9.952347	10.213521	10.172191	10.546004	10.234022	10.320332	10.600281	10.346550	10.312750	10.567338	10.368576	10.431681	10.824837	10.827229	10.758942	10.821761
ENSMUSG00000012017	7.158552	6.748093	7.060427	7.615807	6.772615	5.851049	8.397599	7.030921	7.105070	7.155519	7.905748	6.963747	7.656703	7.475441	8.260111	6.984450	7.521537	8.228463	6.610828	5.976994	6.829654	7.219544	7.255162	6.669077	6.802987	5.874776	5.711211	5.706487	6.562207	5.408056	7.448181	7.155762	6.574255	7.634178	7.596523	7.767204
ENSMUSG00000012609	11.194684	11.140658	11.190778	11.080765	11.124364	10.596644	11.200086	10.918697	10.825355	11.105721	11.432432	11.182850	11.285786	11.131373	11.412909	11.177748	11.397950	11.204490	10.846941	10.950929	10.802056	10.760433	10.685678	10.644350	10.919308	10.757085	10.540623	11.084362	11.069434	11.042707	10.880929	10.725657	10.755381	10.709774	10.609939	10.737097
ENSMUSG00000014074	12.311810	12.388515	12.258044	12.652365	12.429575	12.890502	12.575064	12.654152	12.875504	12.136390	12.429583	12.659868	12.328301	12.554346	13.077123	12.266780	12.416024	12.336182	12.559011	12.451170	12.284441	11.844036	11.924660	12.397144	11.635739	11.906307	11.941712	11.409776	11.570062	11.927781	11.251072	11.393123	11.559520	10.863642	11.470196	11.009435
ENSMUSG00000014232	11.793643	11.606514	11.825713	11.993140	11.818864	11.683443	11.821846	11.769393	11.937609	11.836009	12.089484	11.783409	11.710947	11.768953	12.079255	12.015787	11.917690	12.115643	12.082556	11.753894	12.019622	11.808094	12.017897	12.009914	11.810883	11.699218	11.546311	11.546015	11.651841	12.084723	11.453768	11.505043	11.385672	11.466707	11.569375	11.421134
ENSMUSG00000014470	11.437486	11.342577	11.427895	11.609754	11.529688	11.710705	11.290862	11.391256	11.582389	11.584976	11.137473	11.334766	11.455761	11.400167	11.492889	11.418300	11.253233	11.438039	11.619408	11.836842	11.627251	11.821215	11.857767	11.629179	11.618775	11.590819	11.059280	11.597308	11.669654	11.310068	12.047481	12.017245	11.924161	12.150084	12.215408	12.157330
ENSMUSG00000014867	14.443736	14.496851	14.355413	14.488989	14.423002	14.260714	14.368522	14.300031	14.229793	14.493394	14.432250	14.363128	14.469730	14.297452	14.447694	14.490773	14.576291	14.520371	14.704584	14.579557	14.567113	14.610550	14.758217	14.378409	14.772782	14.683392	14.405336	14.694595	14.713323	14.915628	14.709581	14.563017	14.474590	14.518080	14.543902	14.316180
ENSMUSG00000014873	12.718693	12.794243	12.990620	12.704910	12.927783	12.963151	13.025304	12.855870	13.084433	12.616202	12.663237	12.719038	12.703353	12.865019	12.914795	12.719322	12.786775	12.756303	12.374843	12.370450	12.612438	12.547417	12.473358	12.643143	12.020730	12.010063	12.125545	11.887552	11.819399	12.075620	11.370122	11.508698	11.635642	11.408957	11.678376	11.505470
ENSMUSG00000015095	13.175630	13.125660	13.110956	13.347597	13.359046	13.399163	13.416429	13.280743	13.367270	13.241212	13.199152	13.230251	13.195944	13.102644	13.347839	13.320590	13.238755	13.399973	13.302601	13.270982	13.297722	13.394886	13.472923	13.583577	13.538171	13.731955	13.781857	13.640347	13.650525	13.691244	13.820432	13.750609	13.677566	13.933576	13.683784	13.743142
ENSMUSG00000015126	13.271154	13.232459	13.490808	13.474585	13.637440	13.716367	13.440253	13.556762	13.492655	13.240268	13.462294	13.424953	13.396295	13.586133	13.316468	13.519178	13.428244	13.397622	13.729478	13.743651	13.875254	13.855161	13.660288	13.936404	13.499190	13.723188	13.672437	13.406552	13.421849	13.352178	13.425358	13.627678	13.663613	13.790062	13.522980	13.732062
ENSMUSG00000015659	9.651292	9.415312	10.138976	9.627482	9.734538	8.723327	9.286580	9.252225	8.691643	10.029656	9.425769	8.678159	9.668034	9.360697	8.253342	9.232129	9.264186	9.203313	9.635864	9.512626	9.790063	9.678247	9.479757	8.906412	9.709994	9.127087	9.876129	9.320572	9.070565	8.384516	9.746397	9.589823	9.856930	9.907888	9.458921	9.986789
ENSMUSG00000015714	13.941318	13.981483	14.034824	13.644009	13.988988	13.574678	13.912388	14.024377	13.772723	13.992341	13.834528	13.697308	14.217017	14.123939	13.469401	13.835760	14.136901	13.691675	13.975990	14.229986	14.351890	14.202054	13.985474	13.491631	13.913124	13.513765	13.477600	13.581557	13.895837	13.659810	13.573794	13.568687	13.553953	13.373750	13.413208	13.510105
ENSMUSG00000016028	11.159379	11.234483	11.855604	11.134590	11.485823	10.755938	10.733991	11.099469	10.677489	11.410667	11.525910	10.904144	11.252545	11.523747	10.895529	11.300311	11.326019	11.210571	9.989944	9.916573	10.344702	9.790432	9.418526	9.592594	9.534899	9.090859	9.049826	9.079533	9.117456	8.508067	8.602355	8.774940	8.636295	8.767525	9.076746	8.486212
ENSMUSG00000016308	15.337246	15.355927	14.997017	15.533388	15.562249	15.729933	15.827793	15.467714	15.974907	15.063426	15.321562	15.623620	14.943192	14.808639	16.010623	15.301433	15.269206	16.011043	15.235217	14.723960	14.872761	14.662404	15.218445	15.539050	14.814065	15.206240	14.634444	15.069373	14.895900	15.728129	14.970623	14.604904	14.940120	14.429141	14.932011	14.476207
ENSMUSG00000016477	12.115136	12.112312	12.487095	11.986254	12.140297	11.538841	11.685546	11.876754	11.546633	12.354141	12.024883	11.744672	12.187743	12.014035	11.374222	11.970419	11.956669	12.024863	12.054379	12.259030	12.485781	11.968629	11.767378	11.316750	12.093075	11.752834	11.696042	11.471447	11.757336	11.014452	11.394797	11.639703	11.544004	10.847546	11.220376	11.109228
ENSMUSG00000016554	15.865309	15.884821	16.016389	15.875158	15.889142	15.724289	15.658559	15.894210	15.815290	16.025758	15.944570	15.936451	16.105899	16.013911	15.755175	15.916247	15.985924	15.782291	15.852754	15.904576	15.993235	15.951930	15.781375	15.578635	15.741126	15.597510	15.610211	15.531717	15.384964	15.435539	15.491987	15.492398	15.669956	15.500203	15.503333	15.547433
ENSMUSG00000016833	12.663599	12.810893	12.686444	12.674475	12.789138	13.181635	13.210041	13.212257	13.295159	12.585560	12.616874	13.131846	12.631782	12.827858	13.114332	12.897365	12.730639	13.121485	12.378398	12.334968	12.602746	12.611599	12.693438	13.336383	12.351587	12.874170	13.069850	12.743927	12.894300	13.259763	12.176888	12.298489	12.326799	12.110702	12.242183	12.347311
ENSMUSG00000017176	12.703001	12.765836	12.655267	12.655530	12.642285	12.879326	12.687985	12.709204	12.831253	12.773196	12.748696	12.935631	12.877708	12.901372	12.778148	12.740499	12.778630	12.560790	12.719100	12.863994	12.878658	13.027613	12.893927	13.097337	13.083497	12.929285	12.925354	13.162080	12.870216	12.918648	12.624210	12.574172	12.861360	12.396733	12.490775	12.492648
ENSMUSG00000017291	11.576580	11.511118	11.746887	11.497513	11.553652	11.174256	11.385685	11.399230	11.149751	11.672297	11.600120	11.432054	11.708959	11.747232	11.373767	11.624326	11.596138	11.289561	11.799116	11.923491	11.968743	11.900658	11.628430	11.435753	11.802122	11.516298	11.442639	11.523113	11.656412	11.210194	11.803318	11.873517	11.815282	11.971654	11.984774	12.007842
